date,负债合计,长期负债合计,流动比率,资产负债率,流动资产合计,所有者权益合计,有息负债率,流动负债合计,速动比率,资产合计
2026-03-31,14287585059,86569401,2.7421,0.2531,0,42169643419,0.0057,1598214522,2.2501,56457228478
2025-12-31,14121080303,86569401,2.6403,0.2602,0,40147500828,0.009,1505826938,2.1232,54268581132
2025-09-30,13525611111,2100000,2.7314,0.2536,0,39817873611,0.0054,2073196426,2.2422,53343484721
2025-06-30,14034517068,2100000,2.7373,0.2573,0,40500973636,0.0055,1607722043,2.263,54535490704
2025-03-31,13458057152,2100000,2.8951,0.2481,0,40794969166,0.0059,1732926055,2.388,54253026318
2024-12-31,14048096771,2100000,2.6559,0.2655,0,38866084562,0.0133,1916123387,2.1428,52914181333
2024-09-30,15069132579,2100000,2.6899,0.271,0,40543386551,0.0149,2490782806,2.2312,55612519130
2024-06-30,14977377452,2100000,2.6405,0.2755,0,39390167781,0.0259,1762470306,2.1842,54367545232
2024-03-31,15270833941,2100000,2.7658,0.2685,0,41603517155,0.0346,1744645111,2.3109,56874351095
2023-12-31,13878932802,2100000,2.851,0.258,0,39905360382,0.0371,1739865229,2.3207,53784293184
2023-09-30,13444886553,2100000,2.8757,0.2521,0,39887462624,0.0321,1462134202,2.2793,53332349176
2023-06-30,13330014257,2100000,2.8032,0.2567,0,38596434418,0.0345,1553057007,2.1995,51926448675
2023-03-31,14680687832,2100000,2.7315,0.2682,0,40052108942,0.0407,1912780348,2.1702,54732796774
2022-12-31,14793946607,2100000,2.6314,0.2775,0,38526997262,0.0419,2578264621,2.0018,53320943869
2022-09-30,13771218876,85100000,2.718,0.2664,0,37913264599,0.0401,1676579295,1.9757,51684483476
2022-06-30,12711341972,85100000,2.8219,0.2547,0,37189881357,0.0439,1263997779,2.0494,49901223329
2022-03-31,13639330765,105100000,2.8408,0.2568,0,39480662422,0.0431,1545486005,2.0835,53119993188
2021-12-31,13858947801,89600000,3.5778,0.265,0,38433817846,0.0398,2398213123,2.8772,52292765646
2021-09-30,14078878297,66600000,3.5576,0.2695,0,38154829645,0.0414,614485391,2.8812,52233707941
2021-06-30,12352656171,66600000,3.9008,0.249,0,37247624199,0.0324,737414635,3.0694,49600280370
2021-03-31,14500781716,66600000,3.5918,0.2695,0,39296709629,0.028,1069422601,2.8239,53797491345
2020-12-31,16875427832,36600000,3.1504,0.3056,0,38344020411,0.0529,2076079331,2.4177,55219448243
2020-09-30,13659272895,43600000,4.0675,0.2619,0,38502012827,0.041,422802072,2.9313,52161285723
2020-06-30,12316871756,43600000,4.2515,0.2523,0,36496682499,0.0436,764153421,3.0364,48813554255
2020-03-31,12216013020,3600000,4.563,0.2369,0,39339542763,0.0395,567291876,3.3351,51555555783
2019-12-31,11558141282,3600000,4.6493,0.2328,0,38099907837,0.0185,0,3.3675,49658049119
2019-09-30,11882125000,3600000,3.8483,0.2403,0,37555757495,0.0183,0,2.664,49437882495
2019-06-30,11672969257,3600000,3.8138,0.2451,0,35955889417,0.019,0,2.6913,47628858674
2019-03-31,9988146657,2500000,2.8339,0.3236,0,20881753377,0.0584,0,1.711,30869900033
2018-12-31,10455100621,2500000,2.6784,0.3442,0,19922489464,0.0593,0,1.6382,30377590085
2018-09-30,9868020919,2500000,3.3689,0.3379,0,19338587367,0.0617,0,2.0162,29206608286
2018-06-30,9802774365,2500000,3.4515,0.3313,0,19789586753,0.0608,0,2.2039,29592361118
2018-03-31,9652542444,2500000,3.4093,0.3374,0,18953706117,0.0629,0,2.1661,28606248561
2017-12-31,9559613057,2500000,3.3363,0.3451,0,18142917483,0.065,0,2.1294,27702530540
2017-09-30,9078498200,2500000,3.4111,0.3402,0,17606902432,0.0678,0,2.1292,26685400632
2017-06-30,8643897811,2500000,3.5314,0.3319,0,17398584485,0.0695,0,2.2786,26042482296
2017-03-31,8704298049,2500000,3.393,0.3445,0,16561389413,0.0716,0,2.1927,25265687462
2016-12-31,8743119409,6100000,3.2768,0.3556,0,15843526625,0.0737,0,2.1803,24586646034
2016-09-30,7574490722,6100000,3.6607,0.3316,0,15264930419,0.0797,0,2.4015,22839421142
2016-06-30,7186140508,6100000,3.6717,0.3346,0,14288165004,0.0848,0,2.4211,21474305513
