日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,=3.0900,=3.0900,=3.0900,=3.0900,=36865892265.39,=30025331823.0,=20005046478.66,,=-0.4326,,,,
2026-07-02,=3.0600,=3.0600,=3.0600,=3.0600,=36507970981.26,=29733823747.0,=19810822726.44,,=-0.4284,,,,
2026-07-01,=3.0800,=3.0800,=3.0800,=3.0800,=36746585170.68,=29928162464.0,=19940305227.92,,=-0.4312,,,,
2026-06-30,=2.9600,=2.9600,=2.9600,=2.9600,=35314900034.16,=28762130160.0,=19163410219.04,,=-0.4144,,,,
2026-06-29,=3.0400,=3.0400,=3.0400,=3.0400,=36269356791.84,=29539485030.0,=19681340224.96,,=-0.4256,,,,
2026-06-26,=3.0100,=3.0100,=3.0100,=3.0100,=35911435507.71,=29247976954.0,=19487116472.74,,=-0.4214,,,,
2026-06-25,=2.9500,=2.9500,=2.9500,=2.9500,=35195592939.45,=28664960802.0,=19098668968.3,,=-0.4130,,,,
2026-06-24,=2.9700,=2.9700,=2.9700,=2.9700,=35434207128.87,=28859299519.0,=19228151469.78,,=-0.4158,,,,
2026-06-23,=3.0900,=3.0900,=3.0900,=3.0900,=36865892265.39,=30025331823.0,=20005046478.66,,=-0.4326,,,,
2026-06-22,=3.1100,=3.1100,=3.1100,=3.1100,=37104506454.81,=30219670540.0,=20134528980.14,,=-0.4354,,,,
2026-06-18,=3.0600,=3.0600,=3.0600,=3.0600,=36507970981.26,=29733823747.0,=19810822726.44,,=-0.4284,,,,
2026-06-17,=3.0900,=3.0900,=3.0900,=3.0900,=36865892265.39,=30025331823.0,=20005046478.66,,=-0.4326,,,,
