代码,名称,股价,PE,PB,PS,股息率(%),ROE(%),ROA(%)
300750,宁德时代,245.30,25.30,4.20,3.10,0.50,15.20,8.50
300014,亿纬锂能,68.20,18.50,3.10,2.50,2.10,12.30,6.80
002594,比亚迪,185.60,22.10,3.80,1.90,1.20,14.50,7.20
600519,贵州茅台,1520.00,45.20,15.80,8.50,2.80,35.20,18.50
