date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-07-03,1896515210465.64,1.3792,,,,,13.9649,,,,,0.0537,1.8012,,,,,14.9378,,,,,1.3831,,,,
2026-07-02,1913208359894.75,1.3914,,,,,14.0878,,,,,0.0532,1.8171,,,,,15.0693,,,,,1.3953,,,,
2026-07-01,1875052589771.0696,1.3636,,,,,13.8068,,,,,0.0543,1.7808,,,,,14.7687,,,,,1.3675,,,,
2026-06-30,1867248000427.5896,1.3579,,,,,13.7494,,,,,0.0545,1.7734,,,,,14.7073,,,,,1.3618,,,,
2026-06-29,1899116740246.8,1.3811,,,,,13.9840,,,,,0.0536,1.8037,,,,,14.9583,,,,,1.3850,,,,
2026-06-26,1882206796669.26,1.3688,,,,,13.8595,,,,,0.0541,1.7876,,,,,14.8251,,,,,1.3727,,,,
2026-06-25,1901284681731.1,1.3827,,,,,14.0000,,,,,0.0535,1.8058,,,,,14.9753,,,,,1.3866,,,,
2026-06-24,1922964096574.1,1.3984,,,,,14.1596,,,,,0.0529,1.8263,,,,,15.1461,,,,,1.4024,,,,
2026-06-23,1962420631588.36,1.4271,,,,,14.4502,,,,,0.0519,1.8638,,,,,15.4569,,,,,1.4312,,,,
2026-06-22,1992988606516.9905,1.4494,,,,,14.6753,,,,,0.0511,1.8928,,,,,15.6976,,,,,1.4535,,,,
2026-06-18,1986918370360.9504,1.4450,,,,,14.6306,,,,,0.0512,1.8871,,,,,15.6498,,,,,1.4490,,,,
2026-06-17,2015751992102.14,1.4659,,,,,14.8429,,,,,0.0505,1.9145,,,,,15.8769,,,,,1.4701,,,,
2026-06-16,2015968786250.5696,1.4661,,,,,14.8445,,,,,0.0505,1.9147,,,,,15.8786,,,,,1.4702,,,,
2026-06-15,2042851260655.89,1.4856,,,,,15.0424,,,,,0.0498,1.9402,,,,,16.0904,,,,,1.4898,,,,
2026-06-12,2062145939866.16,1.4997,,,,,15.1845,,,,,0.0494,1.9585,,,,,16.2424,,,,,1.5039,,,,
2026-06-11,2080573442482.71,1.5131,,,,,15.3202,,,,,0.0489,1.9760,,,,,16.3875,,,,,1.5173,,,,
2026-06-10,2108756681778.61,1.5336,,,,,15.5277,,,,,0.0483,2.0028,,,,,16.6095,,,,,1.5379,,,,
2026-06-09,2078188706849.98,1.5113,,,,,15.3026,,,,,0.0490,1.9738,,,,,16.3687,,,,,1.5156,,,,
2026-06-08,2094231473833.8,1.5230,,,,,15.4208,,,,,0.0486,1.9890,,,,,16.4951,,,,,1.5273,,,,
