date,metric,value
2026-03-31,流动比率,0.8549
2026-03-31,应收账款,123136000000
2026-03-31,资产合计,2153534000000
2026-03-31,归属于母公司普通股股东的净利润,29342000000
2026-03-31,有息负债率,0.0475
2026-03-31,流动负债合计,58958000000
2026-03-31,毛利率(GM),0.2846
2026-03-31,所有者权益合计,1427106000000
2026-03-31,基本每股收益,1.36
2026-03-31,资本回报率(ROIC),0.0939
2026-03-31,经营活动产生的现金流量净额,71447000000
2026-03-31,速动比率,0.7887
2026-03-31,货币资金,2031251257457.88
2026-03-31,资产负债率,0.3373
2026-03-31,营业收入,266478000000
2026-03-31,总资产收益率(ROA),0.0641
2026-03-31,长期负债合计,9474000000
2026-03-31,净资产收益率(ROE),0.0964
2026-03-31,经营活动产生的现金流量净额对净利润的比率,2.0079
2026-03-31,净利润率,0.1292
2026-03-31,自由现金流量,122955000000
2026-03-31,流动资产合计,19051000000
2026-03-31,负债合计,726428000000
