date,营业收入,累积同比,归属于母公司普通股股东的净利润,基本每股收益
2026-03-31,266478000000,0.0103,29342000000,1.36
2025-12-31,1050187000000,0.0091,137095000000,6.35
2025-09-30,794666000000,0.0041,115353000000,5.34
2025-06-30,543769000000,-0.0054,84235000000,3.9
2025-03-31,263760000000,0.0002,30631000000,1.42
2024-12-31,1040759000000,0.0312,138373000000,6.45
2024-09-30,791458000000,0.0205,110881000000,5.18
2024-06-30,546744000000,0.0302,80201000000,3.75
2024-03-31,263707000000,0.0517,29609000000,1.38
2023-12-31,1009309000000,0.0769,131766000000,6.16
2023-09-30,775560000000,0.072,105506000000,4.94
2023-06-30,530719000000,0.068,76173000000,3.56
2023-03-31,250746000000,0.1031,28067000000,1.31
2022-12-31,937259000000,0.1049,125459000000,5.88
2022-09-30,723487000000,0.1154,98532000000,4.62
2022-06-30,496934000000,0.1201,70275000000,3.29
2022-03-31,227320000000,0.1456,25624000000,1.2
2021-12-31,848258000000,0.1044,115937000000,5.66
2021-09-30,648630000000,0.1292,86962000000,4.25
2021-06-30,443647000000,,59118000000,2.89
2021-03-31,198429000000,,24056000000,1.17
2020-12-31,768070000000,0.0297,107837000000,5.27
2020-09-30,574413000000,,81555000000,3.98
2019-12-31,745917000000,0.0123,106325000000,5.19
2018-12-31,736819000000,,116699000000,5.7
