date,经营活动产生的现金流量净额,累积同比,自由现金流量,经营活动产生的现金流量净额对净利润的比率
2026-03-31,-1514283397,-4.2832,9319733124,1.2955
2025-12-31,12768702125,0.1517,10661194907,1.4415
2025-09-30,4714110771,1.6127,11936568597,1.6393
2025-06-30,2808524758,17.9903,12113581956,1.6762
2025-03-31,-286623305,0.6786,9880767057,1.4204
2024-12-31,11085892935,-0.0171,9258608344,1.3608
2024-09-30,1774859938,-0.11,9506088660,1.4009
2024-06-30,-187384230,-35.285,9517562885,1.428
2024-03-31,-900134161,0.5582,10493471676,1.6279
2023-12-31,11444091916,0.3064,9494692964,1.496
2023-09-30,2037849473,0.0226,6280141995,1.1871
2023-06-30,17537603,-0.9695,5729013570,1.1237
2023-03-31,-2027895649,-0.4641,4887243308,1.1523
2022-12-31,8759962600,0.8755,5346452679,1.2687
2022-09-30,1992822606,2.483,5606247923,1.2254
2022-06-30,574356490,1.358,3882190716,1.0818
2022-03-31,-1385072391,-0.1907,3007640172,0.7151
2021-12-31,4670773603,-0.1711,2661580661,0.7729
2021-09-30,-1343812280,-0.4884,1795110716,0.8848
2021-06-30,-1604400159,-1.3043,1975621066,0.83
2021-03-31,-1163216438,-18.4368,886840244,0.825
2020-12-31,5635016246,0.203,2172782769,1.0812
2020-09-30,-902875892,-142.3133,1366203344,0.7399
2020-06-30,-696262489,-8.3314,1527673901,0.801
2020-03-31,66710444,1.0624,2738413346,1.2504
2019-12-31,4684302588,0.4601,1759583013,1.0052
2019-09-30,-6300015,0.9955,1497654966,1.0785
2019-06-30,94970480,1.0881,1045609683,1.03
2019-03-31,-1069469734,0.0079,909793324,0.7255
2018-12-31,3208251554,-0.0301,1495348185,0.721
2018-09-30,-1415370683,-0.0028,193659923,0.4239
2018-06-30,-1129027080,-0.1171,637169600,0.4586
2018-03-31,-1077996136,0.4475,1611732016,0.7751
2017-12-31,3300822668,-0.2257,2113103018,0.8914
2017-09-30,-365418275,0.49,2087075849,1.425
2017-06-30,-27231323,0.9498,2248480429,1.5494
2017-03-31,-721421445,0.0684,1777610664,1.2911
2016-12-31,1824332191,0.5203,1731557157,1.2571
2016-09-30,-718904177,-2.5605,578468712,0.3817
