date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-07-03,183846898410.84,22.0968,,,,,3.6992,,,,,22.9355,,,,,3.6993,,,,,0.0270,2.7482,,,,
2026-07-02,182079912056.52,21.8844,,,,,3.6636,,,,,22.7151,,,,,3.6637,,,,,0.0273,2.7218,,,,
2026-07-01,182079912056.52,21.8844,,,,,3.6636,,,,,22.7151,,,,,3.6637,,,,,0.0273,2.7218,,,,
2026-06-30,183525628164.6,22.0582,,,,,3.6927,,,,,22.8954,,,,,3.6928,,,,,0.0271,2.7434,,,,
2026-06-29,187943094050.4,22.5891,,,,,3.5134,,,,,23.4465,,,,,3.5135,,,,,0.0264,2.8094,,,,
2026-06-26,182642134987.44,21.9520,,,,,3.4143,,,,,22.7852,,,,,3.4144,,,,,0.0272,2.7302,,,,
2026-06-25,183364993041.48,22.0389,,,,,3.4278,,,,,22.8754,,,,,3.4279,,,,,0.0271,2.7410,,,,
2026-06-24,184328803780.2,22.1547,,,,,3.4458,,,,,22.9956,,,,,3.4459,,,,,0.0270,2.7554,,,,
2026-06-23,186095790134.52,22.3671,,,,,3.4789,,,,,23.2161,,,,,3.4790,,,,,0.0267,2.7818,,,,
2026-06-22,192360559936.2,23.1201,,,,,3.5960,,,,,23.9976,,,,,3.5961,,,,,0.0258,2.8754,,,,
2026-06-18,185212296957.36,22.2609,,,,,3.4623,,,,,23.1059,,,,,3.4624,,,,,0.0268,2.7686,,,,
2026-06-17,187300553557.92,22.5119,,,,,3.5014,,,,,23.3664,,,,,3.5015,,,,,0.0265,2.7998,,,,
2026-06-16,189067539912.24,22.7243,,,,,3.5344,,,,,23.5868,,,,,3.5345,,,,,0.0263,2.8262,,,,
2026-06-15,188424999419.76,22.6470,,,,,3.5224,,,,,23.5067,,,,,3.5225,,,,,0.0264,2.8166,,,,
2026-06-12,186658013065.44,22.4347,,,,,3.4894,,,,,23.2862,,,,,3.4895,,,,,0.0266,2.7902,,,,
2026-06-11,183525628164.6,22.0582,,,,,3.4308,,,,,22.8954,,,,,3.4309,,,,,0.0271,2.7434,,,,
2026-06-10,182160229618.08,21.8941,,,,,3.4053,,,,,22.7251,,,,,3.4054,,,,,0.0273,2.7230,,,,
2026-06-09,185051661834.24,22.2416,,,,,3.4593,,,,,23.0858,,,,,3.4594,,,,,0.0270,2.7662,,,,
2026-06-08,183605945726.16,22.0678,,,,,3.4323,,,,,22.9055,,,,,3.4324,,,,,0.0272,2.7446,,,,
2026-06-05,188344681858.2,22.6374,,,,,3.5209,,,,,23.4966,,,,,3.5210,,,,,0.0265,2.8154,,,,
2026-06-04,191155796512.8,22.9753,,,,,3.5734,,,,,23.8473,,,,,3.5735,,,,,0.0261,2.8574,,,,
2026-06-03,194770086783.0,23.4097,,,,,3.6410,,,,,24.2982,,,,,3.6411,,,,,0.0256,2.9114,,,,
2026-06-02,197902471683.84,23.7861,,,,,3.6996,,,,,24.6890,,,,,3.6997,,,,,0.0252,2.9583,,,,
2026-06-01,202560890254.32,24.3461,,,,,3.7867,,,,,25.2702,,,,,3.7868,,,,,0.0246,3.0279,,,,
2026-05-29,199990728284.4,24.0371,,,,,3.7386,,,,,24.9495,,,,,3.7387,,,,,0.0249,2.9895,,,,
2026-05-28,201597079515.6,24.2302,,,,,3.7686,,,,,25.1499,,,,,3.7687,,,,,0.0247,3.0135,,,,
2026-05-27,205372004908.92,24.6839,,,,,3.8392,,,,,25.6209,,,,,3.8393,,,,,0.0243,3.0699,,,,
2026-05-26,204649146854.88,24.5970,,,,,3.8257,,,,,25.5307,,,,,3.8258,,,,,0.0244,3.0591,,,,
2026-05-25,210913916656.56,25.3500,,,,,3.9428,,,,,26.3122,,,,,3.9429,,,,,0.0237,3.1528,,,,
2026-05-22,207460261509.48,24.9349,,,,,3.8782,,,,,25.8814,,,,,3.8783,,,,,0.0240,3.1011,,,,
2026-05-21,206094862962.96,24.7708,,,,,3.8527,,,,,25.7110,,,,,3.8528,,,,,0.0242,3.0807,,,,
2026-05-20,213082490818.68,25.6107,,,,,3.9833,,,,,26.5828,,,,,3.9835,,,,,0.0234,3.1852,,,,
2026-05-19,216616463527.32,26.0354,,,,,4.0494,,,,,27.0236,,,,,4.0495,,,,,0.0230,3.2380,,,,
2026-05-18,212761220572.44,25.5720,,,,,3.9773,,,,,26.5427,,,,,3.9774,,,,,0.0235,3.1804,,,,
2026-05-15,212680903010.88,25.5624,,,,,3.9758,,,,,26.5327,,,,,3.9759,,,,,0.0235,3.1792,,,,
2026-05-14,219025990374.12,26.3250,,,,,4.0945,,,,,27.3242,,,,,4.0946,,,,,0.0228,3.2740,,,,
2026-05-13,225049807491.12,27.0490,,,,,4.2071,,,,,28.0757,,,,,4.2072,,,,,0.0222,3.3641,,,,
2026-05-12,216054240596.4,25.9678,,,,,4.0389,,,,,26.9535,,,,,4.0390,,,,,0.0231,3.2296,,,,
2026-05-11,215652652788.6,25.9196,,,,,4.0314,,,,,26.9034,,,,,4.0315,,,,,0.0231,3.2236,,,,
2026-05-08,209468200548.48,25.1762,,,,,3.9158,,,,,26.1319,,,,,3.9159,,,,,0.0238,3.1312,,,,
2026-05-07,212359632764.64,25.5238,,,,,3.9698,,,,,26.4926,,,,,3.9699,,,,,0.0235,3.1744,,,,
2026-05-06,210592646410.32,25.3114,,,,,3.9368,,,,,26.2722,,,,,3.9369,,,,,0.0237,3.1480,,,,
2026-04-30,208584707371.32,25.0701,,,,,3.8993,,,,,26.0217,,,,,3.8994,,,,,0.0239,3.1179,,,,
2026-04-29,213805348872.72,26.7504,,,,,4.3439,,,,,27.7906,,,,,4.3440,,,,,0.0218,3.3575,,,,
2026-04-28,209387882986.92,26.1977,,,,,4.2541,,,,,27.2164,,,,,4.2542,,,,,0.0222,3.2881,,,,
2026-04-27,210672963971.88,26.3585,,,,,4.2802,,,,,27.3834,,,,,4.2803,,,,,0.0221,3.3083,,,,
2026-04-24,213162808380.24,26.6700,,,,,4.3308,,,,,27.7071,,,,,4.3309,,,,,0.0218,3.3474,,,,
2026-04-23,216455828404.2,27.0820,,,,,4.3977,,,,,28.1351,,,,,4.3978,,,,,0.0215,3.3991,,,,
2026-04-22,216937733773.56,27.1423,,,,,4.4075,,,,,28.1977,,,,,4.4076,,,,,0.0215,3.4067,,,,
2026-04-21,217098368896.68,27.1624,,,,,4.4108,,,,,28.2186,,,,,4.4109,,,,,0.0214,3.4092,,,,
2026-04-20,218785037689.44,27.3734,,,,,4.4450,,,,,28.4378,,,,,4.4452,,,,,0.0213,3.4357,,,,
2026-04-17,215331382542.36,26.9413,,,,,4.3749,,,,,27.9889,,,,,4.3750,,,,,0.0216,3.3814,,,,
2026-04-16,215813287911.72,27.0016,,,,,4.3847,,,,,28.0516,,,,,4.3848,,,,,0.0216,3.3890,,,,
2026-04-15,215732970350.16,26.9915,,,,,4.3830,,,,,28.0411,,,,,4.3832,,,,,0.0216,3.3877,,,,
2026-04-14,210191058602.52,26.2982,,,,,4.2704,,,,,27.3208,,,,,4.2706,,,,,0.0221,3.3007,,,,
2026-04-13,207942166878.84,26.0168,,,,,4.2247,,,,,27.0285,,,,,4.2249,,,,,0.0224,3.2654,,,,
2026-04-10,211717092272.16,26.4891,,,,,4.3014,,,,,27.5191,,,,,4.3016,,,,,0.0220,3.3247,,,,
2026-04-09,208504389809.76,26.0871,,,,,4.2362,,,,,27.1016,,,,,4.2363,,,,,0.0223,3.2742,,,,
2026-04-08,213484078626.48,26.7102,,,,,4.3373,,,,,27.7488,,,,,4.3375,,,,,0.0218,3.3524,,,,
2026-04-07,205131052224.24,25.6651,,,,,4.1676,,,,,26.6631,,,,,4.1677,,,,,0.0227,3.2213,,,,
2026-04-03,208825660056.0,26.1273,,,,,4.2427,,,,,27.1433,,,,,4.2428,,,,,0.0223,3.2793,,,,
2026-04-02,209548518110.04,26.2178,,,,,4.2574,,,,,27.2373,,,,,4.2575,,,,,0.0222,3.2906,,,,
2026-04-01,212198997641.52,26.5494,,,,,4.3112,,,,,27.5818,,,,,4.3114,,,,,0.0219,3.3322,,,,
2026-03-31,208745342494.44,26.1173,,,,,4.2411,,,,,27.1329,,,,,4.2412,,,,,0.0223,3.2780,,,,
2026-03-30,213885666434.28,26.7604,,,,,4.3455,,,,,27.8010,,,,,4.3456,,,,,0.0218,3.3587,,,,
2026-03-27,217901544512.28,27.2629,,,,,4.4271,,,,,28.3230,,,,,4.4272,,,,,0.0214,3.4218,,,,
2026-03-26,216777098650.44,27.1222,,,,,4.4042,,,,,28.1769,,,,,4.4044,,,,,0.0215,3.4041,,,,
2026-03-25,221033929413.12,27.6548,,,,,4.4907,,,,,28.7302,,,,,4.4909,,,,,0.0211,3.4710,,,,
2026-03-24,216696781088.88,27.1121,,,,,4.4026,,,,,28.1664,,,,,4.4027,,,,,0.0215,3.4029,,,,
2026-03-23,217580274266.04,27.2227,,,,,4.4206,,,,,28.2812,,,,,4.4207,,,,,0.0214,3.4168,,,,
2026-03-20,220070118674.4,27.5342,,,,,4.4711,,,,,28.6049,,,,,4.4713,,,,,0.0212,3.4559,,,,
2026-03-19,223363138698.36,27.9462,,,,,4.5380,,,,,29.0329,,,,,4.5382,,,,,0.0208,3.5076,,,,
2026-03-18,226736476283.88,28.3682,,,,,4.6066,,,,,29.4714,,,,,4.6067,,,,,0.0205,3.5605,,,,
2026-03-17,225531712860.48,28.2175,,,,,4.5821,,,,,29.3148,,,,,4.5822,,,,,0.0206,3.5416,,,,
2026-03-16,230511401677.2,28.8406,,,,,4.6833,,,,,29.9620,,,,,4.6834,,,,,0.0202,3.6198,,,,
2026-03-13,234607597316.76,29.3530,,,,,4.7665,,,,,30.4945,,,,,4.7666,,,,,0.0198,3.6841,,,,
2026-03-12,242719671034.32,30.3680,,,,,4.9313,,,,,31.5489,,,,,4.9315,,,,,0.0192,3.8115,,,,
2026-03-11,246574913989.2,30.8503,,,,,5.0096,,,,,32.0500,,,,,5.0098,,,,,0.0189,3.8721,,,,
2026-03-10,247378089604.8,30.9508,,,,,5.0260,,,,,32.1544,,,,,5.0261,,,,,0.0188,3.8847,,,,
2026-03-09,253160954037.12,31.6744,,,,,5.1434,,,,,32.9061,,,,,5.1436,,,,,0.0184,3.9755,,,,
2026-03-06,241033002241.56,30.1570,,,,,4.8970,,,,,31.3297,,,,,4.8972,,,,,0.0193,3.7850,,,,
2026-03-05,237017124163.56,29.6545,,,,,4.8155,,,,,30.8077,,,,,4.8156,,,,,0.0196,3.7220,,,,
2026-03-04,229708226061.6,28.7401,,,,,4.6670,,,,,29.8576,,,,,4.6671,,,,,0.0203,3.6072,,,,
2026-03-03,222479645521.2,27.8357,,,,,4.5201,,,,,28.9181,,,,,4.5202,,,,,0.0209,3.4937,,,,
2026-03-02,227539651899.48,28.4687,,,,,4.6229,,,,,29.5758,,,,,4.6230,,,,,0.0205,3.5731,,,,
2026-02-27,219266943058.8,27.4337,,,,,4.4548,,,,,28.5005,,,,,4.4550,,,,,0.0212,3.4432,,,,
2026-02-26,220391388920.64,27.5744,,,,,4.4777,,,,,28.6466,,,,,4.4778,,,,,0.0211,3.4609,,,,
2026-02-25,216696781088.88,27.1121,,,,,4.4026,,,,,28.1664,,,,,4.4027,,,,,0.0215,3.4029,,,,
2026-02-24,215732970350.16,26.9915,,,,,4.3830,,,,,28.0411,,,,,4.3832,,,,,0.0216,3.3877,,,,
2026-02-13,209869788356.28,26.2580,,,,,4.2639,,,,,27.2790,,,,,4.2640,,,,,0.0222,3.2957,,,,
2026-02-12,212841538134.0,26.6298,,,,,4.3243,,,,,27.6653,,,,,4.3244,,,,,0.0219,3.3423,,,,
2026-02-11,207058673701.68,25.9063,,,,,4.2068,,,,,26.9136,,,,,4.2069,,,,,0.0225,3.2515,,,,
2026-02-10,206817721017.0,25.8761,,,,,4.2019,,,,,26.8823,,,,,4.2020,,,,,0.0225,3.2477,,,,
2026-02-09,205372004908.92,25.6952,,,,,4.1725,,,,,26.6944,,,,,4.1726,,,,,0.0227,3.2250,,,,
2026-02-06,202480572692.76,25.3335,,,,,4.1138,,,,,26.3186,,,,,4.1139,,,,,0.0230,3.1796,,,,
2026-02-05,202721525377.44,25.3636,,,,,4.1187,,,,,26.3499,,,,,4.1188,,,,,0.0230,3.1834,,,,
2026-02-04,207781531755.72,25.9967,,,,,4.2215,,,,,27.0076,,,,,4.2216,,,,,0.0224,3.2629,,,,
2026-02-03,208343754686.64,26.0670,,,,,4.2329,,,,,27.0807,,,,,4.2330,,,,,0.0223,3.2717,,,,
2026-02-02,204649146854.88,25.6048,,,,,4.1578,,,,,26.6005,,,,,4.1580,,,,,0.0227,3.2137,,,,
2026-01-30,202400255131.2,25.3234,,,,,4.1121,,,,,26.3081,,,,,4.1123,,,,,0.0230,3.1784,,,,
2026-01-29,201757714638.72,25.2430,,,,,4.0991,,,,,26.2246,,,,,4.0992,,,,,0.0231,3.1683,,,,
2026-01-28,204890099539.56,25.6349,,,,,4.1627,,,,,26.6318,,,,,4.1629,,,,,0.0227,3.2175,,,,
2026-01-27,203845971239.28,25.5043,,,,,4.1415,,,,,26.4961,,,,,4.1416,,,,,0.0228,3.2011,,,,
2026-01-26,207460261509.48,25.9565,,,,,4.2149,,,,,26.9658,,,,,4.2151,,,,,0.0224,3.2578,,,,
2026-01-23,204167241485.52,25.5445,,,,,4.1480,,,,,26.5378,,,,,4.1482,,,,,0.0228,3.2061,,,,
2026-01-22,203203430746.8,25.4239,,,,,4.1285,,,,,26.4125,,,,,4.1286,,,,,0.0229,3.1910,,,,
2026-01-21,205934227839.84,25.7656,,,,,4.1839,,,,,26.7675,,,,,4.1841,,,,,0.0226,3.2339,,,,
2026-01-20,210833599095.0,26.3786,,,,,4.2835,,,,,27.4043,,,,,4.2836,,,,,0.0221,3.3108,,,,
2026-01-19,210432011287.2,26.3283,,,,,4.2753,,,,,27.3521,,,,,4.2754,,,,,0.0221,3.3045,,,,
2026-01-16,195974850206.4,24.5195,,,,,3.9816,,,,,25.4730,,,,,3.9817,,,,,0.0238,3.0775,,,,
2026-01-15,191155796512.8,23.9166,,,,,3.8837,,,,,24.8466,,,,,3.8838,,,,,0.0244,3.0018,,,,
2026-01-14,190513256020.32,23.8362,,,,,3.8706,,,,,24.7631,,,,,3.8708,,,,,0.0244,2.9917,,,,
2026-01-13,195974850206.4,24.5195,,,,,3.9816,,,,,25.4730,,,,,3.9817,,,,,0.0238,3.0775,,,,
2026-01-12,190754208705.0,23.8663,,,,,3.8755,,,,,24.7944,,,,,3.8756,,,,,0.0244,2.9955,,,,
2026-01-09,190191985774.08,23.7960,,,,,3.8641,,,,,24.7213,,,,,3.8642,,,,,0.0245,2.9867,,,,
2026-01-08,189629762843.16,23.7256,,,,,3.8527,,,,,24.6482,,,,,3.8528,,,,,0.0245,2.9778,,,,
2026-01-07,188585634542.88,23.5950,,,,,3.8315,,,,,24.5125,,,,,3.8316,,,,,0.0247,2.9614,,,,
2026-01-06,188424999419.76,23.5749,,,,,3.8282,,,,,24.4916,,,,,3.8283,,,,,0.0247,2.9589,,,,
2026-01-05,185935155011.4,23.2634,,,,,3.7776,,,,,24.1680,,,,,3.7777,,,,,0.0250,2.9198,,,,
2025-12-31,180553878386.88,22.5901,,,,,3.6683,,,,,23.4685,,,,,3.6684,,,,,0.0258,2.8353,,,,
2025-12-30,181357054002.48,22.6906,,,,,3.6846,,,,,23.5729,,,,,3.6847,,,,,0.0257,2.8479,,,,
2025-12-29,182642134987.44,22.8514,,,,,3.7107,,,,,23.7400,,,,,3.7108,,,,,0.0255,2.8681,,,,
2025-12-26,182890649657.43,22.8825,,,,,3.7158,,,,,23.7723,,,,,3.7159,,,,,0.0255,2.8720,,,,
2025-12-25,184336425544.05,23.0633,,,,,3.7451,,,,,23.9602,,,,,3.7453,,,,,0.0253,2.8947,,,,
2025-12-24,185139634369.9501,23.1638,,,,,3.7615,,,,,24.0646,,,,,3.7616,,,,,0.0251,2.9073,,,,
2025-12-23,184738029957.0,23.1136,,,,,3.7533,,,,,24.0124,,,,,3.7534,,,,,0.0252,2.9010,,,,
2025-12-22,184416746426.64,23.0734,,,,,3.7468,,,,,23.9706,,,,,3.7469,,,,,0.0252,2.8960,,,,
2025-12-19,183452895835.56,22.9528,,,,,3.7272,,,,,23.8453,,,,,3.7273,,,,,0.0254,2.8808,,,,
2025-12-18,183934821131.1,23.0131,,,,,3.7370,,,,,23.9080,,,,,3.7371,,,,,0.0253,2.8884,,,,
2025-12-17,185219955252.54,23.1739,,,,,3.7631,,,,,24.0750,,,,,3.7632,,,,,0.0251,2.9086,,,,
2025-12-16,183452895835.56,22.9528,,,,,3.7272,,,,,23.8453,,,,,3.7273,,,,,0.0254,2.8808,,,,
