date,自由现金流量,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率
2026-03-31,9468201971,-2535371232,-1.16,0.8713
2025-12-31,27775691989,29706259919,-0.1247,3.1884
2025-09-30,29890128971,28247488417,-0.0519,2.3073
2025-06-30,49148240601,31136736629,1.3188,2.8305
2025-03-31,46742821268,15848802262,29.7031,2.1234
2024-12-31,31283580814,33939755193,-0.1869,1.0225
2024-09-30,47023162159,29794118734,0.3308,1.4615
2024-06-30,41146231206,13427928656,0.1852,1.3065
2024-03-31,30338706954,516195073,-0.9459,0.9901
2023-12-31,38787009216,41742479908,0.7086,1.3243
2023-09-30,33347763013,22388745175,1.0758,1.1682
2023-06-30,31710009257,11329818886,5.0039,1.1324
2023-03-31,34989869017,9535617536,3.8037,1.2579
2022-12-31,22697268630,24431136261,-0.0875,0.8735
2022-09-30,20053959731,10785477248,-0.2995,0.8119
2022-06-30,18104754413,1887074641,-0.7833,0.7526
2022-03-31,16315544106,-3401025899,-1.6178,0.6847
2021-12-31,25241997045,26774941873,0.8216,1.0925
2021-09-30,24797560741,15397893819,2.9047,1.0962
2021-06-30,20914750900,8707487983,6.4542,0.9509
2021-03-31,20122442484,5505475102,5.5811,0.9456
2020-12-31,13711006122,14698327593,-0.364,0.7028
2020-09-30,10155580397,3943471635,-0.7564,0.5344
2020-06-30,15322861877,1168132704,-0.8604,0.8041
2020-03-31,12327298163,-1201790977,-1.1516,0.718
2019-12-31,21505467727,23112072041,0.8764,1.2679
2019-09-30,23073516936,16191322655,3.1764,1.432
2019-06-30,18649569210,8365812629,13.0214,1.2261
2019-03-31,17523830273,7926569919,2.3055,1.1413
2018-12-31,11941561958,12317359035,0.2612,0.8774
2018-09-30,7197573281,3876870034,-0.3637,0.5906
2018-06-30,6862838636,596647018,-0.8115,0.5824
2018-03-31,10036639923,2398028544,0.3007,0.8927
2017-12-31,9565294549,9766175823,-0.1651,0.9683
2017-09-30,7021042176,6093165398,-0.4231,0.8008
2017-06-30,10334043734,3164691698,-0.2659,1.2835
2017-03-31,12512263786,1843612667,1.4273,1.6412
2016-12-31,11394776413,11696760569,0.7481,1.6575
2016-09-30,11268780233,10562390294,0.8499,1.6658
