日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,=8.6900,=8.6900,=8.6900,=8.6900,=289427734827.0,=289427734827.0,=135762467520.9,,=5.7351,,,,
2026-07-02,=8.7000,=8.7000,=8.7000,=8.7000,=289760793210.0,=289760793210.0,=135918695907.0,,=5.7417,,,,
2026-07-01,=8.6500,=8.6500,=8.6500,=8.6500,=288095501295.0,=288095501295.0,=135137553976.5,,=5.7087,,,,
2026-06-30,=8.6100,=8.6100,=8.6100,=8.6100,=286763267763.0,=286763267763.0,=134512640432.1,,=5.6823,,,,
2026-06-29,=8.7300,=8.7300,=8.7300,=8.7300,=290759968359.0,=290759968359.0,=136387381065.3,,=5.7615,,,,
2026-06-26,=8.7600,=8.7600,=8.7600,=8.7600,=291759143508.0,=291759143508.0,=136856066223.6,,=5.7813,,,,
2026-06-25,=8.8500,=8.8500,=8.8500,=8.8500,=294756668955.0,=294756668955.0,=138262121698.5,,=5.8407,,,,
2026-06-24,=8.9000,=8.9000,=8.9000,=8.9000,=296421960870.0,=296421960870.0,=139043263629.0,,=5.8737,,,,
2026-06-23,=9.2800,=9.2800,=9.2800,=9.2800,=309078179424.0,=309078179424.0,=144979942300.8,,=6.1245,,,,
2026-06-22,=9.1600,=9.1600,=9.1600,=9.1600,=305081478828.0,=305081478828.0,=143105201667.6,,=6.0453,,,,
2026-06-18,=9.0900,=9.0900,=9.0900,=9.0900,=302750070147.0,=302750070147.0,=142011602964.9,,=5.9991,,,,
2026-06-17,=9.2400,=9.2400,=9.2400,=9.2400,=307745945892.0,=307745945892.0,=144355028756.4,,=6.0981,,,,
2026-06-16,=9.4600,=9.4600,=9.4600,=9.4600,=315073230318.0,=315073230318.0,=147792053250.6,,=6.2433,,,,
2026-06-15,=9.5300,=9.5300,=9.5300,=9.5300,=317404638999.0,=317404638999.0,=148885651953.3,,=6.2895,,,,
2026-06-12,=9.6700,=9.6700,=9.6700,=9.6700,=322067456361.0,=322067456361.0,=151072849358.7,,=6.3819,,,,
2026-06-11,=9.5500,=9.5500,=9.5500,=9.5500,=318070755765.0,=318070755765.0,=149198108725.5,,=6.3027,,,,
2026-06-10,=9.5900,=9.5900,=9.5900,=9.5900,=319402989297.0,=319402989297.0,=149823022269.9,,=6.3291,,,,
2026-06-09,=9.3700,=9.3700,=9.3700,=9.3700,=312075704871.0,=312075704871.0,=146385997775.7,,=6.1839,,,,
2026-06-08,=9.3700,=9.3700,=9.3700,=9.3700,=312075704871.0,=312075704871.0,=146385997775.7,,=6.1839,,,,
2026-06-05,=9.3400,=9.3400,=9.3400,=9.3400,=311076529722.0,=311076529722.0,=145917312617.4,,=6.1641,,,,
2026-06-04,=9.1900,=9.1900,=9.1900,=9.1900,=306080653977.0,=306080653977.0,=143573886825.9,,=6.0651,,,,
2026-06-03,=9.2500,=9.2500,=9.2500,=9.2500,=308079004275.0,=308079004275.0,=144511257142.5,,=6.1047,,,,
2026-06-02,=9.3100,=9.3100,=9.3100,=9.3100,=310077354573.0,=310077354573.0,=145448627459.1,,=6.1443,,,,
2026-06-01,=9.3200,=9.3200,=9.3200,=9.3200,=310410412956.0,=310410412956.0,=145604855845.2,,=6.1509,,,,
2026-05-29,=9.3700,=9.3700,=9.3700,=9.3700,=312075704871.0,=312075704871.0,=146385997775.7,,=6.1839,,,,
2026-05-28,=9.2100,=9.2100,=9.2100,=9.2100,=306746770743.0,=306746770743.0,=143886343598.1,,=6.0783,,,,
2026-05-27,=9.4300,=9.4300,=9.4300,=9.4300,=314074055169.0,=314074055169.0,=147323368092.3,,=6.2235,,,,
2026-05-26,=9.2700,=9.2700,=9.2700,=9.2700,=308745121041.0,=308745121041.0,=144823713914.7,,=6.1179,,,,
2026-05-25,=9.0800,=9.0800,=9.0800,=9.0800,=302417011764.0,=302417011764.0,=141855374578.8,,=5.9925,,,,
2026-05-22,=8.9600,=8.9600,=8.9600,=8.9600,=298420311168.0,=298420311168.0,=139980633945.6,,=5.9133,,,,
2026-05-21,=8.8600,=8.8600,=8.8600,=8.8600,=295089727338.0,=295089727338.0,=138418350084.6,,=5.8473,,,,
2026-05-20,=8.9400,=8.9400,=8.9400,=8.9400,=297754194402.0,=297754194402.0,=139668177173.4,,=5.9001,,,,
2026-05-19,=8.9500,=8.9500,=8.9500,=8.9500,=298087252785.0,=298087252785.0,=139824405559.5,,=5.9067,,,,
2026-05-18,=9.0800,=9.0800,=9.0800,=9.0800,=302417011764.0,=302417011764.0,=141855374578.8,,=5.9925,,,,
2026-05-15,=9.0700,=9.0700,=9.0700,=9.0700,=302083953381.0,=302083953381.0,=141699146192.7,,=5.9859,,,,
2026-05-14,=9.0200,=9.0200,=9.0200,=9.0200,=300418661466.0,=300418661466.0,=140918004262.2,,=5.9529,,,,
2026-05-13,=9.0300,=9.0300,=9.0300,=9.0300,=300751719849.0,=300751719849.0,=141074232648.3,,=5.9595,,,,
2026-05-12,=9.0300,=9.0300,=9.0300,=9.0300,=300751719849.0,=300751719849.0,=141074232648.3,,=5.9595,,,,
2026-05-11,=9.0900,=9.0900,=9.0900,=9.0900,=302750070147.0,=302750070147.0,=142011602964.9,,=5.9991,,,,
2026-05-08,=9.0700,=9.0700,=9.0700,=9.0700,=302083953381.0,=302083953381.0,=141699146192.7,,=5.9859,,,,
2026-05-07,=9.0900,=9.0900,=9.0900,=9.0900,=302750070147.0,=302750070147.0,=142011602964.9,,=5.9991,,,,
2026-05-06,=9.1800,=9.1800,=9.1800,=9.1800,=305747595594.0,=305747595594.0,=143417658439.8,,=6.0585,,,,
2026-04-30,=9.2700,=9.2700,=9.2700,=9.2700,=308745121041.0,=308745121041.0,=144823713914.7,,=6.1179,,,,
2026-04-29,=9.3800,=9.3800,=9.3800,=9.3800,=312408763254.0,=312408763254.0,=146542226161.8,,=6.2302,,,,
2026-04-28,=9.3700,=9.3700,=9.3700,=9.3700,=312075704871.0,=312075704871.0,=146385997775.7,,=6.2236,,,,
2026-04-27,=9.3600,=9.3600,=9.3600,=9.3600,=311742646488.0,=311742646488.0,=146229769389.6,,=6.2169,,,,
2026-04-24,=9.4500,=9.4500,=9.4500,=9.4500,=314740171935.0,=314740171935.0,=147635824864.5,,=6.2767,,,,
2026-04-23,=9.5400,=9.5400,=9.5400,=9.5400,=317737697382.0,=317737697382.0,=149041880339.4,,=6.3365,,,,
2026-04-22,=9.6100,=9.6100,=9.6100,=9.6100,=320069106063.0,=320069106063.0,=150135479042.1,,=6.3830,,,,
2026-04-21,=9.7200,=9.7200,=9.7200,=9.7200,=323732748276.0,=323732748276.0,=151853991289.2,,=6.4561,,,,
2026-04-20,=9.7800,=9.7800,=9.7800,=9.7800,=325731098574.0,=325731098574.0,=152791361605.8,,=6.4959,,,,
2026-04-17,=9.8600,=9.8600,=9.8600,=9.8600,=328395565638.0,=328395565638.0,=154041188694.6,,=6.5491,,,,
2026-04-16,=10.0000,=10.0000,=10.0000,=10.0000,=333058383000.0,=333058383000.0,=156228386100.0,,=6.6420,,,,
2026-04-15,=10.1100,=10.1100,=10.1100,=10.1100,=336722025213.0,=336722025213.0,=157946898347.1,,=6.7151,,,,
2026-04-14,=10.0500,=10.0500,=10.0500,=10.0500,=334723674915.0,=334723674915.0,=157009528030.5,,=6.6752,,,,
2026-04-13,=9.8600,=9.8600,=9.8600,=9.8600,=328395565638.0,=328395565638.0,=154041188694.6,,=6.5491,,,,
2026-04-10,=9.8900,=9.8900,=9.8900,=9.8900,=329394740787.0,=329394740787.0,=154509873852.9,,=6.5690,,,,
2026-04-09,=9.9300,=9.9300,=9.9300,=9.9300,=330726974319.0,=330726974319.0,=155134787397.3,,=6.5955,,,,
2026-04-08,=10.0900,=10.0900,=10.0900,=10.0900,=336055908447.0,=336055908447.0,=157634441574.9,,=6.7018,,,,
2026-04-07,=9.9800,=9.9800,=9.9800,=9.9800,=332392266234.0,=332392266234.0,=155915929327.8,,=6.6288,,,,
2026-04-03,=10.1200,=10.1200,=10.1200,=10.1200,=337055083596.0,=337055083596.0,=158103126733.2,,=6.7217,,,,
2026-04-02,=10.2500,=10.2500,=10.2500,=10.2500,=341384842575.0,=341384842575.0,=160134095752.5,,=6.8081,,,,
2026-04-01,=10.2400,=10.2400,=10.2400,=10.2400,=341051784192.0,=341051784192.0,=159977867366.4,,=6.8014,,,,
2026-03-31,=10.1800,=10.1800,=10.1800,=10.1800,=339053433894.0,=339053433894.0,=159040497049.8,,=6.7616,,,,
2026-03-30,=10.0100,=10.0100,=10.0100,=10.0100,=333391441383.0,=333391441383.0,=148302068304.39,,=6.7837,,,,
