date,市值(元),股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-06-02,235286247410.16,0.0166,17.8750,0.6738,21.2807,15.8467,12.7229,1.0983,0.0452,2.4279,1.8617,1.3944,2.1890,0.0774,4.6156,3.6224,2.6455
2026-06-01,237446272832.1,0.0165,18.0391,0.6838,21.2875,15.8467,12.7229,1.1084,0.0509,2.4279,1.8617,1.3956,2.2091,0.0779,4.6156,3.6224,2.6459
2026-05-29,229933140929.7,0.0170,17.4683,0.6462,21.2922,15.8478,12.7229,1.0734,0.0339,2.4279,1.8615,1.3961,2.1392,0.0717,4.6156,3.6222,2.6466
2026-05-28,231185329580.1,0.0169,17.5635,0.6539,21.2922,15.8477,12.7229,1.0792,0.0357,2.4279,1.8616,1.3969,2.1508,0.0730,4.6156,3.6223,2.6481
2026-05-27,234910590815.04,0.0167,17.8465,0.6707,21.2922,15.8467,12.7229,1.0966,0.0431,2.4279,1.8617,1.3997,2.1855,0.0761,4.6156,3.6224,2.6481
2026-05-26,242861988745.08,0.0161,18.4506,0.7012,21.2922,15.8467,12.7229,1.1337,0.0687,2.4279,1.8617,1.4008,2.1801,0.0748,4.6156,3.6224,2.6498
2026-05-25,240576744458.1,0.0163,18.2770,0.6925,21.2922,15.8467,12.7229,1.1230,0.0609,2.4279,1.8617,1.4012,2.1596,0.0735,4.6156,3.6224,2.6515
2026-05-22,244145482111.74,0.0160,18.5481,0.7066,21.2922,15.8478,12.7229,1.1397,0.0704,2.4279,1.8615,1.4029,2.1916,0.0752,4.6156,3.6222,2.6517
2026-05-21,242580246298.74,0.0161,18.4292,0.6987,21.2922,15.8477,12.7229,1.1324,0.0670,2.4279,1.8616,1.4034,2.1776,0.0739,4.6156,3.6223,2.6520
2026-05-20,247307258454.0,0.0158,18.7883,0.7147,21.2922,15.8467,12.7229,1.1545,0.0774,2.4279,1.8617,1.4039,2.2200,0.0757,4.6156,3.6224,2.6540
2026-05-19,248872494267.0,0.0157,18.9072,0.7190,21.2922,15.8467,12.7229,1.1618,0.0792,2.4279,1.8617,1.4041,2.2341,0.0770,4.6156,3.6224,2.6548
2026-05-18,250124682917.4,0.0156,19.0023,0.7251,21.2922,15.8467,12.7229,1.1676,0.0813,2.4279,1.8617,1.4051,2.2453,0.0779,4.6156,3.6224,2.6556
2026-05-15,256103883723.06,0.0153,19.4566,0.7458,21.2922,15.8478,12.7229,1.1955,0.0947,2.4279,1.8615,1.4060,2.2990,0.0926,4.6156,3.6222,2.6573
2026-05-14,256667368615.74,0.0152,19.4994,0.7465,21.2922,15.8477,12.7229,1.1982,0.0952,2.4279,1.8616,1.4065,2.3040,0.0943,4.6156,3.6223,2.6614
2026-05-13,260862200594.58,0.0150,19.8181,0.7529,21.2922,15.8467,12.7229,1.2177,0.1122,2.4279,1.8617,1.4069,2.3417,0.1044,4.6156,3.6224,2.6630
2026-05-12,260736981729.54,0.0150,19.8086,0.7521,21.2922,15.8467,12.7229,1.2172,0.1118,2.4279,1.8617,1.4072,2.3406,0.1035,4.6156,3.6224,2.6638
2026-05-11,261425685487.26,0.0150,19.8609,0.7555,21.2922,15.8467,12.7229,1.2204,0.1135,2.4279,1.8617,1.4072,2.3468,0.1057,4.6156,3.6224,2.6642
2026-05-08,261707427933.6,0.0150,19.8823,0.7558,21.2922,15.8478,12.7229,1.2217,0.1143,2.4279,1.8615,1.4073,2.3493,0.1060,4.6156,3.6222,2.6676
2026-05-07,265463993884.8,0.0147,20.1677,0.7626,21.2922,15.8477,12.7229,1.2392,0.1226,2.4279,1.8616,1.4079,2.3830,0.1130,4.6156,3.6223,2.6683
2026-05-06,280897219000.9801,0.0139,21.3402,0.8021,21.2922,15.8467,12.7229,1.3113,0.1488,2.4279,1.8617,1.4080,2.5215,0.1540,4.6156,3.6224,2.6704
2026-04-30,280302429392.0401,0.0140,21.2950,0.7997,21.2950,15.8478,12.7229,1.3085,0.1455,2.4279,1.8614,1.4122,2.5162,0.1520,4.6156,3.6222,2.6707
2026-04-29,282838111409.1,0.0138,21.4876,0.8062,21.2950,15.8478,12.7229,1.3203,0.1547,2.4279,1.8615,1.4131,2.5390,0.1586,4.6156,3.6222,2.6713
2026-04-28,280114601094.4801,0.0140,21.2807,0.7983,21.2950,15.8478,12.7229,1.3076,0.1447,2.4279,1.8615,1.4137,2.5145,0.1512,4.6156,3.6222,2.6732
2026-04-27,278518060565.22,0.0140,21.1594,0.7940,21.3098,15.8478,12.7229,1.3002,0.1412,2.4279,1.8615,1.4145,2.5002,0.1469,4.6156,3.6222,2.6763
2026-04-24,280302429392.0401,0.0140,21.2950,0.7985,21.3518,15.8499,12.7246,1.3085,0.1446,2.4270,1.8605,1.4152,2.5162,0.1511,4.6122,3.6216,2.6795
2026-04-23,274385838018.9,0.0143,20.8455,0.7806,21.3693,15.8478,12.7229,1.2809,0.1325,2.4279,1.8614,1.4152,2.4631,0.1351,4.6156,3.6222,2.6795
2026-04-22,274542361600.2,0.0143,20.8574,0.7814,21.3693,15.8478,12.7229,1.2816,0.1330,2.4279,1.8615,1.4163,2.4645,0.1352,4.6156,3.6222,2.6799
2026-04-21,273884962558.74,0.0143,20.8074,0.7797,21.3764,15.8478,12.7229,1.2785,0.1321,2.4279,1.8615,1.4165,2.4586,0.1326,4.6156,3.6222,2.6800
2026-04-20,274041486140.04,0.0084,24.6950,0.9122,21.3804,15.8478,12.7229,1.5336,0.2642,2.4279,1.8615,1.4165,2.6061,0.1756,4.6156,3.6222,2.6821
2026-04-17,274761494614.02,0.0083,24.7599,0.9153,21.3867,15.8499,12.7246,1.5376,0.2662,2.4270,1.8605,1.4167,2.6130,0.1772,4.6122,3.6216,2.6865
2026-04-16,282055493502.6,0.0081,25.4172,0.9266,21.3867,15.8478,12.7229,1.5785,0.2958,2.4279,1.8614,1.4165,2.6824,0.1994,4.6156,3.6222,2.6865
2026-04-15,278862412444.08,0.0082,25.1295,0.9231,21.3804,15.8478,12.7229,1.5606,0.2851,2.4279,1.8615,1.4165,2.6520,0.1904,4.6156,3.6222,2.6911
2026-04-14,283871167045.68,0.0081,25.5808,0.9270,21.3804,15.8478,12.7229,1.5886,0.2994,2.4279,1.8615,1.4165,2.6996,0.2021,4.6156,3.6222,2.6918
2026-04-13,288629483917.2,0.0079,26.0096,0.9300,21.3804,15.8478,12.7229,1.6152,0.3116,2.4279,1.8615,1.4165,2.7449,0.2143,4.6156,3.6222,2.6918
2026-04-10,278831107727.82,0.0082,25.1266,0.9240,21.3764,15.8499,12.7246,1.5604,0.2844,2.4270,1.8605,1.4167,2.6517,0.1898,4.6122,3.6216,2.6920
2026-04-09,274198009721.34,0.0084,24.7091,0.9157,21.3764,15.8478,12.7229,1.5345,0.2646,2.4279,1.8614,1.4165,2.6076,0.1755,4.6156,3.6222,2.6920
2026-04-08,270597967351.44,0.0085,24.3847,0.9066,21.3693,15.8478,12.7229,1.5143,0.2521,2.4279,1.8615,1.4165,2.5734,0.1630,4.6156,3.6222,2.6943
2026-04-07,270065787175.02,0.0085,24.3368,0.9048,21.3518,15.8478,12.7229,1.5114,0.2499,2.4279,1.8615,1.4165,2.5683,0.1612,4.6156,3.6222,2.6945
2026-04-03,257888252549.88,0.0089,23.2394,0.8762,21.3098,15.8499,12.7246,1.4432,0.2162,2.4270,1.8605,1.4167,2.4525,0.1298,4.6122,3.6216,2.7025
2026-04-02,258921308186.46,0.0089,23.3325,0.8792,21.3098,15.8478,12.7229,1.4490,0.2189,2.4279,1.8614,1.4165,2.4624,0.1334,4.6156,3.6222,2.7025
2026-04-01,259422183646.6201,0.0088,23.3776,0.8809,21.2922,15.8478,12.7229,1.4518,0.2208,2.4279,1.8615,1.4165,2.4671,0.1360,4.6156,3.6222,2.7031
2026-03-31,248715970685.7,0.0092,22.4128,0.8483,21.2875,15.8478,12.7229,1.3919,0.1851,2.4279,1.8615,1.4165,2.3653,0.1086,4.6156,3.6222,2.7047
2026-03-30,252347317771.86,0.0091,22.7401,0.8631,21.2875,15.8478,12.7229,1.4122,0.1960,2.4279,1.8615,1.4167,2.3998,0.1169,4.6156,3.6222,2.7057
2026-03-27,250375120647.48,0.0092,22.5624,0.8567,21.2734,15.8499,12.7246,1.4012,0.1898,2.4270,1.8605,1.4179,2.3811,0.1116,4.6122,3.6216,2.7093
2026-03-26,248027266927.98,0.0092,22.3508,0.8449,21.2734,15.8478,12.7229,1.3880,0.1833,2.4279,1.8614,1.4179,2.3587,0.1069,4.6156,3.6222,2.7093
2026-03-25,245585499059.7,0.0093,22.1307,0.8336,21.2696,15.8478,12.7229,1.3744,0.1760,2.4279,1.8615,1.4184,2.3355,0.1030,4.6156,3.6222,2.7093
2026-03-24,235192333261.38,0.0097,21.1942,0.7988,21.2593,15.8478,12.7229,1.3162,0.1495,2.4279,1.8615,1.4192,2.2367,0.0769,4.6156,3.6222,2.7093
2026-03-23,234816676666.26,0.0098,21.1603,0.7988,21.2593,15.8478,12.7229,1.3141,0.1469,2.4279,1.8615,1.4197,2.2331,0.0765,4.6156,3.6222,2.7093
2026-03-20,241046315202.0,0.0095,21.7217,0.8194,21.2527,15.8499,12.7246,1.3490,0.1628,2.4270,1.8605,1.4205,2.2924,0.0877,4.6122,3.6216,2.7118
2026-03-19,245522889627.18,0.0093,22.1251,0.8336,21.2527,15.8478,12.7229,1.3740,0.1742,2.4279,1.8614,1.4205,2.3349,0.1012,4.6156,3.6222,2.7118
2026-03-18,252503841353.16,0.0091,22.7542,0.8644,21.2388,15.8478,12.7229,1.4131,0.1930,2.4279,1.8615,1.4220,2.4013,0.1139,4.6156,3.6222,2.7119
2026-03-17,250907300823.9,0.0091,22.6103,0.8588,21.1595,15.8478,12.7229,1.4041,0.1886,2.4279,1.8615,1.4225,2.3861,0.1104,4.6156,3.6222,2.7158
