date,负债合计,资产负债率,长期负债合计,流动比率,流动资产合计,流动负债合计,速动比率,所有者权益合计,资产合计,有息负债率
2026-03-31,223610409999,0.6432,48476026201,0.7235,0,6809432419,0.5074,124061543730,347671953730,0.4182
2025-12-31,202880274334,0.6281,45829109950,0.616,0,5723203491,0.3983,120128744108,323009018442,0.3376
2025-09-30,211992840342,0.6457,52765386127,0.6713,0,6574057848,0.4576,116330912266,328323752608,0.3684
2025-06-30,207901419122,0.658,53095019378,0.6221,0,5517423091,0.4164,108054051884,315955471006,0.4289
2025-03-31,210039150126,0.6615,51642044993,0.6377,0,5889537884,0.4245,107482068587,317521218713,0.424
2024-12-31,189833199878,0.6472,48176160956,0.5551,0,5193897683,0.3471,103500149867,293333349744,0.3578
2024-09-30,208040183857,0.6719,53241608996,0.6594,0,5917931484,0.4556,101600950497,309641134355,0.398
2024-06-30,194613440189,0.6614,51071727856,0.6307,0,5565703145,0.4225,99626367421,294239807610,0.3848
2024-03-31,180112251844,0.6453,46087284939,0.6457,0,5796031719,0.4416,99010202517,279122454360,0.4164
2023-12-31,158586175112,0.6267,39810792851,0.5694,0,5674050867,0.359,94454215734,253040390845,0.3924
2023-09-30,166395307572,0.6497,35249636743,0.6351,0,5440589051,0.4628,89703220077,256098527649,0.4898
2023-06-30,158555609168,0.6465,31811840804,0.625,0,5094547429,0.4423,86687318073,245242927241,0.4545
2023-03-31,152019007279,0.6393,21714933031,0.6444,0,5508633780,0.4782,85774779187,237793786466,0.4284
2022-12-31,119506211214,0.595,15968336388,0.5423,0,5391914942,0.3375,81336987661,200843198875,0.3448
2022-09-30,137892890933,0.6388,20662166929,0.6957,0,5246153551,0.5006,77976940723,215869831656,0.3905
2022-06-30,132846368787,0.6409,18331446990,0.7098,0,5283100573,0.4919,74449906033,207296274820,0.3703
2022-03-31,130847828309,0.6291,16518224189,0.7855,0,5551095734,0.5659,77137387607,207985215916,0.3848
2021-12-31,118613915237,0.6233,15643752279,0.7377,0,4433834214,0.5372,71695667032,190309582269,0.4017
2021-09-30,114183162069,0.6294,15534290750,0.7477,0,5526161265,0.5536,67220888828,181404050897,0.4024
2021-06-30,106635306272,0.6374,14940473537,0.7223,0,5193254871,0.5289,60667309492,167302615764,0.3999
2021-03-31,93055021834,0.6165,13177786174,0.6978,0,4021434862,0.5174,57895557028,150950578862,0.3917
2020-12-31,82101895632,0.6138,11821926162,0.5948,0,2878652144,0.4556,51650773757,133752669388,0.3794
2020-09-30,79974712069,0.6348,9168244402,0.5699,0,2313355574,0.4354,46012334080,125987046150,0.3776
2020-06-30,71971688647,0.6275,7939776345,0.532,0,2071762994,0.3795,42727809819,114699498465,0.3798
2020-03-31,62379469977,0.5789,5256152738,0.5807,0,2456862528,0.3778,45374726157,107754196134,0.321
2019-12-31,52934063684,0.5465,5962595246,0.5242,0,0,0.3227,43931258972,96865322655,0.3031
2019-09-30,54512245508,0.565,4255293739,0.5946,0,0,0.3807,41972354217,96484599726,0.3327
2019-06-30,56281109234,0.5862,3472354076,0.6321,0,0,0.4402,39732275780,96013385014,0.3502
2019-03-31,49783372553,0.5391,4507035123,0.7655,0,0,0.5651,42554253911,92337626464,0.326
2018-12-31,37662247538,0.4897,3817505000,0.9019,0,0,0.6527,39250411663,76912659202,0.3012
2018-09-30,34704220762,0.482,4635674286,0.9027,0,0,0.5966,37289331916,71993552678,0.2644
2018-06-30,33513409079,0.4922,5238643571,0.9181,0,0,0.6293,34579356676,68092765755,0.3284
2018-03-31,35645208002,0.5366,6456812857,0.89,0,0,0.5931,30778130185,66423338187,0.3597
2017-12-31,35073605690,0.5328,6321648809,0.9058,0,0,0.6369,30754126558,65827732248,0.3298
2017-09-30,36065823501,0.5747,7186001560,0.8543,0,0,0.6076,26687174094,62752997595,0.3759
2017-06-30,35101831690,0.5851,7829437381,0.8373,0,0,0.5734,24886251358,59988083047,0.4086
2017-03-31,33537560589,0.5892,9029286666,0.8157,0,0,0.5499,23380532948,56918093537,0.3836
2016-12-31,32431078399,0.6388,9333345000,0.5856,0,0,0.3831,18333937056,50765015455,0.4312
2016-09-30,34788256070,0.6744,11201345000,0.6293,0,0,0.3889,16796809546,51585065616,0.447
2016-06-30,34766644488,0.6906,10402436667,0.5336,0,0,0.3121,15574027016,50340671505,0.5094
