date,自由现金流量,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率
2026-03-31,16824815000,3540722000,-0.1976,2.245
2025-12-31,17729563000,19975261000,0.3484,2.3535
2025-09-30,14745139000,14547126000,0.1755,2.0337
2025-06-30,14554707000,10134279000,0.2011,2.1361
2025-03-31,12613329000,4412691000,0.0081,2.13
2024-12-31,12129354000,14814278000,1.5953,2.4315
2024-09-30,9957802000,12375235000,1.5174,2.3951
2024-06-30,9795469000,8437831000,22.0461,2.8889
2024-03-31,7499858000,4377294000,3.7498,2.497
2023-12-31,1580095000,5708220000,0.392,1.2393
2023-09-30,1128174000,5061819000,0.4504,1.1743
2023-06-30,-3124373000,401959000,-0.8667,0.2929
2023-03-31,-4515395000,-1570177000,-1.7873,0.1235
2022-12-31,-1439361000,4098763000,-0.6557,0.9306
2022-09-30,-1041784000,3486617000,-0.6594,1.6171
2022-06-30,-2276178000,2986374000,-0.6949,1.0718
2022-03-31,4135086000,1994399000,1.0845,1.5558
2021-12-31,1927695000,11904233000,-0.1129,0.9658
2021-09-30,3010605000,10236076000,-0.0761,0.7866
2021-06-30,6154154000,9788105000,0.3575,0.8336
2021-03-31,8615728000,956780000,3.3417,0.7885
2020-12-31,9230151000,13362907000,0.1245,0.8425
2020-09-30,11293931000,11024263000,0.3316,1.0016
2020-06-30,11787049000,8547601000,0.1254,1.0773
2020-03-31,6750635000,-894887000,-1.2341,0.8231
2019-12-31,11108209000,13265375000,0.2601,1.1541
2019-09-30,9919160000,9444694000,0.0816,1.0559
2019-06-30,10562484000,7595313000,0.221,1.2238
2019-03-31,10499749000,3823418000,0.4749,1.456
2018-12-31,9523717000,10526899000,0.2291,1.67
2018-09-30,9752677000,8731894000,0.2693,1.9458
2018-06-30,8544883000,6220539000,0.0555,1.9885
2018-03-31,8003777000,2592280000,-0.1357,2.7487
2017-12-31,8530979000,8564501000,1.6357,3.8456
2017-09-30,8205171000,6879531000,2.3807,4.2729
2017-06-30,7648720000,5893709000,2.7922,5.9374
2017-03-31,6391071000,2999112000,11.4514,7.4578
2016-12-31,3024459000,3249450000,0.2049,19.838
2016-09-30,2455832000,2034958000,2.5731,12.2938
