日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-07-03,=72.1500,=72.1500,=72.1500,=72.1500,=195353624559.6,=173904207048.0,=140267713339.65,,=5.9308,,,,
2026-07-02,=68.4000,=68.4000,=68.4000,=68.4000,=185200109769.6,=164865526848.0,=132977291648.4,,=5.6225,,,,
2026-07-01,=68.2000,=68.2000,=68.2000,=68.2000,=184658588980.8,=164383463904.0,=132588469158.2,,=5.6061,,,,
2026-06-30,=66.3300,=66.3300,=66.3300,=66.3300,=179595369605.52,=159876175378.0,=128952978874.83,,=5.4524,,,,
2026-06-29,=65.2300,=65.2300,=65.2300,=65.2300,=176617005267.12,=157224829186.0,=126814455178.73,,=5.3619,,,,
2026-06-26,=63.2800,=63.2800,=63.2800,=63.2800,=171337177576.32,=152524715482.0,=123023435899.28,,=5.2017,,,,
2026-06-25,=66.8400,=66.8400,=66.8400,=66.8400,=180976247616.96,=161105435885.0,=129944476224.84,,=5.4943,,,,
2026-06-24,=66.3100,=66.3100,=66.3100,=66.3100,=179541217526.64,=159827969083.0,=128914096625.81,,=5.4507,,,,
2026-06-23,=66.8200,=66.8200,=66.8200,=66.8200,=180922095538.08,=161057229590.0,=129905593975.82,,=5.4926,,,,
2026-06-22,=68.9500,=68.9500,=68.9500,=68.9500,=186689291938.8,=166191199944.0,=134046553496.45,,=5.6677,,,,
2026-06-18,=71.1800,=71.1800,=71.1800,=71.1800,=192727248733.92,=171566201770.0,=138381924262.18,,=5.8510,,,,
2026-06-17,=69.7500,=69.7500,=69.7500,=69.7500,=188855375094.0,=168119451720.0,=135601843457.25,,=5.7335,,,,
2026-06-16,=70.2400,=70.2400,=70.2400,=70.2400,=190182101026.56,=169300505933.0,=136554458558.24,,=5.7738,,,,
2026-06-15,=69.3000,=69.3000,=69.3000,=69.3000,=187636953319.2,=167034810096.0,=134726992854.3,,=5.6965,,,,
2026-06-12,=67.1600,=67.1600,=67.1600,=67.1600,=181842680879.04,=161876736595.0,=130566592209.16,,=5.5206,,,,
2026-06-11,=69.2100,=69.2100,=69.2100,=69.2100,=187393268964.24,=166817881771.0,=134552022733.71,,=5.6891,,,,
2026-06-10,=70.1000,=70.1000,=70.1000,=70.1000,=189803036474.4,=168963061872.0,=136282282815.1,,=5.7623,,,,
2026-06-09,=74.6000,=74.6000,=74.6000,=74.6000,=201987254222.4,=179809478112.0,=145030788844.6,,=6.1322,,,,
2026-06-08,=74.5200,=74.5200,=74.5200,=74.5200,=201770645906.88,=179616652934.0,=144875259848.52,,=6.1256,,,,
2026-06-05,=75.0800,=75.0800,=75.0800,=75.0800,=203286904115.52,=180966429178.0,=145963962821.08,,=6.1716,,,,
