日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,股息率
2026-07-03,=1194.4500,=1194.4500,=1194.4500,=1194.4500,=1493159968314.45,=1493159968314.0,=682015756596.0,,=0.0436
2026-07-02,=1203.0000,=1203.0000,=1203.0000,=1203.0000,=1503848166003.0,=1503848166003.0,=686897697840.0,,=0.0432
2026-07-01,=1193.0100,=1193.0100,=1193.0100,=1193.0100,=1491359850809.01,=1491359850809.0,=681193534912.8,,=0.0436
2026-06-30,=1185.4900,=1185.4900,=1185.4900,=1185.4900,=1481959237169.49,=1481959237169.0,=676899710567.2,,=0.0439
2026-06-29,=1194.9600,=1194.9600,=1194.9600,=1194.9600,=1493797509930.96,=1493797509931.0,=682306960108.8,,=0.0435
2026-06-26,=1168.6300,=1168.6300,=1168.6300,=1168.6300,=1460882861376.63,=1460882861377.0,=667272865026.4,,=0.0445
2026-06-25,=1212.1000,=1212.1000,=1212.1000,=1212.1000,=1515223908572.1,=1515223908572.0,=692093682088.0,,=0.0429
2026-06-24,=1207.6800,=1207.6800,=1207.6800,=1207.6800,=1509698547895.6802,=1509698547896.0,=689569918310.4,,=0.0431
2026-06-23,=1222.4500,=1222.4500,=1222.4500,=1222.4500,=1528162253142.45,=1528162253142.0,=698003400436.0,,=0.0426
2026-06-22,=1241.4100,=1241.4100,=1241.4100,=1241.4100,=1551863800297.4102,=1551863800297.0,=708829319264.8,,=0.0419
2026-06-18,=1215.0000,=1215.0000,=1215.0000,=1215.0000,=1518849145215.0,=1518849145215.0,=693749545200.0,,=0.0428
2026-06-17,=1240.0000,=1240.0000,=1240.0000,=1240.0000,=1550101185240.0,=1550101185240.0,=708024227200.0,,=0.0420
2026-06-16,=1255.6700,=1255.6700,=1255.6700,=1255.6700,=1569689963927.6702,=1569689963928.0,=716971597877.6001,,=0.0414
2026-06-15,=1271.1000,=1271.1000,=1271.1000,=1271.1000,=1588978723031.1,=1588978723031.0,=725781931608.0,,=0.0409
2026-06-12,=1291.9100,=1291.9100,=1291.9100,=1291.9100,=1614992921147.9102,=1614992921148.0,=737664176904.8,,=0.0403
2026-06-11,=1279.0000,=1279.0000,=1279.0000,=1279.0000,=1598854367679.0,=1598854367679.0,=730292731120.0,,=0.0407
2026-06-10,=1275.8800,=1275.8800,=1275.8800,=1275.8800,=1594954113083.88,=1594954113084.0,=728511250806.4,,=0.0408
2026-06-09,=1256.0000,=1256.0000,=1256.0000,=1256.0000,=1570102490856.0,=1570102490856.0,=717160023680.0,,=0.0414
2026-06-08,=1262.9800,=1262.9800,=1262.9800,=1262.9800,=1578828060430.98,=1578828060431.0,=721145514894.4,,=0.0412
2026-06-05,=1272.8600,=1272.8600,=1272.8600,=1272.8600,=1591178866648.86,=1591178866649.0,=726786869220.7999,,=0.0409
