date,速动比率,有息负债率,流动比率,资产负债率
2026-03-31,1.4087,0.0304,2.4613,0.3264
2025-12-31,1.5806,0.0369,2.6893,0.3018
2025-09-30,1.7034,0.0464,2.9094,0.2947
2025-06-30,1.7659,0.0813,2.9234,0.3031
2025-03-31,1.6939,0.0884,2.7536,0.3039
2024-12-31,1.7029,0.0935,2.8005,0.297
2024-09-30,1.3625,0.0741,2.404,0.3111
2024-06-30,1.5802,0.0584,2.7298,0.2982
2024-03-31,1.77,0.058,2.9359,0.2545
2023-12-31,1.5974,0.0478,2.5959,0.2615
2023-09-30,1.9957,0.0699,3.0799,0.2591
2023-06-30,2.3278,0.0794,3.4723,0.2252
2023-03-31,1.9265,0.1083,2.9947,0.2655
2022-12-31,1.7262,0.1191,2.937,0.2711
2022-09-30,1.7031,0.1298,3.0301,0.2853
2022-06-30,1.5502,0.127,2.7038,0.2952
2022-03-31,2.1523,0.1445,3.5119,0.2792
2021-12-31,1.9428,0.1561,3.1657,0.2995
2021-09-30,0.8942,0.232,1.9092,0.398
2021-06-30,0.9459,0.2427,1.9964,0.4069
2021-03-31,1.0237,0.1749,2.3401,0.3795
2020-12-31,1.1048,0.2076,2.1161,0.4129
2020-09-30,1.0158,0.1809,1.9287,0.4183
2020-06-30,0.935,0.1685,1.7738,0.4145
2020-03-31,1.0721,0.1624,2.0846,0.3559
2019-12-31,1.2111,0.1333,2.12,0.3398
2019-09-30,1.4624,0.1537,2.5638,0.3132
2019-06-30,1.456,0.1834,2.4005,0.3349
2019-03-31,1.2628,0.1946,2.0986,0.3242
2018-12-31,0.6921,0.2131,1.4501,0.4089
2018-09-30,0.7033,0.2165,1.4267,0.4313
2018-06-30,0.8465,0.1719,1.5771,0.4646
2018-03-31,0.7876,0.1315,1.7139,0.4511
2017-12-31,0.7686,0.1308,1.4617,0.4871
2017-09-30,0.8723,0.1438,1.5973,0.4363
2017-06-30,3.8879,0.0124,5.442,0.1048
2017-03-31,3.3056,0.0119,4.9594,0.1112
2016-12-31,3.286,0.0115,4.5142,0.1208
2016-09-30,3.467,0,4.9718,0.1212
2016-06-30,3.4942,0,4.888,0.1216
