date,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-04-21,64.2832,0.6266,89.4195,51.0723,31.0971,0.0016,28.5591,0.9961,11.2202,7.6237,4.5836,64.6702,0.5894,97.3688,56.3090,32.7074,27.0031,0.9974,9.1228,5.8220,3.4582,18.8195,0.8122,17.6126,7.3200,3.8995
2026-04-20,63.1787,0.6266,89.4195,51.0723,31.0971,0.0016,28.0684,0.9961,11.2202,7.6237,4.5836,63.5591,0.5894,97.3688,56.3090,32.7074,26.5391,0.9974,9.1228,5.8220,3.4582,18.4961,0.8122,17.6126,7.3200,3.8995
2026-04-17,63.2530,0.6266,89.4195,51.0723,31.0971,0.0016,28.1014,0.9961,11.2202,7.6237,4.5836,63.6338,0.5894,97.3688,56.3090,32.7074,26.5704,0.9974,9.1228,5.8220,3.4582,18.5179,0.8122,17.6126,7.3200,3.8995
2026-04-16,83.3149,0.6266,89.4195,51.0723,31.0971,0.0017,32.3282,0.9961,11.2202,7.6237,4.5836,83.9933,0.5894,97.3688,56.3090,32.7074,30.2223,0.9974,9.1228,5.8220,3.4582,23.5244,0.8122,17.6126,7.3200,3.8995
2026-04-15,80.2658,0.6266,89.4195,51.0723,31.0971,0.0018,31.1450,0.9961,11.2202,7.6237,4.5836,80.9193,0.5894,97.3688,56.3090,32.7074,29.1163,0.9974,9.1228,5.8220,3.4582,22.6635,0.8122,17.6126,7.3200,3.8995
2026-04-14,79.5475,0.6266,89.4195,51.0723,31.0971,0.0018,30.8663,0.9961,11.2202,7.6237,4.5836,80.1952,0.5894,97.3688,56.3090,32.7074,28.8557,0.9974,9.1228,5.8220,3.4582,22.4607,0.8122,17.6126,7.3200,3.8995
2026-04-13,75.9457,0.6266,89.4195,51.0723,31.0971,0.0019,29.4687,0.9961,11.2202,7.6237,4.5836,76.5641,0.5894,97.3688,56.3090,32.7074,27.5492,0.9974,9.1228,5.8220,3.4582,21.4437,0.8122,17.6126,7.3200,3.8995
2026-04-10,75.6010,0.6266,89.4195,51.0723,31.0971,0.0019,29.3350,0.9961,11.2202,7.6237,4.5836,76.2165,0.5894,97.3688,56.3090,32.7074,27.4241,0.9974,9.1228,5.8220,3.4582,21.3464,0.8122,17.6126,7.3200,3.8995
2026-04-09,71.3169,0.6266,89.4195,51.0723,31.0971,0.0020,27.6727,0.9961,11.2202,7.6237,4.5836,71.8976,0.5894,97.3688,56.3090,32.7074,25.8701,0.9974,9.1228,5.8220,3.4582,20.1367,0.8122,17.6126,7.3200,3.8995
2026-04-08,70.8148,0.6266,89.4195,51.0723,31.0971,0.0020,27.4778,0.9961,11.2202,7.6237,4.5836,71.3913,0.5894,97.3688,56.3090,32.7074,25.6879,0.9974,9.1228,5.8220,3.4582,19.9949,0.8122,17.6126,7.3200,3.8995
2026-04-07,63.7543,0.6266,89.4195,51.0723,31.0971,0.0023,24.7382,0.9961,11.2202,7.6237,4.5836,64.2734,0.5894,97.3688,56.3090,32.7074,23.1267,0.9974,9.1228,5.8220,3.4582,18.0014,0.8122,17.6126,7.3200,3.8995
2026-04-03,62.4155,0.6266,89.4195,51.0723,31.0971,0.0023,24.2187,0.9961,11.2202,7.6237,4.5836,62.9236,0.5894,97.3688,56.3090,32.7074,22.6411,0.9974,9.1228,5.8220,3.4582,17.6233,0.8122,17.6126,7.3200,3.8995
2026-04-02,59.8922,0.6266,89.4195,51.0723,31.0971,0.0024,23.2396,0.9961,11.2202,7.6237,4.5836,60.3798,0.5894,97.3688,56.3090,32.7074,21.7258,0.9974,9.1228,5.8220,3.4582,16.9109,0.8122,17.6126,7.3200,3.8995
2026-04-01,61.9369,0.6266,89.4195,51.0723,31.0971,0.0023,24.0330,0.9961,11.2202,7.6237,4.5836,62.4412,0.5894,97.3688,56.3090,32.7074,22.4675,0.9974,9.1228,5.8220,3.4582,17.4882,0.8122,17.6126,7.3200,3.8995
2026-03-31,58.5966,0.6266,89.4195,51.0723,31.0971,0.0025,22.7368,0.9961,11.2202,7.6237,4.5836,59.0736,0.5894,97.3688,56.3090,32.7074,21.2558,0.9974,9.1228,5.8220,3.4582,16.5451,0.8122,17.6126,7.3200,3.8995
2026-03-30,76.5473,0.6266,89.4195,51.0723,31.0971,0.0015,26.7699,0.9961,11.2202,7.6237,4.5836,77.6038,0.5894,97.3688,56.3090,32.7074,24.8031,0.9974,9.1228,5.8220,3.4582,20.7432,0.8122,17.6126,7.3200,3.8995
2026-03-27,77.7064,0.6266,89.4195,51.0723,31.0971,0.0015,27.1753,0.9961,11.2202,7.6237,4.5836,78.7789,0.5894,97.3688,56.3090,32.7074,25.1786,0.9974,9.1228,5.8220,3.4582,21.0573,0.8122,17.6126,7.3200,3.8995
2026-03-26,79.8115,0.6266,89.4195,51.0723,31.0971,0.0015,27.9114,0.9961,11.2202,7.6237,4.5836,80.9130,0.5894,97.3688,56.3090,32.7074,25.8607,0.9974,9.1228,5.8220,3.4582,21.6277,0.8122,17.6126,7.3200,3.8995
2026-03-25,81.6567,0.6266,89.4195,51.0723,31.0971,0.0014,28.5567,0.9961,11.2202,7.6237,4.5836,82.7837,0.5894,97.3688,56.3090,32.7074,26.4586,0.9974,9.1228,5.8220,3.4582,22.1277,0.8122,17.6126,7.3200,3.8995
2026-03-24,78.3808,0.6266,89.4195,51.0723,31.0971,0.0015,27.4111,0.9961,11.2202,7.6237,4.5836,79.4626,0.5894,97.3688,56.3090,32.7074,25.3972,0.9974,9.1228,5.8220,3.4582,21.2400,0.8122,17.6126,7.3200,3.8995
2026-03-23,77.9169,0.6266,89.4195,51.0723,31.0971,0.0015,27.2489,0.9961,11.2202,7.6237,4.5836,78.9923,0.5894,97.3688,56.3090,32.7074,25.2469,0.9974,9.1228,5.8220,3.4582,21.1143,0.8122,17.6126,7.3200,3.8995
2026-03-20,79.5256,0.6266,89.4195,51.0723,31.0971,0.0015,27.8115,0.9961,11.2202,7.6237,4.5836,80.6232,0.5894,97.3688,56.3090,32.7074,25.7681,0.9974,9.1228,5.8220,3.4582,21.5503,0.8122,17.6126,7.3200,3.8995
2026-03-19,74.7437,0.6266,89.4195,51.0723,31.0971,0.0016,26.1391,0.9961,11.2202,7.6237,4.5836,75.7753,0.5894,97.3688,56.3090,32.7074,24.2187,0.9974,9.1228,5.8220,3.4582,20.2544,0.8122,17.6126,7.3200,3.8995
2026-03-18,75.3674,0.6266,89.4195,51.0723,31.0971,0.0016,26.3573,0.9961,11.2202,7.6237,4.5836,76.4076,0.5894,97.3688,56.3090,32.7074,24.4208,0.9974,9.1228,5.8220,3.4582,20.4234,0.8122,17.6126,7.3200,3.8995
2026-03-17,70.5595,0.6266,89.4195,51.0723,31.0971,0.0017,24.6759,0.9961,11.2202,7.6237,4.5836,71.5333,0.5894,97.3688,56.3090,32.7074,22.8629,0.9974,9.1228,5.8220,3.4582,19.1206,0.8122,17.6126,7.3200,3.8995
2026-03-16,72.9894,0.6266,89.4195,51.0723,31.0971,0.0016,25.5257,0.9961,11.2202,7.6237,4.5836,73.9968,0.5894,97.3688,56.3090,32.7074,23.6502,0.9974,9.1228,5.8220,3.4582,19.7790,0.8122,17.6126,7.3200,3.8995
2026-03-13,70.4322,0.6266,89.4195,51.0723,31.0971,0.0017,24.6313,0.9961,11.2202,7.6237,4.5836,71.4042,0.5894,97.3688,56.3090,32.7074,22.8216,0.9974,9.1228,5.8220,3.4582,19.0861,0.8122,17.6126,7.3200,3.8995
2026-03-12,69.4940,0.6266,89.4195,51.0723,31.0971,0.0017,24.3032,0.9961,11.2202,7.6237,4.5836,70.4531,0.5894,97.3688,56.3090,32.7074,22.5176,0.9974,9.1228,5.8220,3.4582,18.8318,0.8122,17.6126,7.3200,3.8995
2026-03-11,72.0772,0.6266,89.4195,51.0723,31.0971,0.0016,25.2066,0.9961,11.2202,7.6237,4.5836,73.0720,0.5894,97.3688,56.3090,32.7074,23.3547,0.9974,9.1228,5.8220,3.4582,19.5319,0.8122,17.6126,7.3200,3.8995
2026-03-10,71.0793,0.6266,89.4195,51.0723,31.0971,0.0016,24.8576,0.9961,11.2202,7.6237,4.5836,72.0603,0.5894,97.3688,56.3090,32.7074,23.0313,0.9974,9.1228,5.8220,3.4582,19.2614,0.8122,17.6126,7.3200,3.8995
2026-03-09,68.3492,0.6266,89.4195,51.0723,31.0971,0.0017,23.9029,0.9961,11.2202,7.6237,4.5836,69.2925,0.5894,97.3688,56.3090,32.7074,22.1467,0.9974,9.1228,5.8220,3.4582,18.5216,0.8122,17.6126,7.3200,3.8995
