date,营业收入,累积同比,归属于母公司普通股股东的净利润,基本每股收益
2026-03-31,19496398084,1.9212,5734501527,5.18
2025-12-31,38239935641,0.6025,10797254300,9.8
2025-09-30,25004800851,0.4443,7131932437,6.48
2025-06-30,14789074838,0.3695,3995115385,3.64
2025-03-31,6674176487,0.3782,1582876129,1.44
2024-12-31,23862159738,1.2264,5171485968,4.72
2024-09-30,17312601820,1.4626,3752659170,3.42
2024-06-30,10798594186,1.697,2358421051,3.03
2024-03-31,4842546924,1.6359,1009266298,1.3
2023-12-31,10717984471,0.1116,2173527748,2.8
2023-09-30,7030290372,0.0241,1295867880,1.62
2023-06-30,4003981244,-0.0537,613752780,0.77
2023-03-31,1837163216,-0.1204,249920270,0.31
2022-12-31,9641794766,0.2529,1223990866,1.54
2022-09-30,6864988244,0.2899,852508436,1.06
2022-06-30,4231043831,0.283,492455174,0.61
2022-03-31,2088622650,0.4191,217412603,0.27
2021-12-31,7695404806,0.0916,876977126,1.21
2021-09-30,5322086826,0.0225,560103357,0.79
2021-06-30,3297852392,0.0164,340820958,0.48
2021-03-31,1471758423,0.1098,133069697,0.19
2020-12-31,7049590125,0.4817,865483550,1.23
2020-09-30,5204785596,0.5849,599875798,0.84
2020-06-30,3244675971,0.5943,365140216,0.51
2020-03-31,1326090401,0.5144,153661867,0.2
2019-12-31,4757677023,-0.0773,513487201,0.73
2019-09-30,3283913791,-0.2186,357884536,0.5
2019-06-30,2035202681,-0.2797,207314057,0.28
2019-03-31,875646837,-0.3739,99499939,0.22
2018-12-31,5156314240,1.1876,623115980,1.36
2018-09-30,4202821091,2.6884,481473706,1.01
2018-06-30,2825560444,39.0291,316903849,0.67
2018-03-31,1398598186,95.0274,147766656,0.31
2017-12-31,2357083470,16.9082,161505416,0.5
2017-09-30,1139473206,12.7885,126303887,0.47
2017-06-30,70587680,0.2452,3968771,0.02
2017-03-31,14564576,0.4106,-4381527,-0.02
2016-12-31,131620385,0.0841,10054132,0.05
2016-09-30,82639681,0.1927,4149693,0.02
2016-06-30,56687970,0.316,5321776,0.02
