date,基本每股收益,累积同比,归属于母公司普通股股东的净利润,营业收入
2026-03-31,0.3728,0.1359,1291771313,14548592028
2025-12-31,1.4733,0.0231,5104609986,59274045475
2025-09-30,1.1426,0.0405,3958690910,44523390230
2025-06-30,0.6705,0.0116,2323162304,28413967234
2025-03-31,0.3282,-0.106,1137224433,14269036953
2024-12-31,1.44,-0.0126,4989048075,59561224544
2024-09-30,1.0981,-0.1208,3804459384,43999316269
2024-06-30,0.6628,-0.1904,2296351131,27593213221
2024-03-31,0.3671,-0.1453,1271715274,14268777130
2023-12-31,1.4584,-0.101,5052741772,59892963177
2023-09-30,1.249,0.0643,4327222308,46192701098
2023-06-30,0.8187,0.0388,2836676898,30426569045
2023-03-31,0.4295,0.019,1488153816,15665690306
2022-12-31,1.6223,0.1552,5620885671,62575635903
2022-09-30,1.1735,0.1775,4065709842,44533397599
2022-06-30,0.7881,0.0762,2730375334,27902038704
2022-03-31,0.4215,0.0135,1460456812,13761901622
2021-12-31,1.4044,-0.2466,4865939674,66682260353
2021-09-30,0.9966,-0.3302,3452886928,50958105408
2021-06-30,0.7323,-0.2006,2537093121,34841777479
2021-03-31,0.4159,-0.0576,1441074393,18284212024
2020-12-31,1.8642,0.138,6255513991,73862643467
2020-09-30,1.4878,0.2525,4938309157,55726638774
2020-06-30,0.9161,0.2674,3040933153,36347557588
2020-03-31,0.4413,0.1383,1464652220,17581630130
2019-12-31,1.6382,0.107,5437612565,60309731763
2019-09-30,1.1879,0.0785,3943102020,41968478986
2019-06-30,0.7218,-0.0015,2381626535,25433594197
2019-03-31,0.3877,0.2025,1279285122,11960300610
2018-12-31,1.4894,0.1377,4914501209,48767403388
2018-09-30,1.1069,0.1591,3652275949,36516236728
2018-06-30,0.7229,0.2526,2385332324,23621389339
2018-03-31,0.3224,0.2107,1063891435,11994431963
2017-12-31,1.3091,-0.0191,4319299922,50447336036
2017-09-30,0.955,-0.0385,3151038717,37270149155
2017-06-30,0.5771,-0.1149,1904054872,23997162775
2017-03-31,0.2663,-0.1819,878616646,12211896659
2016-12-31,1.3346,0.0351,4405056392,51822365962
2016-09-30,0.9932,0.0506,3277067650,38352952162
2016-06-30,0.6518,0.0851,2151463456,25527227750
