date,总资产收益率(ROA),净利润率,净资产收益率(ROE),资本回报率(ROIC),毛利率(GM)
2026-03-31,0.2114,0.4206,0.275,0.253,0.4943
2025-12-31,0.2108,0.4253,0.2775,0.2551,0.4764
2025-09-30,0.1797,0.3417,0.2388,0.2187,0.458
2025-06-30,0.1763,0.3259,0.2415,0.2183,0.4377
2025-03-31,0.142,0.2768,0.1906,0.1743,0.4232
2024-12-31,0.1243,0.2438,0.167,0.1549,0.4148
2024-09-30,0.1117,0.2118,0.1516,0.1371,0.4071
2024-06-30,0.12,0.2228,0.1638,0.1476,0.4069
2024-03-31,0.1324,0.2407,0.1789,0.1617,0.4085
2023-12-31,0.1402,0.2405,0.1894,0.1727,0.4118
2023-09-30,0.1397,0.2371,0.1978,0.1764,0.4034
2023-06-30,0.1461,0.2368,0.207,0.1871,0.3925
2023-03-31,0.15,0.2367,0.2085,0.191,0.382
2022-12-31,0.1486,0.2262,0.2078,0.1895,0.373
2022-09-30,0.1513,0.2586,0.2173,0.1954,0.3664
2022-06-30,0.1248,0.2364,0.1794,0.1628,0.3602
2022-03-31,0.0995,0.2,0.1388,0.127,0.3597
2021-12-31,0.1013,0.2243,0.1437,0.1315,0.3628
2021-09-30,0.0857,0.1971,0.1201,0.1094,0.3744
2021-06-30,0.0951,0.1991,0.142,0.1248,0.3786
2021-03-31,0.1062,0.2289,0.1569,0.1372,0.3837
2020-12-31,0.0791,0.1806,0.1191,0.1052,0.3799
2020-09-30,0.069,0.161,0.1004,0.0892,0.3756
2020-06-30,0.0916,0.1783,0.1378,0.1213,0.3798
2020-03-31,0.0668,0.1357,0.0982,0.0876,0.3804
2019-12-31,0.0736,0.1485,0.1075,0.0945,0.3895
2019-09-30,0.0976,0.1815,0.1534,0.1271,0.3878
2019-06-30,0.105,0.1923,0.1496,,0.3885
2019-03-31,0.134,0.2385,0.1882,,0.3917
2018-12-31,0.1324,0.2427,0.1874,0.1786,0.3945
2018-09-30,,0.2399,,,0.4037
2018-06-30,,0.2138,,,0.4025
2018-03-31,,0.1525,,,0.4072
2017-12-31,0.1119,0.167,0.2026,,0.4183
2017-09-30,,,,,
2017-06-30,,,,,
2017-03-31,,,,,
2016-12-31,0.1106,0.1833,0.1795,,0.4076
