date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率
2026-07-03,370343938078.6001,4.6579,,,,,24.3857,,,,,4.7090,,,,,7.6775,,,,,18.3975,,,,,0.0155
2026-07-02,361929742901.5,4.5520,,,,,23.8317,,,,,4.6020,,,,,7.5031,,,,,17.9795,,,,,0.0159
2026-07-01,373566395806.0,4.6984,,,,,24.5979,,,,,4.7500,,,,,7.7443,,,,,18.5576,,,,,0.0154
2026-06-30,371507603369.05,4.6725,,,,,24.4623,,,,,4.7238,,,,,7.7017,,,,,18.4553,,,,,0.0155
2026-06-29,376460640246.35,4.7348,,,,,24.7885,,,,,4.7868,,,,,7.8043,,,,,18.7013,,,,,0.0153
2026-06-26,352620420577.9,4.4349,,,,,23.2187,,,,,4.4836,,,,,7.3101,,,,,17.5170,,,,,0.0163
2026-06-25,349756013709.1,4.3989,,,,,23.0301,,,,,4.4472,,,,,7.2507,,,,,17.3747,,,,,0.0164
2026-06-24,344325575687.0,4.3306,,,,,22.6725,,,,,4.3782,,,,,7.1382,,,,,17.1050,,,,,0.0167
2026-06-23,317203223148.05,3.9895,,,,,20.8866,,,,,4.0333,,,,,6.5759,,,,,15.7576,,,,,0.0181
2026-06-22,318754776868.65,4.0090,,,,,20.9888,,,,,4.0530,,,,,6.6080,,,,,15.8347,,,,,0.0180
2026-06-18,306491534961.6,3.8548,,,,,20.1813,,,,,3.8971,,,,,6.3538,,,,,15.2255,,,,,0.0187
2026-06-17,293004952621.0,3.6852,,,,,19.2933,,,,,3.7256,,,,,6.0742,,,,,14.5555,,,,,0.0196
2026-06-16,292885602334.8,3.6837,,,,,19.2854,,,,,3.7241,,,,,6.0718,,,,,14.5496,,,,,0.0196
2026-06-15,296495948492.3501,3.7291,,,,,19.5231,,,,,3.7700,,,,,6.1466,,,,,14.7290,,,,,0.0194
2026-06-12,297510425925.05,3.7418,,,,,19.5899,,,,,3.7829,,,,,6.1676,,,,,14.7794,,,,,0.0193
2026-06-11,289633307035.85,3.6427,,,,,19.0712,,,,,3.6827,,,,,6.0043,,,,,14.3880,,,,,0.0198
2026-06-10,289543794321.2,3.6416,,,,,19.0653,,,,,3.6816,,,,,6.0025,,,,,14.3836,,,,,0.0198
2026-06-09,278921618849.4,3.5080,,,,,18.3659,,,,,3.5465,,,,,5.7823,,,,,13.8559,,,,,0.0206
2026-06-08,286440686880.0,3.6026,,,,,18.8610,,,,,3.6421,,,,,5.9382,,,,,14.2294,,,,,0.0201
