date,基本每股收益,累积同比,营业收入,归属于母公司普通股股东的净利润
2026-03-31,1.59,0.2326,12435776568,4651517988
2025-12-31,6.7,1.0427,45456165774,19150582401
2025-09-30,4.25,0.8889,32856716509,12075512957
2025-06-30,3.01,1.0616,20799281882,8560882628
2025-03-31,1.29,0.9254,9654595304,3671960950
2024-12-31,3.28,0.0031,39241431360,9450308428
2024-09-30,2.25,-0.1818,27702002255,6532934698
2024-06-30,1.46,-0.1934,17240918263,4239822013
2024-03-31,0.67,-0.0946,7981934237,1942210694
2023-12-31,3.27,0.0864,40340806877,9606749135
2023-09-30,2.75,0.0913,29541326134,8076407161
2023-06-30,1.81,0.1384,18871285498,5313119704
2023-03-31,0.74,0.3214,8963741608,2168128379
2022-12-31,3.01,0.72,39354777806,8813713034
2022-09-30,2.52,1.0656,28394561790,7377913929
2022-06-30,1.59,0.7283,17756257999,4635749253
2022-03-31,0.56,0.0769,8474419334,1642947345
2021-12-31,1.75,0.6509,22902385129,5097155284
2021-09-30,1.22,0.4186,16521369391,3562226937
2021-06-30,0.92,0.4603,10536557947,2675100610
2021-03-31,0.62,3.7692,4950479647,1499805405
2020-12-31,1.27,0.5679,16535431465,2960235496
2020-09-30,1.03,0.3377,11814802985,2368356529
2020-06-30,0.75,0.6304,7231434007,1717155437
2020-03-31,0.19,-0.2083,3187514732,303041531
2019-12-31,1.14,-0.283,12872206437,1854550935
2019-09-30,1.08,-0.223,9278514251,1765146774
2019-06-30,0.65,-0.3011,5894358447,1056762343
2019-03-31,0.33,0.0645,2769465924,386478628
2018-12-31,2.23,0.7023,9613683593,2260523106
2018-09-30,1.94,0.7168,6921135002,1928376254
2018-06-30,1.31,0.6582,4409207179,1271897197
2018-03-31,,,2141764392,290657600
2017-12-31,1.31,0.213,7765259856,1227093479
2017-09-30,1.13,,5677878890,1063039436
2017-06-30,0.79,,3665374999,742444161
2017-03-31,,,1768190097,336869065
2016-12-31,1.08,1.7692,6116130889,974980314
