date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-07-03,370343938078.6001,4.6579,,,,,7.6775,,,,,24.3857,,,,,4.7090,,,,,0.0155,18.3975,,,,
2026-07-02,361929742901.5,4.5520,,,,,7.5031,,,,,23.8317,,,,,4.6020,,,,,0.0159,17.9795,,,,
2026-07-01,373566395806.0,4.6984,,,,,7.7443,,,,,24.5979,,,,,4.7500,,,,,0.0154,18.5576,,,,
2026-06-30,371507603369.05,4.6725,,,,,7.7017,,,,,24.4623,,,,,4.7238,,,,,0.0155,18.4553,,,,
2026-06-29,376460640246.35,4.7348,,,,,7.8043,,,,,24.7885,,,,,4.7868,,,,,0.0153,18.7013,,,,
2026-06-26,352620420577.9,4.4349,,,,,7.3101,,,,,23.2187,,,,,4.4836,,,,,0.0163,17.5170,,,,
2026-06-25,349756013709.1,4.3989,,,,,7.2507,,,,,23.0301,,,,,4.4472,,,,,0.0164,17.3747,,,,
2026-06-24,344325575687.0,4.3306,,,,,7.1382,,,,,22.6725,,,,,4.3782,,,,,0.0167,17.1050,,,,
2026-06-23,317203223148.05,3.9895,,,,,6.5759,,,,,20.8866,,,,,4.0333,,,,,0.0181,15.7576,,,,
2026-06-22,318754776868.65,4.0090,,,,,6.6080,,,,,20.9888,,,,,4.0530,,,,,0.0180,15.8347,,,,
2026-06-18,306491534961.6,3.8548,,,,,6.3538,,,,,20.1813,,,,,3.8971,,,,,0.0187,15.2255,,,,
2026-06-17,293004952621.0,3.6852,,,,,6.0742,,,,,19.2933,,,,,3.7256,,,,,0.0196,14.5555,,,,
2026-06-16,292885602334.8,3.6837,,,,,6.0718,,,,,19.2854,,,,,3.7241,,,,,0.0196,14.5496,,,,
2026-06-15,296495948492.3501,3.7291,,,,,6.1466,,,,,19.5231,,,,,3.7700,,,,,0.0194,14.7290,,,,
2026-06-12,297510425925.05,3.7418,,,,,6.1676,,,,,19.5899,,,,,3.7829,,,,,0.0193,14.7794,,,,
2026-06-11,289633307035.85,3.6427,,,,,6.0043,,,,,19.0712,,,,,3.6827,,,,,0.0198,14.3880,,,,
2026-06-10,289543794321.2,3.6416,,,,,6.0025,,,,,19.0653,,,,,3.6816,,,,,0.0198,14.3836,,,,
2026-06-09,278921618849.4,3.5080,,,,,5.7823,,,,,18.3659,,,,,3.5465,,,,,0.0206,13.8559,,,,
2026-06-08,286440686880.0,3.6026,,,,,5.9382,,,,,18.8610,,,,,3.6421,,,,,0.0201,14.2294,,,,
2026-06-05,288111590886.8,3.6236,,,,,5.9728,,,,,18.9710,,,,,3.6634,,,,,0.0199,14.3124,,,,
2026-06-04,288678504746.25,3.6307,,,,,5.9845,,,,,19.0084,,,,,3.6706,,,,,0.0199,14.3406,,,,
2026-06-03,294944394771.75,3.7095,,,,,6.1144,,,,,19.4210,,,,,3.7503,,,,,0.0195,14.6519,,,,
2026-06-02,297629776211.25,3.7433,,,,,6.1701,,,,,19.5978,,,,,3.7844,,,,,0.0193,14.7853,,,,
2026-06-01,298345877928.45,3.7523,,,,,6.1850,,,,,19.6449,,,,,3.7935,,,,,0.0193,14.8209,,,,
