date,毛利率(GM),总资产收益率(ROA),资本回报率(ROIC),净资产收益率(ROE),净利润率
2026-03-31,0.2667,0.0651,0.122,0.1487,0.0651
2025-12-31,0.2666,0.0688,0.1362,0.165,0.0667
2025-09-30,0.2541,0.0803,0.1538,0.1839,0.0693
2025-06-30,0.2608,0.0761,0.1538,0.1856,0.0699
2025-03-31,0.2689,0.0738,0.1442,0.1731,0.0688
2024-12-31,0.278,0.072,0.1457,0.1745,0.0685
2024-09-30,0.316,0.0753,0.1495,0.1768,0.0711
2024-06-30,0.3158,0.0719,0.1479,0.1771,0.0689
2024-03-31,0.3153,0.0708,0.1419,0.1687,0.0662
2023-12-31,0.3151,0.0684,0.1394,0.1668,0.064
2023-09-30,0.3146,0.0685,0.1369,0.1673,0.0633
2023-06-30,0.3141,0.0667,0.1372,0.1701,0.0623
2023-03-31,0.3132,0.067,0.1337,0.1656,0.0612
2022-12-31,0.3133,0.065,0.1337,0.1676,0.0605
2022-09-30,0.3139,0.0672,0.1346,0.1727,0.0613
2022-06-30,0.3125,0.066,0.1351,0.1754,0.06
2022-03-31,0.3118,0.065,0.1303,0.1692,0.0587
2021-12-31,0.3123,0.0628,0.1318,0.1772,0.0581
2021-09-30,0.3121,0.0647,0.1311,0.1813,0.0593
2021-06-30,0.3058,0.0725,0.1422,0.2067,0.0649
2021-03-31,0.2982,0.0664,0.1285,0.1834,0.0591
2020-12-31,0.2968,0.0579,0.121,0.1701,0.054
2020-09-30,0.2902,0.0473,0.0974,0.1405,0.044
2020-06-30,0.2931,0.0512,0.1033,0.156,0.0492
2020-03-31,0.2948,0.0602,0.118,0.1784,0.0562
2019-12-31,0.2983,0.0697,0.1433,0.2054,0.0614
2019-09-30,0.2912,0.0751,0.1596,0.235,0.0681
2019-06-30,0.2907,0.0594,,0.1852,0.052
2019-03-31,0.2912,0.0601,,0.1881,0.0528
2018-12-31,0.29,0.0614,0.1278,0.1918,0.0533
2018-09-30,0.3013,0.0626,,0.2047,0.0548
2018-06-30,0.3031,0.0653,,0.2084,0.057
2018-03-31,0.3058,0.0647,,0.2087,0.0571
2017-12-31,0.31,0.064,,0.2147,0.0568
2017-09-30,0.3122,0.0671,,0.223,0.0577
2017-06-30,0.3128,0.0615,,0.2046,0.0541
2017-03-31,0.3117,0.065,,0.1842,0.0512
2016-12-31,0.3102,0.0646,,0.1912,0.0562
2016-09-30,0.2891,0.0645,,0.1825,0.0567
2016-06-30,0.2852,0.0672,,0.1899,0.0682
