date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-06-02,198149314504.5,1.5828,0.0050,3.2976,2.6243,2.2469,0.6674,0.3299,1.0098,0.7901,0.5959,0.0547,10.5861,0.0178,17.6022,14.5110,12.5493
2026-06-01,197680433022.0,1.5791,0.0037,3.2976,2.6243,2.2472,0.6658,0.3270,1.0098,0.7901,0.5959,0.0548,10.5611,0.0161,17.6022,14.5110,12.5493
2026-05-29,195804907092.0,1.5641,0.0025,3.2964,2.6236,2.2475,0.6595,0.3172,1.0095,0.7901,0.5959,0.0554,10.4609,0.0128,17.5937,14.5010,12.5396
2026-05-28,188584132261.5,1.5064,0.0000,3.2964,2.6240,2.2476,0.6351,0.2654,1.0095,0.7901,0.5959,0.0575,10.0751,0.0054,17.5937,14.5060,12.5493
2026-05-27,189053013744.0,1.5102,0.0000,3.2976,2.6243,2.2476,0.6367,0.2684,1.0098,0.7901,0.5958,0.0573,10.1002,0.0058,17.6022,14.5110,12.5493
2026-05-26,189615671523.0,1.5147,0.0000,3.2976,2.6243,2.2477,0.6386,0.2746,1.0098,0.7901,0.5958,0.0572,10.1302,0.0062,17.6022,14.5110,12.5493
2026-05-25,190459658191.5,1.5214,0.0000,3.2976,2.6243,2.2485,0.6415,0.2808,1.0098,0.7901,0.5958,0.0569,10.1753,0.0070,17.6022,14.5110,12.5493
2026-05-22,191116092267.0,1.5266,0.0000,3.2964,2.6236,2.2502,0.6437,0.2871,1.0095,0.7901,0.5959,0.0567,10.2104,0.0070,17.5937,14.5010,12.5396
2026-05-21,191678750046.0,1.5311,0.0000,3.2964,2.6240,2.2509,0.6456,0.2930,1.0095,0.7901,0.5959,0.0566,10.2405,0.0070,17.5937,14.5060,12.5493
2026-05-20,195804907092.0,1.5641,0.0000,3.2976,2.6243,2.2509,0.6595,0.3171,1.0098,0.7901,0.5958,0.0554,10.4609,0.0103,17.6022,14.5110,12.5493
2026-05-19,196742670057.0,1.5716,0.0000,3.2976,2.6243,2.2524,0.6626,0.3212,1.0098,0.7901,0.5958,0.0551,10.5110,0.0107,17.6022,14.5110,12.5493
2026-05-18,197774209318.5,1.5798,0.0004,3.2976,2.6243,2.2529,0.6661,0.3278,1.0098,0.7901,0.5958,0.0548,10.5661,0.0128,17.6022,14.5110,12.5493
2026-05-15,200681274510.0,1.6030,0.0021,3.2964,2.6236,2.2531,0.6759,0.3428,1.0095,0.7901,0.5959,0.0540,10.7214,0.0186,17.5937,14.5010,12.5396
2026-05-14,199555958952.0,1.5941,0.0008,3.2964,2.6240,2.2532,0.6721,0.3368,1.0095,0.7901,0.5959,0.0543,10.6613,0.0153,17.5937,14.5060,12.5493
2026-05-13,197680433022.0,1.5791,0.0000,3.2976,2.6243,2.2532,0.6658,0.3287,1.0098,0.7901,0.5958,0.0548,10.5611,0.0124,17.6022,14.5110,12.5493
