日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2025-12-09,=21.1800,=21.1800,=21.1800,=21.1800,=194750193975.66,=179487580984.0,=126959311700.4,,=2.6547,,,,
2025-12-08,=21.2300,=21.2300,=21.2300,=21.2300,=195209944197.51,=179911300486.0,=127259026789.4,,=2.6609,,,,
2025-12-05,=21.3000,=21.3000,=21.3000,=21.3000,=195853594508.1,=180504507788.0,=127678627914.0,,=2.6697,,,,
2025-12-04,=20.9700,=20.9700,=20.9700,=20.9700,=192819243043.89,=177707959076.0,=125700508326.6,,=2.6284,,,,
2025-12-03,=20.4000,=20.4000,=20.4000,=20.4000,=187578090514.8,=172877556755.0,=122283756312.0,,=2.5569,,,,
2025-12-02,=20.1600,=20.1600,=20.1600,=20.1600,=185371289449.92,=170843703146.0,=120845123884.8,,=2.5268,,,,
2025-12-01,=20.1200,=20.1200,=20.1200,=20.1200,=185003489272.44,=170504727544.0,=120605351813.6,,=2.5218,,,,
2025-11-28,=20.3200,=20.3200,=20.3200,=20.3200,=186842490159.84,=172199605552.0,=121804212169.6,,=2.5469,,,,
2025-11-27,=20.1300,=20.1300,=20.1300,=20.1300,=185095439316.81,=170589471445.0,=120665294831.4,,=2.5231,,,,
2025-11-26,=20.8800,=20.8800,=20.8800,=20.8800,=191991692644.56,=176945263973.0,=125161021166.4,,=2.6171,,,,
2025-11-25,=20.4400,=20.4400,=20.4400,=20.4400,=186126411828.28,=173216532356.0,=122523528383.2,,=2.5371,,,,
2025-11-24,=20.5100,=20.5100,=20.5100,=20.5100,=186763831046.87,=173809739659.0,=122943129507.8,,=2.5458,,,,
2025-11-21,=20.2600,=20.2600,=20.2600,=20.2600,=184487333837.62,=171691142150.0,=121444554062.8,,=2.5148,,,,
2025-11-20,=20.8600,=20.8600,=20.8600,=20.8600,=189950927139.82,=176775776172.0,=125041135130.8,,=2.5893,,,,
2025-11-19,=20.7700,=20.7700,=20.7700,=20.7700,=189131388144.49,=176013081068.0,=124501647970.6,,=2.5781,,,,
2025-11-18,=20.8600,=20.8600,=20.8600,=20.8600,=189950927139.82,=176775776172.0,=125041135130.8,,=2.5893,,,,
2025-11-17,=20.5700,=20.5700,=20.5700,=20.5700,=187310190377.09,=174318203061.0,=123302787614.6,,=2.5533,,,,
2025-11-14,=20.6600,=20.6600,=20.6600,=20.6600,=188129729372.42,=175080898164.0,=123842274774.8,,=2.5644,,,,
2025-11-13,=20.8900,=20.8900,=20.8900,=20.8900,=190224106804.93,=177030007873.0,=125220964184.2,,=2.5930,,,,
2025-11-12,=20.6500,=20.6500,=20.6500,=20.6500,=188038669484.05,=174996154264.0,=123782331757.0,,=2.5632,,,,
2025-11-11,=20.9100,=20.9100,=20.9100,=20.9100,=190406226581.67,=177199495674.0,=125340850219.8,,=2.5955,,,,
2025-11-10,=21.1300,=21.1300,=21.1300,=21.1300,=192409544125.81,=179063861482.0,=126659596611.4,,=2.6228,,,,
2025-11-07,=22.1300,=22.1300,=22.1300,=22.1300,=201515532962.81,=187538251519.0,=132653898391.4,,=2.7469,,,,
2025-11-06,=21.9900,=21.9900,=21.9900,=21.9900,=200240694525.63,=186351836914.0,=131814696142.2,,=2.7295,,,,
2025-11-05,=21.8200,=21.8200,=21.8200,=21.8200,=198692676423.34,=184911190607.0,=130795664839.6,,=2.7084,,,,
2025-11-04,=21.7100,=21.7100,=21.7100,=21.7100,=197691017651.27,=183979007703.0,=130136291643.8,,=2.6948,,,,
2025-11-03,=21.8800,=21.8800,=21.8800,=21.8800,=199239035753.56,=185419654010.0,=131155322946.4,,=2.7159,,,,
2025-10-31,=22.1400,=22.1400,=22.1400,=22.1400,=201606592851.18,=187622995419.0,=132713841409.2,,=2.7481,,,,
2025-10-30,=22.5100,=22.5100,=22.5100,=22.5100,=204975808720.87,=190758519733.0,=134931733067.8,,=2.8944,,,,
2025-10-29,=22.1200,=22.1200,=22.1200,=22.1200,=201424473074.44,=187453507618.0,=132593955373.6,,=2.8442,,,,
2025-10-28,=21.9500,=21.9500,=21.9500,=21.9500,=199876454972.15,=186012861312.0,=131574924071.0,,=2.8223,,,,
2025-10-27,=22.5300,=22.5300,=22.5300,=22.5300,=190928007533.61,=190928007534.0,=135051619103.4,,=2.6960,,,,
2025-10-24,=22.9100,=22.9100,=22.9100,=22.9100,=194148275747.67,=194148275748.0,=137329453779.8,,=2.7415,,,,
2025-10-23,=22.6800,=22.6800,=22.6800,=22.6800,=192199166039.16,=192199166039.0,=135950764370.4,,=2.7139,,,,
2025-10-22,=23.0200,=23.0200,=23.0200,=23.0200,=195080458651.74,=195080458652.0,=137988826975.6,,=2.7546,,,,
2025-10-21,=22.8300,=22.8300,=22.8300,=22.8300,=193470324544.71,=193470324545.0,=136849909637.4,,=2.7319,,,,
2025-10-20,=22.4900,=22.4900,=22.4900,=22.4900,=190589031932.13,=190589031932.0,=134811847032.2,,=2.6912,,,,
2025-10-17,=22.5000,=22.5000,=22.5000,=22.5000,=190673775832.5,=190673775833.0,=134871790050.0,,=2.6924,,,,
2025-10-16,=23.5700,=23.5700,=23.5700,=23.5700,=199741373172.09,=199741373172.0,=141285692954.6,,=2.8204,,,,
2025-10-15,=23.4600,=23.4600,=23.4600,=23.4600,=198809190268.02,=198809190268.0,=140626319758.8,,=2.8073,,,,
2025-10-14,=23.0400,=23.0400,=23.0400,=23.0400,=195249946452.48,=195249946452.0,=138108713011.2,,=2.6589,,,,
2025-10-13,=22.8700,=22.8700,=22.8700,=22.8700,=193809300146.19,=193809300146.0,=137089681708.6,,=2.6393,,,,
2025-10-10,=22.9600,=22.9600,=22.9600,=22.9600,=194571995249.52,=194571995250.0,=137629168868.8,,=2.6497,,,,
2025-10-09,=23.2400,=23.2400,=23.2400,=23.2400,=196944824459.88,=196944824460.0,=139307573367.2,,=2.6820,,,,
2025-09-30,=23.2400,=23.2400,=23.2400,=23.2400,=196944824459.88,=196944824460.0,=139307573367.2,,=2.6820,,,,
2025-09-29,=22.9700,=22.9700,=22.9700,=22.9700,=194656739149.89,=194656739150.0,=137689111886.6,,=2.6508,,,,
2025-09-26,=22.2800,=22.2800,=22.2800,=22.2800,=188809410024.36,=188809410024.0,=133553043658.4,,=2.5712,,,,
2025-09-25,=22.1500,=22.1500,=22.1500,=22.1500,=187707739319.55,=187707739320.0,=132773784427.0,,=2.5562,,,,
2025-09-24,=22.2500,=22.2500,=22.2500,=22.2500,=188555178323.25,=188555178323.0,=133373214605.0,,=2.5677,,,,
2025-09-23,=21.6300,=21.6300,=21.6300,=21.6300,=183301056500.31,=183301056500.0,=129656747501.4,,=2.4962,,,,
2025-09-22,=21.5800,=21.5800,=21.5800,=21.5800,=182877336998.46,=182877336998.0,=129357032412.4,,=2.4904,,,,
2025-09-19,=21.8900,=21.8900,=21.8900,=21.8900,=185504397909.93,=185504397910.0,=131215265964.2,,=2.5262,,,,
2025-09-18,=20.7900,=20.7900,=20.7900,=20.7900,=176182568869.23,=176182568869.0,=124621534006.2,,=2.3992,,,,
2025-09-17,=20.9700,=20.9700,=20.9700,=20.9700,=177707959075.89,=177707959076.0,=125700508326.6,,=2.4200,,,,
2025-09-16,=20.6500,=20.6500,=20.6500,=20.6500,=174996154264.05,=174996154264.0,=123782331757.0,,=2.3831,,,,
2025-09-15,=20.6600,=20.6600,=20.6600,=20.6600,=175080898164.42,=175080898164.0,=123842274774.8,,=2.3842,,,,
2025-09-12,=21.1200,=21.1200,=21.1200,=21.1200,=178979117581.44,=178979117581.0,=126599653593.6,,=2.4373,,,,
2025-09-11,=21.2100,=21.2100,=21.2100,=21.2100,=179741812684.77,=179741812685.0,=127139140753.8,,=2.4477,,,,
2025-09-10,=21.1500,=21.1500,=21.1500,=21.1500,=179233349282.55,=179233349283.0,=126779482647.0,,=2.4408,,,,
2025-09-09,=21.2800,=21.2800,=21.2800,=21.2800,=180335019987.36,=180335019987.0,=127558741878.4,,=2.4558,,,,
2025-09-08,=20.9200,=20.9200,=20.9200,=20.9200,=177284239574.04,=177284239574.0,=125400793237.6,,=2.4142,,,,
2025-09-05,=20.6700,=20.6700,=20.6700,=20.6700,=175165642064.79,=175165642065.0,=123902217792.6,,=2.3854,,,,
2025-09-04,=20.2700,=20.2700,=20.2700,=20.2700,=171775886049.99,=171775886050.0,=121504497080.6,,=2.3392,,,,
2025-09-03,=20.8000,=20.8000,=20.8000,=20.8000,=176267312769.6,=176267312770.0,=124681477024.0,,=2.4004,,,,
2025-09-02,=20.9500,=20.9500,=20.9500,=20.9500,=177538471275.15,=177538471275.0,=125580622291.0,,=2.4177,,,,
2025-09-01,=21.1600,=21.1600,=21.1600,=21.1600,=179318093182.92,=179318093183.0,=126839425664.8,,=2.4419,,,,
2025-08-29,=21.0300,=21.0300,=21.0300,=21.0300,=178216422478.11,=178216422478.0,=126060166433.4,,=2.4269,,,,
2025-08-28,=21.2300,=21.2300,=21.2300,=21.2300,=179911300485.51,=179911300486.0,=127259026789.4,,=2.4500,,,,
2025-08-27,=21.3000,=21.3000,=21.3000,=21.3000,=180504507788.1,=180504507788.0,=127678627914.0,,=2.4581,,,,
2025-08-26,=21.5400,=21.5400,=21.5400,=21.5400,=182538361396.98,=182538361397.0,=129117260341.2,,=2.4858,,,,
2025-08-25,=21.6300,=21.6300,=21.6300,=21.6300,=183301056500.31,=183301056500.0,=129656747501.4,,=2.4962,,,,
2025-08-22,=21.3000,=21.3000,=21.3000,=21.3000,=180504507788.1,=180504507788.0,=127678627914.0,,=2.4581,,,,
2025-08-21,=21.0000,=21.0000,=21.0000,=21.0000,=177962190777.0,=177962190777.0,=125666679180.0,,=2.4788,,,,
2025-08-20,=20.8500,=20.8500,=20.8500,=20.8500,=176691032271.45,=176691032271.0,=124769060043.0,,=2.4611,,,,
2025-08-19,=20.2200,=20.2200,=20.2200,=20.2200,=171352166548.14,=171352166548.0,=120999059667.6,,=2.3868,,,,
2025-08-18,=20.7000,=20.7000,=20.7000,=20.7000,=175419873765.9,=175419873766.0,=123871440906.0,,=2.4434,,,,
2025-08-15,=21.0000,=21.0000,=21.0000,=21.0000,=177962190777.0,=177962190777.0,=125666679180.0,,=2.4788,,,,
2025-08-14,=20.9000,=20.9000,=20.9000,=20.9000,=177114751773.3,=177114751773.0,=125068266422.0,,=2.4670,,,,
2025-08-13,=20.8300,=20.8300,=20.8300,=20.8300,=176521544470.71,=176521544471.0,=124649377491.4,,=2.4588,,,,
2025-08-12,=20.8400,=20.8400,=20.8400,=20.8400,=176606288371.08,=176606288371.0,=124709218767.2,,=2.4599,,,,
2025-08-11,=21.0000,=21.0000,=21.0000,=21.0000,=177962190777.0,=177962190777.0,=125666679180.0,,=2.4788,,,,
2025-08-08,=21.0400,=21.0400,=21.0400,=21.0400,=178301166378.48,=178301166378.0,=125906044283.2,,=2.4836,,,,
2025-08-07,=20.3700,=20.3700,=20.3700,=20.3700,=172623325053.69,=172623325054.0,=121896678804.6,,=2.4045,,,,
2025-08-06,=20.0200,=20.0200,=20.0200,=20.0200,=169657288540.74,=169657288541.0,=119802234151.6,,=2.3632,,,,
2025-08-05,=19.6400,=19.6400,=19.6400,=19.6400,=166448568646.68,=166437020327.0,=117528265671.2,,=2.3185,,,,
2025-08-04,=19.6900,=19.6900,=19.6900,=19.6900,=166872317548.53,=166860739829.0,=117827472050.2,,=2.3244,,,,
2025-08-01,=19.7800,=19.7800,=19.7800,=19.7800,=167635065571.86,=167623434932.0,=118366043532.4,,=2.3350,,,,
2025-07-31,=19.9400,=19.9400,=19.9400,=19.9400,=168991062057.78,=168979337338.0,=119323503945.2,,=2.3539,,,,
