date,市值(元),股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-07-03,1758118324600.0,0.0207,3.7556,,,,,22.2613,,,,,5.4149,,,,,24.8422,,,,,5.4011,,,,
2026-07-02,1768990898449.5,0.0205,3.7789,,,,,22.3990,,,,,5.4484,,,,,24.9959,,,,,5.4345,,,,
2026-07-01,1775884572932.7998,0.0205,3.7936,,,,,22.4863,,,,,5.4697,,,,,25.0933,,,,,5.4557,,,,
2026-06-30,1818310744081.7,0.0200,3.8842,,,,,23.0235,,,,,5.6003,,,,,25.6928,,,,,5.5860,,,,
2026-06-29,1815303436421.2,0.0200,3.8778,,,,,22.9854,,,,,5.5911,,,,,25.6503,,,,,5.5768,,,,
2026-06-26,1762744951770.0,0.0206,3.7655,,,,,22.3199,,,,,5.4292,,,,,24.9076,,,,,5.4153,,,,
2026-06-25,1859441459623.0,0.0195,3.9721,,,,,23.5443,,,,,5.7270,,,,,26.2739,,,,,5.7124,,,,
2026-06-24,1829183317931.2,0.0199,3.9074,,,,,23.1611,,,,,5.6338,,,,,25.8464,,,,,5.6194,,,,
2026-06-23,1815997430496.7,0.0200,3.8793,,,,,22.9942,,,,,5.5932,,,,,25.6601,,,,,5.5789,,,,
2026-06-22,1892197979986.6,0.0192,4.0421,,,,,23.9590,,,,,5.8279,,,,,26.7368,,,,,5.8130,,,,
2026-06-18,1811555868413.5,0.0201,3.8698,,,,,22.9379,,,,,5.5795,,,,,25.5973,,,,,5.5653,,,,
2026-06-17,1846024240830.0,0.0197,3.9434,,,,,23.3744,,,,,5.6857,,,,,26.0844,,,,,5.6712,,,,
2026-06-16,1866982861910.1,0.0195,3.9882,,,,,23.6397,,,,,5.7502,,,,,26.3805,,,,,5.7356,,,,
2026-06-15,1841860276377.0,0.0197,3.9345,,,,,23.3216,,,,,5.6729,,,,,26.0255,,,,,5.6584,,,,
2026-06-12,1826823738074.5,0.0199,3.9024,,,,,23.1313,,,,,5.6265,,,,,25.8130,,,,,5.6122,,,,
2026-06-11,1768296904374.0,0.0206,3.7774,,,,,22.3902,,,,,5.4463,,,,,24.9861,,,,,5.4324,,,,
2026-06-10,1797444655545.0,0.0202,3.8396,,,,,22.7593,,,,,5.5361,,,,,25.3979,,,,,5.5219,,,,
2026-06-09,1848337554415.0,0.0197,3.9484,,,,,23.4037,,,,,5.6928,,,,,26.1170,,,,,5.6783,,,,
2026-06-08,1818357010353.4,0.0200,3.8843,,,,,23.0240,,,,,5.6005,,,,,25.6934,,,,,5.5862,,,,
2026-06-05,1864530749510.0,0.0195,3.9829,,,,,23.6087,,,,,5.7427,,,,,26.3458,,,,,5.7280,,,,
2026-06-04,1888589210794.0,0.0192,4.0343,,,,,23.9133,,,,,5.8168,,,,,26.6858,,,,,5.8019,,,,
2026-06-03,1972886357831.4,0.0184,4.2144,,,,,24.9807,,,,,6.0764,,,,,27.8769,,,,,6.0609,,,,
