date,货币资金,所有者权益合计,资产合计,流动负债合计,有息负债率,速动比率,资产负债率,长期负债合计,应收账款,流动资产合计,流动比率,负债合计
2026-03-31,1833384199089.3,394232291000,1046329036000,45549672000,0.1215,1.2995,0.6232,76221312000,77710096000,417210000,1.5956,652096744000
2025-12-31,1676102469002.88,371026324000,974827544000,49233377000,0.1231,1.3245,0.6194,78234935000,76403264000,375468000,1.5977,603801220000
2025-09-30,1834267308402,347012071000,896082131000,40678197000,0.1438,1.408,0.6127,78441925000,66481235000,398446000,1.6842,549070060000
2025-06-30,1149949246640.42,324389412000,867181431000,36641662000,0.1619,1.4444,0.6259,82416083000,63800375000,346467000,1.6896,542792019000
2025-03-31,1113794708788.34,289139355000,820097269000,37088532000,0.1671,1.3923,0.6474,84826153000,60182430000,261473000,1.6157,530957915000
2024-12-31,1171322077828,273456174000,786658123000,27834446000,0.1761,1.3997,0.6524,81238456000,64135510000,400626000,1.6084,513201949000
2024-09-30,1108914407264.41,263300643400,738235004400,22651661600,0.1789,1.4384,0.6433,85444436200,66702709300,363142300,1.6607,474934361000
2024-06-30,791917264176.66,219839626800,715251888900,22462994100,0.1935,1.4251,0.6926,88819915800,58099476000,284662400,1.6324,495412262100
2024-03-31,836521681437.76,230468391682,731286481523,20599513250,0.1881,1.4619,0.6848,88444675698,51186897239,261354301,1.6488,500818089841
2023-12-31,718187472189.36,219883150600,717168041100,23982351900,0.18,1.3838,0.6934,83448981700,64020533400,233964100,1.5672,497284890500
2023-09-30,892768365777.61,202056906567,671832207297,26556925732,0.1896,1.2796,0.6992,85435191073,68726798456,152275453,1.4895,469775300730
2023-06-30,1005827860598.65,191683175797,640998784702,22134411899,0.1884,1.1851,0.701,74910430345,61516723597,344170043,1.414,449315608905
2023-03-31,991783022470.2,208720442500,640203577500,25872569200,0.1668,1.0687,0.674,68376274800,48606965200,572681900,1.3428,431483135000
2022-12-31,960934064032.08,176909162000,600952351900,22444785300,0.1672,0.9976,0.7056,59099358400,57966516900,174863000,1.311,424043189900
2022-09-30,978360421996.23,161285442594,541941138768,20919604006,0.1558,0.9113,0.7024,47507184120,54126365526,37896009,1.2396,380655696174
2022-06-30,1244674540800,149690334471,481233671012,19517953193,0.1607,0.8842,0.6889,38872517934,37454291715,20129327,1.2435,331543336541
2022-03-31,1194095069760,93595348500,376255651900,15050335800,0.1877,0.7377,0.7512,33235483200,24877828400,23696100,1.0889,282660303500
2021-12-31,1370540505600,92622174532,307666860932,11537915323,0.1756,0.8771,0.699,22119078784,23753548205,77285524,1.1901,215044686399
2021-09-30,1224429271745.46,80182437923,249151796229,13196959051,0.1808,0.9692,0.6782,17159358715,14340032235,77075925,1.3039,168969358307
2021-06-30,1245553372509.6,75488016569,207783497820,10758865174,0.1566,1.1318,0.6367,8701599250,13981824366,77075925,1.4349,132295481251
2021-03-31,750486647600.76,71341016001,173328904927,8125493259,0.1685,1.5157,0.5884,7046382303,12260857993,75269025,1.8036,101987888926
2020-12-31,817901626673.3,69194716417,156618426941,6875227795,0.1796,1.7929,0.5582,6068163254,11293523723,75269025,2.0529,87423710524
2020-09-30,487325967076,66581729902,137768858255,5417110399,0.188,2.2628,0.5167,5419429150,8988062513,0,2.5095,71187128352
2020-06-30,384832358680.8,44751825741,100037103427,4442361926,0.1533,1.6482,0.5526,6723868094,7771501102,0,1.9209,55285277686
2020-03-31,265869239883,43244176346,101436464897,4948467629,0.1371,1.5237,0.5737,5717526587,7844668161,0,1.7989,58192288551
2019-12-31,234973728080,42187875158,101351976711,0,0.0985,1.3085,0.5837,4980563181,8338535645,0,1.572,59164101554
2019-09-30,157900578550,40489516340,96311356659,0,0.0748,1.284,0.5796,4630256270,9700597153,0,1.5659,55821840319
2019-06-30,151192798512,38065889686,89888631587,0,0.0676,1.2598,0.5765,3638729122,8193892176,0,1.512,51822741901
2019-03-31,186576479000,36998872016,84101272460,0,0.0726,1.339,0.5601,3394334761,7933064764,0,1.568,47102400444
2018-12-31,161992284120,35200170591,73883704017,0,0.08,1.4789,0.5236,3490767816,6224857397,0,1.7343,38683533426
2018-09-30,160236270200,34528068077,63790614595,0,0.0834,1.8068,0.4587,3245327066,9849744046,0,2.0698,29262546518
2018-06-30,156328566520,32824226846,55443992871,0,0.0971,1.9998,0.408,3194631604,8528717102,0,2.3487,22619766026
2018-03-31,,26981217021,47823235529,0,0.0913,1.7206,0.4358,2755256273,6715688989,0,2.0528,20842018509
2017-12-31,,26471239098,49662885758,0,0.0954,1.6383,0.467,2129095275,6918521551,0,1.8465,23191646661
2017-09-30,,,,0,,,,0,0,0,,
2017-06-30,,,,0,,,,0,0,0,,
2017-03-31,,,,0,,,,0,0,0,,
2016-12-31,,15791119044,28588314344,0,0.0619,1.9936,0.4476,302000000,7315840024,0,2.1371,12797195300
