date,流动比率,资产负债率,流动负债合计,负债合计,资产合计,长期负债合计,流动资产合计,所有者权益合计,速动比率,有息负债率
2026-03-31,1.7627,0.4744,2743212000,82757847000,174464603000,6951514000,106715000,91706756000,1.4207,0.1297
2025-12-31,1.7298,0.4839,2958450000,83867741000,173299138000,7853367000,75550000,89431397000,1.3998,0.144
2025-09-30,1.5948,0.5249,2618314000,82360539000,156896818000,10545656000,69315000,74536279000,1.2696,0.1568
2025-06-30,1.6016,0.5144,2475241000,79018023000,153621383000,10391504000,94397000,74603360000,1.269,0.1561
2025-03-31,1.6492,0.5063,2656200000,77894782000,153838157000,11098410000,96948000,75943375000,1.3049,0.1594
2024-12-31,1.5943,0.5202,2520831000,79143477000,152145076000,11556182000,99206000,73001599000,1.2641,0.1684
2024-09-30,1.6896,0.5187,2263953000,77748715000,149900465000,15410837000,81886000,72151750000,1.3222,0.1865
2024-06-30,1.6657,0.5516,2165469000,86511996000,156833986000,20053127000,61824000,70321990000,1.3187,0.2143
2024-03-31,1.7597,0.5429,2174672000,83916598000,154569079000,21809481000,78440000,70652481000,1.3852,0.2221
2023-12-31,1.7942,0.5425,2177672000,82029367000,151202320000,23555728000,67102000,69172953000,1.4159,0.2362
2023-09-30,1.6877,0.5532,1952824000,85367315000,154307992000,21788760000,158731000,68940677000,1.3216,0.2165
2023-06-30,1.6315,0.579,2100539000,93373120000,161278089000,23987424000,63107000,67904969000,1.2735,0.2305
2023-03-31,1.6673,0.5761,2194754000,91694527000,159166203000,24779473000,78873000,67471676000,1.2801,0.2285
2022-12-31,1.5638,0.5842,1896704000,92745892000,158754601000,21624937000,58548000,66008709000,1.2557,0.2225
2022-09-30,1.6198,0.5726,2531643000,88389199000,154355411000,20006722000,76281000,65966212000,1.2742,0.2087
2022-06-30,1.6214,0.5715,2279601000,85729863000,150016003000,19793087000,75726000,64286140000,1.2971,0.2078
2022-03-31,1.5699,0.542,2102640000,78939204000,145649955000,11899519000,51527000,66710751000,1.2093,0.1581
2021-12-31,1.5256,0.5302,1765531000,73461411000,138556543000,9602665000,78717000,65095132000,1.2116,0.1519
2021-09-30,1.586,0.5161,1843665000,70500246000,136601632000,9273908000,0,66101386000,1.2723,0.1382
2021-06-30,1.4954,0.5594,1898672000,80914706000,144637256000,9765953000,0,63722550000,1.2019,0.1391
2021-03-31,1.5121,0.5482,1723844000,77537499000,141443706000,8040700000,0,63906207000,1.1707,0.122
2020-12-31,1.4735,0.5391,1739033000,68066796000,126254548000,4531569000,0,58187752000,1.1455,0.1281
2020-09-30,1.4826,0.5422,1296110000,65029345000,119930784000,3315787000,0,54901439000,1.2197,0.131
2020-06-30,1.5121,0.5609,1234286000,65326191000,116466007000,2885251000,0,51139816000,1.2685,0.1129
2020-03-31,1.5863,0.5132,1218979000,50146602000,97711301000,862901000,0,47564699000,1.2541,0.1239
2019-12-31,1.6252,0.4972,0,45014553000,90541298000,1302835000,0,45526745000,1.272,0.1389
2019-09-30,1.5954,0.5076,0,44761867000,88183101000,1537341000,0,43421234000,1.3184,0.1745
2019-06-30,1.5112,0.5331,0,46360197000,86958122000,1491630000,0,40597925000,1.2585,0.1679
2019-03-31,1.51,0.5255,0,43965251000,83665074000,1408835000,0,39699823000,1.2108,0.1516
2018-12-31,1.5293,0.5594,0,41272610000,73774723000,1940704000,0,32502113000,1.1587,0.2061
2018-09-30,1.6387,0.551,0,38423929000,69737326000,3632312000,0,31313397000,1.2614,0.215
2018-06-30,1.5644,0.5699,0,38330396000,67258339000,3648090000,0,28927943000,1.2104,0.2165
2018-03-31,1.5948,0.5571,0,35549701000,63816328000,3843994000,0,28266627000,1.2396,0.2217
2017-12-31,1.5754,0.5471,0,31864509000,58237690000,3366915000,0,26373181000,1.2126,0.2363
2017-09-30,1.4799,0.5652,0,33489625000,59255916000,3168630000,0,25766291000,1.1987,0.282
2017-06-30,1.5341,0.5793,0,34477586000,59516406000,5580368000,0,25038820000,1.2479,0.2946
2017-03-31,1.6166,0.5995,0,36459781000,60820774000,8200415000,0,24360993000,1.3126,0.3406
2016-12-31,1.5963,0.619,0,38102264000,61554967000,9412947000,0,23452703000,1.3208,0.4076
2016-09-30,1.5262,0.5972,0,35853150000,60037717000,7604560000,0,24184567000,1.2665,0.39
2016-06-30,1.4932,0.6081,0,37708248000,62013310000,7797490000,0,24305062000,1.2435,0.4192
