date,总资产收益率(ROA),毛利率(GM),净利润率,资本回报率(ROIC),净资产收益率(ROE)
2026-03-31,0.0518,0.2768,0.0918,0.0838,0.1015
2025-12-31,0.0522,0.2754,0.0946,0.0845,0.1045
2025-09-30,0.0544,0.261,0.097,0.089,0.1139
2025-06-30,0.0498,0.2613,0.0919,0.0824,0.1067
2025-03-31,0.0452,0.2616,0.0853,0.0747,0.0951
2024-12-31,0.0402,0.2643,0.0777,0.0674,0.0857
2024-09-30,0.0357,0.2756,0.0713,0.062,0.0771
2024-06-30,0.0299,0.2772,0.065,0.0535,0.0688
2024-03-31,0.0298,0.2784,0.0632,0.0529,0.0676
2023-12-31,0.0297,0.2771,0.0622,0.0533,0.0681
2023-09-30,0.0313,0.2815,0.0621,0.0573,0.0716
2023-06-30,0.0332,0.2685,0.0641,0.0602,0.0782
2023-03-31,0.0284,0.2532,0.0551,0.052,0.0645
2022-12-31,0.0296,0.2402,0.0545,0.0531,0.0672
2022-09-30,0.0219,0.2188,0.041,0.039,0.0483
2022-06-30,0.0323,0.2221,0.0599,0.0564,0.0744
2022-03-31,0.058,0.2363,0.0888,0.1006,0.1274
2021-12-31,0.0931,0.2585,0.1153,0.1567,0.2
2021-09-30,0.1246,0.2759,0.1391,0.2094,0.2642
2021-06-30,0.1342,0.2864,0.148,0.2406,0.305
2021-03-31,0.1614,0.3007,0.1659,0.2787,0.3462
2020-12-31,0.1463,0.2982,0.1585,0.2451,0.3059
2020-09-30,0.1424,0.3085,0.164,0.2355,0.3015
2020-06-30,0.1297,0.3145,0.162,0.2289,0.2877
2020-03-31,0.1145,0.3219,0.1449,0.1941,0.238
2019-12-31,0.1399,0.3269,0.1519,0.2263,0.2946
2019-09-30,0.1348,0.3185,0.145,0.2184,0.2849
2019-06-30,0.1261,0.3128,0.1368,,0.2797
2019-03-31,0.1095,0.3041,0.1243,,0.2376
2018-12-31,0.0955,0.3062,0.1129,0.1542,0.2141
2018-09-30,0.083,0.3092,0.1045,,0.1876
2018-06-30,0.0705,0.311,0.0946,,0.1657
2018-03-31,0.0476,0.3005,0.0722,,0.1128
2017-12-31,0.0372,0.3007,0.0581,,0.0894
2017-09-30,0.0318,0.2923,0.0542,,0.0758
2017-06-30,0.021,0.2809,0.0409,,0.0518
2017-03-31,0.0142,0.2843,0.0319,,0.0358
2016-12-31,0.0027,0.2621,0.007,,0.007
2016-09-30,0.0048,0.2541,0.0134,,0.012
2016-06-30,-0.0012,0.2482,-0.0034,,-0.0029
