date,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率,自由现金流量
2026-03-31,6878714894,-0.0545,2.315,9829604597
2025-12-31,31569574020,0.2803,2.3453,10165093658
2025-09-30,24072540651,0.1269,2.2816,6015693257
2025-06-30,14095842640,0.1301,2.1552,4851702730
2025-03-31,7275274686,0.1267,2.0903,4834911771
2024-12-31,24657128874,0.1593,2.0505,2990695839
2024-09-30,21361463583,0.2167,1.9108,2868756362
2024-06-30,12472962237,0.3681,1.9026,2346603255
2024-03-31,6457133258,0.3511,1.7814,1063761219
2023-12-31,21268122590,-0.0317,1.749,1020831279
2023-09-30,17557214433,0.0701,2.1101,3453503527
2023-06-30,9116758624,0.0542,2.3976,4535201903
2023-03-31,4779319137,0.3048,2.6393,6519549041
2022-12-31,21963501651,0.5011,2.8599,6786701525
2022-09-30,16406730941,0.3461,3.0053,8216943339
2022-06-30,8648391564,0.3107,3.1491,6988825205
2022-03-31,3662802272,-0.0705,2.8842,5291889198
2021-12-31,14631389197,-0.2946,2.827,5389308594
2021-09-30,12188317561,-0.2333,2.3654,7420063087
2021-06-30,6598317662,-0.243,2.0891,8976235003
2021-03-31,3940706103,0.1399,2.1872,11443081158
2020-12-31,20743217255,0.0191,2.1218,10554809584
2020-09-30,15896135077,0,2.0652,10497036614
2020-06-30,8716004387,-0.0306,2.0752,10010364352
2020-03-31,3457155653,-0.1759,2.2033,9430750645
2019-12-31,20354175494,0.0591,2.3312,10317441470
2019-09-30,15896924441,0.1059,2.2216,10687651736
2019-06-30,8990971154,0.191,2.2009,9362831514
2019-03-31,4194824635,0.0055,2.283,8378434806
2018-12-31,19218801114,0.0594,2.2943,8994375557
2018-09-30,14375013668,0.0333,2.4215,7905239361
2018-06-30,7548952442,0.0871,2.6783,9227759777
2018-03-31,4171884099,0.1833,2.8119,8213799304
2017-12-31,18141039798,-0.0485,2.7656,6496841904
2017-09-30,13911279575,-0.0124,2.7151,4820910228
2017-06-30,6944176302,-0.1012,2.5115,3512329608
2017-03-31,3525622484,-0.0733,2.5373,3431257373
2016-12-31,19066537850,-0.1673,2.4259,1757720897
2016-09-30,14085851931,-0.1596,2.3998,2008409190
