date,市值(元),PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-07-03,107420312996.04,1.5588,,,,,0.0379,14.4515,,,,,14.5185,,,,,1.5564,,,,,2.0498,,,,
2026-07-02,108460897250.1,1.5739,,,,,0.0375,14.5915,,,,,14.6592,,,,,1.5715,,,,,2.0696,,,,
2026-07-01,107180178168.18,1.5553,,,,,0.0379,14.4192,,,,,14.4861,,,,,1.5529,,,,,2.0452,,,,
2026-06-30,106539818627.22,1.5460,,,,,0.0382,14.3330,,,,,14.3995,,,,,1.5436,,,,,2.0330,,,,
2026-06-29,106859998397.7,1.5507,,,,,0.0381,14.3761,,,,,14.4428,,,,,1.5483,,,,,2.0391,,,,
2026-06-26,104538695061.72,1.5170,,,,,0.0389,14.0638,,,,,14.1291,,,,,1.5147,,,,,1.9948,,,,
2026-06-25,103978380463.38,1.5089,,,,,0.0391,13.9884,,,,,14.0533,,,,,1.5065,,,,,1.9841,,,,
2026-06-24,105419189430.54,1.5298,,,,,0.0386,14.1823,,,,,14.2481,,,,,1.5274,,,,,2.0116,,,,
2026-06-23,106699908512.46,1.5484,,,,,0.0381,14.3546,,,,,14.4212,,,,,1.5460,,,,,2.0360,,,,
2026-06-22,105499234373.16,1.5309,,,,,0.0386,14.1931,,,,,14.2589,,,,,1.5286,,,,,2.0131,,,,
2026-06-18,104618740004.34,1.5182,,,,,0.0389,14.0746,,,,,14.1399,,,,,1.5158,,,,,1.9963,,,,
2026-06-17,106619863569.84,1.5472,,,,,0.0381,14.3438,,,,,14.4104,,,,,1.5448,,,,,2.0345,,,,
2026-06-16,108620987135.34,1.5762,,,,,0.0374,14.6130,,,,,14.6808,,,,,1.5738,,,,,2.0727,,,,
2026-06-15,110381975872.98,1.6018,,,,,0.0368,14.8499,,,,,14.9188,,,,,1.5993,,,,,2.1063,,,,
2026-06-12,112303054495.86,1.6297,,,,,0.0362,15.1084,,,,,15.1785,,,,,1.6272,,,,,2.1429,,,,
2026-06-11,110221885987.74,1.5995,,,,,0.0369,14.8284,,,,,14.8972,,,,,1.5970,,,,,2.1032,,,,
2026-06-10,109101256791.06,1.5832,,,,,0.0373,14.6776,,,,,14.7457,,,,,1.5808,,,,,2.0818,,,,
2026-06-09,109101256791.06,1.5832,,,,,0.0373,14.6776,,,,,14.7457,,,,,1.5808,,,,,2.0818,,,,
2026-06-08,108300807364.86,1.5716,,,,,0.0376,14.5700,,,,,14.6376,,,,,1.5692,,,,,2.0666,,,,
