date,总资产收益率(ROA),净利润率,毛利率(GM),净资产收益率(ROE),资本回报率(ROIC)
2026-03-31,0.043,0.2569,0.4145,0.1086,0.0592
2025-12-31,0.0441,0.2539,0.4114,0.1156,0.0615
2025-09-30,0.0398,0.2221,0.3996,0.1037,0.0561
2025-06-30,0.0406,0.2161,0.3868,0.111,0.0579
2025-03-31,0.0412,0.2144,0.382,0.1078,0.0578
2024-12-31,0.0419,0.208,0.3748,0.1139,0.0597
2024-09-30,0.0471,0.2241,0.3679,0.1249,0.0669
2024-06-30,0.0469,0.2253,0.3742,0.1302,0.0683
2024-03-31,0.0474,0.2238,0.3678,0.1271,0.0684
2023-12-31,0.0454,0.2144,0.3608,0.1242,0.0667
2023-09-30,0.0425,0.1996,0.3421,0.113,0.0639
2023-06-30,0.0365,0.1727,0.3192,0.1011,0.0576
2023-03-31,0.0347,0.1659,0.327,0.0937,0.0555
2022-12-31,0.0307,0.1521,0.3204,0.0845,0.0522
2022-09-30,0.0257,0.1266,0.3017,0.0709,0.0455
2022-06-30,0.0221,0.1125,0.2885,0.0627,0.0424
2022-03-31,0.0211,0.1093,0.2852,0.0571,0.0391
2021-12-31,0.022,0.1185,0.2926,0.0607,0.0398
2021-09-30,0.0311,0.1717,0.3501,0.0883,0.0503
2021-06-30,0.0392,0.2167,0.4131,0.1155,0.0588
2021-03-31,0.0431,0.2371,0.4413,0.1212,0.062
2020-12-31,0.0431,0.2486,0.4487,0.1246,0.0625
2020-09-30,0.0441,0.2472,0.4388,0.1287,0.0649
2020-06-30,0.0434,0.2401,0.4239,0.1342,0.0658
2020-03-31,0.0403,0.2231,0.3968,0.1201,0.0624
2019-12-31,0.0392,0.2058,0.3908,0.1208,0.0617
2019-09-30,0.0419,0.2173,0.4088,0.1309,0.0802
2019-06-30,0.0429,0.2192,0.4095,0.1425,
2019-03-31,0.0389,0.202,0.403,0.1245,
2018-12-31,0.0391,0.2043,0.4041,0.128,0.064
2018-09-30,0.0358,0.2036,0.405,0.1197,
2018-06-30,0.0332,0.1973,0.395,0.1173,
2018-03-31,0.032,0.2,0.3954,0.1098,
2017-12-31,0.0319,0.2073,0.4058,0.1117,
2017-09-30,0.0341,0.222,0.4145,0.1221,
2017-06-30,0.0365,0.2419,0.4369,0.1364,
2017-03-31,0.0378,0.2468,0.4621,0.1317,
2016-12-31,0.0406,0.2685,0.4841,0.1454,
2016-09-30,0.0447,0.2903,0.5103,0.1642,
