date,速动比率,所有者权益合计,货币资金,资产合计,资产负债率,流动资产合计,长期负债合计,有息负债率,负债合计,流动负债合计,应收账款,流动比率
2026-03-31,0.4703,262120423000,959585043716.25,902076965000,0.7094,928185000,60570442000,0.1667,639956542000,54424433000,44222213000,0.8154
2025-12-31,0.4843,258539185000,890932546051.8,883729883000,0.7074,1165068000,60705569000,0.1415,625190698000,51471055000,37004685000,0.793
2025-09-30,0.5484,258398395000,995689146073.65,901925091000,0.7135,1429018000,61198126000,0.113,643526696000,61349636000,39364118000,0.8703
2025-06-30,0.4731,244750192000,1008696347933.05,846342643000,0.7108,1249271000,5496374000,0.0526,601592451000,48908232000,43381542000,0.7609
2025-03-31,0.4924,246161565000,1139345789039.5,840527145000,0.7071,1406810000,6339145000,0.0535,594365580000,46141085000,53182767000,0.8106
2024-12-31,0.5023,198688209000,822333086574.3,783355855000,0.7464,1410541000,8257786000,0.0562,584667646000,43729585000,62298988000,0.7471
2024-09-30,0.4543,168802727000,894046489900.05,764259515000,0.7791,1656287000,9799136000,0.069,595456788000,57474962000,79443781000,0.7071
2024-06-30,0.3937,154611078000,728043780213.75,686244710000,0.7747,2395091000,11305318000,0.0608,531633632000,36755236000,71814516000,0.6592
2024-03-31,0.4251,154947035000,591136668136.3,677783621000,0.7714,2316586000,13995641000,0.0705,522836586000,38363374000,61265729000,0.6596
2023-12-31,0.4619,150462113000,576406285290,679547670000,0.7786,2660319000,11975139000,0.0729,529085557000,34698510000,61866019000,0.666
2023-09-30,0.417,141066857000,689067513778.5,623283496000,0.7737,4368108000,9260844000,0.0498,482216639000,38112736000,52970472000,0.6562
2023-06-30,0.4205,130401156000,751860865160.85,591133407000,0.7794,5081675000,7760844000,0.0505,460732251000,35084866000,49058860000,0.6589
2023-03-31,0.4043,126084806000,745310793737.1,547102961000,0.7695,11382663000,8611000000,0.0664,421018155000,25305204000,39030536000,0.6868
2022-12-31,0.4197,121389837000,748076379449.35,493860646000,0.7542,13552998000,7593596000,0.0469,372470809000,35516571000,38828494000,0.7224
2022-09-30,0.4346,112564228000,733637110888.55,426230852000,0.7359,11810129000,7755968000,0.0751,313666624000,33522255000,36968493000,0.7521
2022-06-30,0.5299,106240266000,970837030713.95,345942881000,0.6929,7545726000,10521153000,0.1019,239702615000,25394950000,37163395000,0.8377
2022-03-31,0.5734,105371879000,668980628079,317073763000,0.6677,9280454000,10319788000,0.0976,211701884000,21922071000,34994831000,0.9189
2021-12-31,0.6551,104244209000,780535622282.6,295780147000,0.6476,8493382000,8743519000,0.1197,191535938000,14932576000,36251280000,0.9697
2021-09-30,0.6695,91182817000,713883753751.05,251860885000,0.638,8394972000,10583884000,0.182,160678068000,12367949000,37198579000,1.0268
2021-06-30,0.7257,89285155000,718146856605,222894532000,0.5994,6473789000,10198931000,0.1947,133609377000,10394981000,37982499000,1.1491
2021-03-31,0.842,89000329000,470686611076.05,223793264000,0.6023,5897064000,13622224000,0.2425,134792935000,8663287000,36994803000,1.2407
2020-12-31,0.6966,64453912000,530078157698,201017321000,0.6794,5346105000,14745495000,0.27,136563409000,8185888000,41216427000,1.0486
2020-09-30,0.6891,67859599000,317119326046.4,196799017000,0.6552,4958090000,15654973000,0.3174,128939418000,7420419000,38907717000,1.0792
2020-06-30,0.7355,67212858000,195880657348,197636405000,0.6599,5315367000,15822055000,0.3532,130423547000,8351568000,43909067000,1.0739
2020-03-31,0.6841,62760763000,163606727314.2,191363274000,0.672,5096889000,14533550000,0.3856,128602511000,4870865000,39541976000,1.0055
2019-12-31,0.6854,62601420000,130050570136.2,195641593000,0.68,6986619000,11947932000,0.3752,133040173000,4502139000,43933795000,0.9902
2019-09-30,0.6888,62473319000,133078808710.8,198225576000,0.6848,8656731000,12960967000,0.3783,135752257000,4444678000,48014443000,1.0232
2019-06-30,0.705,62228860000,138371405859.2,199923781000,0.6887,6945928000,12053733000,0.3764,137694921000,3058518000,51114033000,1.0202
2019-03-31,0.6819,62145614000,145928361581.4,198825689000,0.6874,9311724000,8321072000,0.3382,136680075000,2557512000,45471373000,1.0184
2018-12-31,0.7053,60693979000,139135285860,194571077000,0.6881,6300286000,6847603000,0.3138,133877098000,3469114000,49283534000,0.9883
2018-09-30,0.7205,59845128000,133951814426,192108385000,0.6885,0,4952993000,0.3288,132263257000,5402084000,54601993000,0.9592
2018-06-30,0.7274,59366954000,130077851564.8,191296828000,0.6897,0,6281380000,0.3485,131929874000,6824670000,0,0.9401
2018-03-31,0.7094,60150841000,153594443018,182095536000,0.6697,0,6458494000,0.3359,121944695000,0,52295046000,0.9365
2017-12-31,0.7806,59957487000,177465693043,178099430000,0.6633,0,6369237000,0.3262,118141943000,0,51880681000,0.978
2017-09-30,0.7812,58875729000,186332157338,164727543000,0.6426,0,7808930000,0.3502,105851814000,0,51677203000,1.0057
2017-06-30,0.829,57169035000,136270735857,153734972000,0.6281,0,7316219000,0.3657,96565937000,0,46530489000,1.0648
2017-03-31,0.8212,56332874000,131005420137.2,146326109000,0.615,0,7191753000,0.3512,89993235000,0,41272389000,1.0587
2016-12-31,0.7745,55409363000,135534137284.8,145070778000,0.6181,0,4847936000,0.3003,89661415000,0,41768002000,0.999
2016-09-30,0.7846,54631787000,151657461587.4,133924309000,0.5921,0,6090552000,0.2847,79292522000,0,33985044000,1.0568
