date,归属于母公司普通股股东的净利润,累积同比,营业收入,基本每股收益
2026-03-31,4084551000,-0.5538,150225314000,0.448
2025-12-31,32619022000,-0.1897,803964958000,3.58
2025-09-30,23333173000,-0.0755,566265546000,2.56
2025-06-30,15510533000,0.1379,371280948000,1.71
2025-03-31,9154985000,1.0038,170360448000,3.12
2024-12-31,40254346000,0.34,777102455000,13.84
2024-09-30,25238115000,0.1812,502251312000,8.68
2024-06-30,13631257000,0.2444,301126713000,4.68
2024-03-31,4568793000,0.1062,124944397000,1.57
2023-12-31,30040811000,0.8072,602315354000,10.32
2023-09-30,21366896000,1.2947,422274838000,7.35
2023-06-30,10954145000,2.0468,260124143000,3.77
2023-03-31,4130063000,4.1089,120173608000,1.42
2022-12-31,16622448000,4.4586,424060635000,5.71
2022-09-30,9311467000,2.8113,267687847000,3.2
2022-06-30,3595279000,2.0635,150607252000,1.24
2022-03-31,808408000,2.4059,66825185000,0.28
2021-12-31,3045188000,-0.2808,216142395000,1.06
2021-09-30,2443112000,-0.2843,145192358000,0.85
2021-06-30,1173571000,-0.2941,90885400000,0.41
2021-03-31,237356000,1.1073,40991873000,0.08
2020-12-31,4234267000,1.6227,156597691000,1.47
2020-09-30,3413570000,1.1683,105022633000,1.18
2020-06-30,1662430000,0.1429,60502986000,0.56
2020-03-31,112636000,-0.8498,19678542000,0.02
2019-12-31,1614450000,-0.4193,127738523000,0.5
2019-09-30,1574296000,0.0309,93821797000,0.51
2019-06-30,1454573000,2.0361,62184263000,0.49
2019-03-31,749732000,6.3198,30304111000,0.25
2018-12-31,2780194000,-0.3163,130054707000,0.93
2018-09-30,1527053000,-0.453,88981326000,0.49
2018-06-30,479099000,-0.7219,54150930000,0.13
2018-03-31,102425000,-0.8309,24737565000,0.02
2017-12-31,4066478000,-0.1951,105914702000,1.4
2017-09-30,2791435000,-0.2382,73932895000,0.96
2017-06-30,1722914000,-0.2375,45037637000,0.59
2017-03-31,605795000,-0.2879,21046138000,0.2
2016-12-31,5052154000,0.7894,103469997000,1.88
2016-09-30,3664126000,0.8682,72797790000,1.3835
