date,市值(元),PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率
2026-07-03,59956613937.15,0.6249,,,,,-101.2746,,,,,97.1015,,,,,0.6145,,,,,0.3796,,,,,0.0077
2026-07-02,59686132972.02,0.6221,,,,,-100.8177,,,,,96.6634,,,,,0.6117,,,,,0.3779,,,,,0.0077
2026-07-01,59235331363.47,0.6174,,,,,-100.0563,,,,,95.9333,,,,,0.6071,,,,,0.3750,,,,,0.0078
2026-06-30,57973086859.53,0.6043,,,,,-97.9242,,,,,93.8891,,,,,0.5942,,,,,0.3670,,,,,0.0079
2026-06-29,58784529754.92,0.6127,,,,,-99.2948,,,,,95.2033,,,,,0.6025,,,,,0.3722,,,,,0.0078
2026-06-26,58964850398.34,0.6146,,,,,-99.5994,,,,,95.4953,,,,,0.6043,,,,,0.3733,,,,,0.0078
2026-06-25,60317255223.99,0.6287,,,,,-101.8838,,,,,97.6856,,,,,0.6182,,,,,0.3819,,,,,0.0076
2026-06-24,60768056832.54,0.6334,,,,,-102.6453,,,,,98.4156,,,,,0.6228,,,,,0.3847,,,,,0.0076
2026-06-23,63112225197.0,0.6578,,,,,-106.6049,,,,,102.2121,,,,,0.6468,,,,,0.3996,,,,,0.0073
2026-06-22,65366233239.75,0.6813,,,,,-110.4122,,,,,105.8625,,,,,0.6699,,,,,0.4138,,,,,0.0070
2026-06-18,65366233239.75,0.6813,,,,,-110.4122,,,,,105.8625,,,,,0.6699,,,,,0.4138,,,,,0.0070
2026-06-17,67890722247.63,0.7076,,,,,-114.6764,,,,,109.9510,,,,,0.6958,,,,,0.4298,,,,,0.0068
2026-06-16,68161203212.76,0.7104,,,,,-115.1333,,,,,110.3891,,,,,0.6986,,,,,0.4315,,,,,0.0068
2026-06-15,72218417689.71,0.7527,,,,,-121.9864,,,,,116.9598,,,,,0.7401,,,,,0.4572,,,,,0.0064
2026-06-12,73570822515.36,0.7668,,,,,-124.2708,,,,,119.1501,,,,,0.7540,,,,,0.4658,,,,,0.0063
2026-06-11,74562586054.17,0.7772,,,,,-125.9460,,,,,120.7563,,,,,0.7642,,,,,0.4721,,,,,0.0062
2026-06-10,73751143158.78,0.7687,,,,,-124.5754,,,,,119.4421,,,,,0.7559,,,,,0.4669,,,,,0.0062
2026-06-09,74292105089.04,0.7743,,,,,-125.4892,,,,,120.3182,,,,,0.7614,,,,,0.4704,,,,,0.0062
2026-06-08,74292105089.04,0.7743,,,,,-125.4892,,,,,120.3182,,,,,0.7614,,,,,0.4704,,,,,0.0062
2026-06-05,76185471844.95,0.7941,,,,,-128.6873,,,,,123.3846,,,,,0.7808,,,,,0.4823,,,,,0.0060
2026-06-04,77808357635.73,0.8110,,,,,-131.4286,,,,,126.0129,,,,,0.7974,,,,,0.4926,,,,,0.0059
2026-06-03,79070602139.67,0.8242,,,,,-133.5607,,,,,128.0571,,,,,0.8104,,,,,0.5006,,,,,0.0058
2026-06-02,80603327608.74,0.8401,,,,,-136.1496,,,,,130.5394,,,,,0.8261,,,,,0.5103,,,,,0.0057
2026-06-01,82045892756.1,0.8552,,,,,-138.5863,,,,,132.8757,,,,,0.8409,,,,,0.5195,,,,,0.0056
2026-05-29,79521403748.22,0.8289,,,,,-134.3221,,,,,128.7872,,,,,0.8150,,,,,0.5035,,,,,0.0058
2026-05-28,75644509914.69,0.7884,,,,,-127.7735,,,,,122.5085,,,,,0.7753,,,,,0.4789,,,,,0.0061
2026-05-27,75193708306.14,0.7837,,,,,-127.0121,,,,,121.7784,,,,,0.7706,,,,,0.4761,,,,,0.0061
2026-05-26,78439479887.7,0.8176,,,,,-132.4946,,,,,127.0350,,,,,0.8039,,,,,0.4966,,,,,0.0059
2026-05-25,77898517957.44,0.8119,,,,,-131.5809,,,,,126.1589,,,,,0.7984,,,,,0.4932,,,,,0.0059
2026-05-22,76455952810.08,0.7969,,,,,-129.1442,,,,,123.8226,,,,,0.7836,,,,,0.4841,,,,,0.0060
2026-05-21,77087075062.05,0.8035,,,,,-130.2102,,,,,124.8448,,,,,0.7900,,,,,0.4881,,,,,0.0060
2026-05-20,80603327608.74,0.8401,,,,,-136.1496,,,,,130.5394,,,,,0.8261,,,,,0.5103,,,,,0.0057
2026-05-19,81504930825.84,0.8495,,,,,-137.6726,,,,,131.9996,,,,,0.8353,,,,,0.5160,,,,,0.0057
2026-05-18,78439479887.7,0.8176,,,,,-132.4946,,,,,127.0350,,,,,0.8039,,,,,0.4966,,,,,0.0059
2026-05-15,81775411790.97,0.8523,,,,,-138.1294,,,,,132.4377,,,,,0.8381,,,,,0.5177,,,,,0.0056
2026-05-14,83398297581.75,0.8693,,,,,-140.8707,,,,,135.0660,,,,,0.8547,,,,,0.5280,,,,,0.0055
2026-05-13,86012946911.34,0.8965,,,,,-145.2872,,,,,139.3005,,,,,0.8815,,,,,0.5446,,,,,0.0054
2026-05-12,87185031093.57,0.9087,,,,,-147.2670,,,,,141.1987,,,,,0.8935,,,,,0.5520,,,,,0.0053
2026-05-11,87635832702.12,0.9134,,,,,-148.0285,,,,,141.9288,,,,,0.8982,,,,,0.5548,,,,,0.0053
2026-05-08,85021183372.53,0.8862,,,,,-143.6120,,,,,137.6943,,,,,0.8714,,,,,0.5383,,,,,0.0054
