date,货币资金,资产合计,长期负债合计,速动比率,资产负债率,流动资产合计,有息负债率,应收账款,流动负债合计,流动比率,负债合计,所有者权益合计
2026-03-31,75824830558.11,833472158288,141957303468,0.5985,0.672,213538106,0.298,5362004014,127286486743,1.6101,560095744545,273376413743
2025-12-31,77898517957.44,835411599109,140875809924,0.5864,0.6752,184695974,0.2975,3470324923,125822167370,1.5944,564032316788,271379282321
2025-09-30,92148703920.09,861476320047,142759729104,0.6151,0.6779,124089155,0.2795,5431139390,149602126465,1.5941,584014310991,277462009056
2025-06-30,79463533272.29,868039948210,137865232603,0.5941,0.6786,112042121,0.2745,5101042295,155532671414,1.5784,589094757399,278945190811
2025-03-31,83087867743.09,866663370056,130349392015,0.6001,0.6737,85695684,0.2712,5070085843,149956727354,1.5718,583864488230,282798881826
2024-12-31,92782962452.48,860308816014,125777464927,0.6222,0.6667,69493467,0.2644,3510079687,141952286314,1.5898,573564035128,286744780886
2024-09-30,110995243168.25,918760551409,126859807960,0.5469,0.6863,0,0.2449,5829530445,191319679987,1.5426,630535870956,288224680453
2024-06-30,79644749995.83,912693150372,131177320208,0.5505,0.6816,0,0.2423,5603099431,179845571398,1.5541,622066633239,290626517133
2024-03-31,85624901872.65,919778800072,127078552185,0.5537,0.6771,0,0.2399,5034852907,170506700809,1.5682,622758680778,297020119294
2023-12-31,86349768766.81,908508499681,118770674582,0.5594,0.6734,0,0.2353,3474223074,161532676866,1.5585,611818221630,296690278051
2023-09-30,103346317390.26,963521580127,119406697588,0.5273,0.6924,0,0.2183,5576311866,212771723096,1.4954,667105627452,296415952675
2023-06-30,100840449311.46,947579937839,117428509503,0.548,0.6973,0,0.2242,5125492224,196591585088,1.4449,660778198099,286801739740
2023-03-31,105406517238.84,913363170451,127642700354,0.5795,0.6909,0,0.2327,4951385556,173692359935,1.5187,631024744367,282338426084
2022-12-31,97744810038.66,886471376242,121073548863,0.5654,0.6791,0,0.2297,3884563482,144921607723,1.5456,602030899073,284440477168
2022-09-30,126456864293.88,923498089471,133774512360,0.5137,0.7051,0,0.225,5152330177,184858829372,1.5009,651162971925,272335117546
2022-06-30,103936088584.26,880378765933,131196800080,0.5666,0.6928,0,0.2254,4470878073,164280886857,1.5711,609932582267,270446183666
2022-03-31,120116357694.72,874328055811,112314861812,0.5343,0.6809,2815645,0.2093,4255089690,162339882774,1.5392,595334757132,278993298679
2021-12-31,105696056177.28,856203347398,107779676129,0.5222,0.6768,0,0.2025,3279273985,148710250503,1.5256,579448161394,276755186004
2021-09-30,102526759140.48,861846360738,103899329108,0.5285,0.6778,0,0.2019,4442381554,174029885337,1.5501,584193991138,277652369600
2021-06-30,86759506382.4,829664226147,95864457233,0.5405,0.6794,0,0.2019,4040364646,172001721865,1.5357,563666173040,265998053107
2021-03-31,97218186603.84,768133101705,87346075859,0.5134,0.6671,0,0.211,3383868464,152126310577,1.5408,512445349063,255687752642
2020-12-31,105287598657.99,737157339985,77715025875,0.547,0.6563,0,0.2121,2759249530,129686049548,1.5397,483800193166,253357146819
2020-09-30,120023109079.65,706325334357,64000849134,0.4843,0.68,0,0.2208,3942414858,153513342845,1.4381,480320410716,226004923641
2020-06-30,130242898549.2,667916563819,64930038884,0.4678,0.6673,271250484,0.2207,3045626749,131092832299,1.4635,445677800117,222238763701
2020-03-31,130459109158.4,634082237029,73844116488,0.5465,0.637,271476412,0.231,2908465099,100466970872,1.6257,403892317797,230189919232
2019-12-31,157295054549.6,617688088325,68834884957,0.5475,0.6319,0,0.2301,1794789683,14288847872,1.6177,390317621123,227370467202
2019-09-30,150288355842.3,527987293655,76986174616,0.5312,0.7562,0,0.2811,1647386401,25187288406,1.4784,399256689274,128730604381
2019-06-30,165383247645,502452927744,75980689399,0.5613,0.7672,0,0.2754,1699686824,21528034425,1.4605,385492005916,116960921827
2019-03-31,182116623052.8,441599493378,71205402932,0.6106,0.7392,0,0.289,0,17646993680,1.5778,326448135931,115151357447
2018-12-31,137136008692,423221446927,61646834665,0.6111,0.7428,0,0.275,1203551895,14886338295,1.5369,314358765815,108862681112
2018-09-30,147727492936.8,419451212909,64256904315,0.5532,0.7717,0,0.2916,551090926,15345783428,1.5254,323698895729,95752317180
2018-06-30,150572966316,407853634724,79814904195,0.6656,0.7712,0,0.3272,421150117,11336202516,1.6562,314531286377,93322348347
2018-03-31,172309221296,360608875437,70469482011,0.7049,0.7215,0,0.3063,296508667,0,1.7669,260171179841,100437695596
2017-12-31,154604053603.2,332620921218,60696558840,0.6967,0.7211,0,0.2996,219960309,0,1.7129,239838211492,92782709727
2017-09-30,144486814921.6,301261950076,49729497921,0.6479,0.7401,0,0.2832,270354278,0,1.6106,222967091438,78294858638
2017-06-30,168831420499.2,278264802969,39422557490,0.6114,0.7228,0,0.2702,270566532,0,1.592,201129686397,77135116572
2017-03-31,139112031872,261686560059,39300836952,0.6809,0.6937,0,0.2725,269500823,0,1.7353,181539024436,80147535623
2016-12-31,129548079680.8,250731682840,38285294171,0.6979,0.6896,0,0.2391,227009988,0,1.7465,172906001113,77825681727
2016-09-30,126307401665.6,241839770480,37794958272,0.6521,0.7192,0,0.2449,289910172,0,1.7668,173935705170,67904065310
