date,metric,value
2026-03-31,流动资产合计,213538106
2026-03-31,归属于母公司普通股股东的净利润,39118628
2026-03-31,资本回报率(ROIC),0.0018
2026-03-31,自由现金流量,14549176063
2026-03-31,资产合计,833472158288
2026-03-31,长期负债合计,141957303468
2026-03-31,流动比率,1.6101
2026-03-31,所有者权益合计,273376413743
2026-03-31,毛利率(GM),0.1348
2026-03-31,资产负债率,0.672
2026-03-31,应收账款,5362004014
2026-03-31,负债合计,560095744545
2026-03-31,净利润率,0.0033
2026-03-31,基本每股收益,0.004
2026-03-31,营业收入,23666898476
2026-03-31,货币资金,75824830558.11
2026-03-31,流动负债合计,127286486743
2026-03-31,总资产收益率(ROA),0.0006
2026-03-31,速动比率,0.5985
2026-03-31,经营活动产生的现金流量净额,-3770704389
2026-03-31,净资产收益率(ROE),0.0019
2026-03-31,经营活动产生的现金流量净额对净利润的比率,28.1261
2026-03-31,有息负债率,0.298
