date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,股息率
2026-07-03,59956613937.15,0.6145,,,,,0.3796,,,,,97.1015,,,,,0.6249,,,,,-101.2746,,,,,0.0077
2026-07-02,59686132972.02,0.6117,,,,,0.3779,,,,,96.6634,,,,,0.6221,,,,,-100.8177,,,,,0.0077
2026-07-01,59235331363.47,0.6071,,,,,0.3750,,,,,95.9333,,,,,0.6174,,,,,-100.0563,,,,,0.0078
2026-06-30,57973086859.53,0.5942,,,,,0.3670,,,,,93.8891,,,,,0.6043,,,,,-97.9242,,,,,0.0079
2026-06-29,58784529754.92,0.6025,,,,,0.3722,,,,,95.2033,,,,,0.6127,,,,,-99.2948,,,,,0.0078
2026-06-26,58964850398.34,0.6043,,,,,0.3733,,,,,95.4953,,,,,0.6146,,,,,-99.5994,,,,,0.0078
2026-06-25,60317255223.99,0.6182,,,,,0.3819,,,,,97.6856,,,,,0.6287,,,,,-101.8838,,,,,0.0076
2026-06-24,60768056832.54,0.6228,,,,,0.3847,,,,,98.4156,,,,,0.6334,,,,,-102.6453,,,,,0.0076
2026-06-23,63112225197.0,0.6468,,,,,0.3996,,,,,102.2121,,,,,0.6578,,,,,-106.6049,,,,,0.0073
2026-06-22,65366233239.75,0.6699,,,,,0.4138,,,,,105.8625,,,,,0.6813,,,,,-110.4122,,,,,0.0070
2026-06-18,65366233239.75,0.6699,,,,,0.4138,,,,,105.8625,,,,,0.6813,,,,,-110.4122,,,,,0.0070
2026-06-17,67890722247.63,0.6958,,,,,0.4298,,,,,109.9510,,,,,0.7076,,,,,-114.6764,,,,,0.0068
2026-06-16,68161203212.76,0.6986,,,,,0.4315,,,,,110.3891,,,,,0.7104,,,,,-115.1333,,,,,0.0068
2026-06-15,72218417689.71,0.7401,,,,,0.4572,,,,,116.9598,,,,,0.7527,,,,,-121.9864,,,,,0.0064
2026-06-12,73570822515.36,0.7540,,,,,0.4658,,,,,119.1501,,,,,0.7668,,,,,-124.2708,,,,,0.0063
2026-06-11,74562586054.17,0.7642,,,,,0.4721,,,,,120.7563,,,,,0.7772,,,,,-125.9460,,,,,0.0062
2026-06-10,73751143158.78,0.7559,,,,,0.4669,,,,,119.4421,,,,,0.7687,,,,,-124.5754,,,,,0.0062
2026-06-09,74292105089.04,0.7614,,,,,0.4704,,,,,120.3182,,,,,0.7743,,,,,-125.4892,,,,,0.0062
2026-06-08,74292105089.04,0.7614,,,,,0.4704,,,,,120.3182,,,,,0.7743,,,,,-125.4892,,,,,0.0062
