date,营业收入,累积同比,归属于母公司普通股股东的净利润,基本每股收益
2026-03-31,56782594376,-0.0589,4483918670,0.25
2025-12-31,229288057955,-0.0662,14409553809,0.74
2025-09-30,172974894698,-0.0619,14840905124,0.81
2025-06-30,112032082664,-0.057,9261884951,0.5
2025-03-31,60334914635,-0.077,4972738942,0.27
2024-12-31,245550923498,-0.0348,10135493813,0.46
2024-09-30,184395715008,-0.0362,10412915465,0.53
2024-06-30,118805857937,-0.0573,7453818372,0.38
2024-03-31,65366884717,0.0015,4596138134,0.25
2023-12-31,254396694532,0.0311,8445560446,0.35
2023-09-30,191321713923,0.0401,12563618458,0.66
2023-06-30,126032267458,0.0784,6308284637,0.31
2023-03-31,65269368192,0.0003,2250283365,0.1
2022-12-31,246724789201,0.2031,-7387119286,-0.61
2022-09-30,183952785144,0.2659,-3942298192,-0.35
2022-06-30,116869061918,0.2268,-3008687276,-0.26
2022-03-31,65250379565,0.3054,-956338198,-0.09
2021-12-31,204605083056,0.2075,-10264365567,-0.79
2021-09-30,145005454078,0.19,782886659,-0.05
2021-06-30,95115588347,0.2017,4282135954,0.21
2021-03-31,49909188093,0.2359,3126672348,0.17
2020-12-31,169439187471,-0.0239,4564989863,0.18
2020-09-30,121823399760,-0.0431,9133456650,0.5
2020-06-30,79121704124,-0.0521,5732920707,0.32
2020-03-31,40351319168,-0.1161,2060247568,0.11
2019-12-31,173484800604,0.0213,1686459523,0.06
2019-09-30,127232482273,0.0099,5389071929,0.32
2019-06-30,83417373675,0.0088,3819998892,0.23
2019-03-31,45651700763,0.0515,2655793776,0.16
2018-12-31,169861164810,0.1104,1438881447,0.07
2018-09-30,125989106036,0.1308,1988919775,0.12
2018-06-30,82404918640,0.1536,2128710393,0.13
2018-03-31,43255634634,0.1511,1218968123,0.08
2017-12-31,152459443954,0.1036,1793150950,0.11
2017-09-30,111074350642,0.1079,2860339024,0.19
2017-06-30,71433688713,0.1136,787572539,0.05
2017-03-31,37577079025,0.0754,651979268,0.04
2016-12-31,113814235972,-0.1171,8814290887,0.58
2016-09-30,83220630924,-0.1443,9388699756,0.62
2016-06-30,52924371152,-0.1896,6292313199,0.41
