date,速动比率,有息负债率,资产合计,流动负债合计,所有者权益合计,负债合计,资产负债率,流动资产合计,长期负债合计,流动比率
2026-03-31,0.4537,0.5249,614698358430,628134470,207007369858,407690988572,0.6632,60875602,159129797786,0.5174
2025-12-31,0.4376,0.5059,611789826893,3726285587,212518082134,399271744759,0.6526,57473304,157066581848,0.5233
2025-09-30,0.4919,0.5019,596198991252,839454097,215950961148,380248030104,0.6378,46194611,151840011306,0.5764
2025-06-30,0.4821,0.5068,594611593866,573373057,210968225557,383643368309,0.6452,42246237,151966482208,0.5703
2025-03-31,0.4859,0.512,588492644964,745590873,209913807084,378578837880,0.6433,38599213,150192449533,0.5737
2024-12-31,0.4357,0.5082,586842753960,3528663617,203047826370,383794927590,0.654,47863241,151827548212,0.5388
2024-09-30,0.5305,0.4959,564902152145,970989932,201458977362,363443174783,0.6434,45853686,151445614768,0.6308
2024-06-30,0.444,0.5329,552246280557,647514553,176442961455,375803319102,0.6805,42071435,159984610425,0.5546
2024-03-31,0.4462,0.5433,545424371101,816427176,176840081961,368584289140,0.6758,45463243,157106227027,0.5405
2023-12-31,0.4448,0.5327,541159281130,3380245056,171362561553,369796719577,0.6833,44583327,162347839035,0.5533
2023-09-30,0.4762,0.5703,521673674193,971178193,156377143094,365296531099,0.7002,30905199,166239725738,0.5899
2023-06-30,0.4552,0.5705,516495194666,635436372,150293657128,366201537538,0.709,49522910,161303872320,0.5901
2023-03-31,0.4858,0.5729,507997216797,879954910,145818448829,362178767968,0.713,88781186,162064546753,0.612
2022-12-31,0.393,0.5987,502605977488,3348827601,126544050749,376061926739,0.7482,68737931,151677525923,0.5062
2022-09-30,0.3853,0.6106,486109693071,1204617041,119795849333,366313843738,0.7536,45253385,146116682021,0.4901
2022-06-30,0.383,0.6216,479807372211,804962922,119671227425,360136144786,0.7506,57286410,144438891357,0.4863
2022-03-31,0.4435,0.6135,488810999006,655254690,123370439266,365440559740,0.7476,57749291,147321991730,0.5255
2021-12-31,0.3817,0.5902,490068485832,3274769864,123892004753,366176481079,0.7472,66973934,136857716583,0.4961
2021-09-30,0.4085,0.5538,453462575652,2129068262,137846655680,315615919972,0.696,44048223,125341643684,0.4763
2021-06-30,0.4228,0.5464,448196747614,1948059578,143195102742,305001644872,0.6805,27078263,117455833668,0.4988
2021-03-31,0.4157,0.5408,443633073191,2293210090,145618225381,298014847810,0.6718,45574137,118259602404,0.4782
2020-12-31,0.3762,0.5406,438205752374,2903295902,141475353895,296730398479,0.6771,29678153,112077394506,0.4293
2020-09-30,0.3989,0.5462,427051845180,1133769724,147542854414,279508990766,0.6545,40221237,113791994278,0.4651
2020-06-30,0.4118,0.5563,425099707285,928221085,137324884559,287774822726,0.677,69875875,117046288013,0.4844
2020-03-31,0.3817,0.572,414574290961,847465150,121972810508,292601480453,0.7058,41982810,113252675004,0.4562
2019-12-31,0.359,0.5741,413596544694,2706529095,117288844087,296307700607,0.7164,24157003,115364597539,0.4291
2019-09-30,0.3496,0.5898,404693037659,931261378,109863596053,294829441606,0.7285,4380706,113261393591,0.4257
2019-06-30,0.3255,0.6023,401293063610,522873459,105253032948,296040030662,0.7377,8330367,112301690437,0.4082
2019-03-31,0.3599,0.5984,400000276277,381274970,105492208495,294508067782,0.7363,3018132,119324092005,0.4354
2018-12-31,0.3689,0.6007,403441456827,1976646844,101786199243,301655257584,0.7477,11057534,129548160984,0.4472
2018-09-30,0.332,0.5969,381909425470,775532610,98339125064,283570300406,0.7425,0,120824804609,0.4142
2018-06-30,0.3267,0.578,381582945767,593674562,93825373181,287757572586,0.7541,0,118558846973,0.3977
2018-03-31,0.311,0.5786,382591883382,0,94346425325,288245458057,0.7534,0,114663934147,0.3702
2017-12-31,0.2603,0.5968,378693729128,0,92203668821,286490060307,0.7565,0,107030958243,0.3112
2017-09-30,0.2797,0.5857,382880874488,0,93621415096,289259459392,0.7555,0,107385030884,0.3348
2017-06-30,0.241,0.5689,380442148929,0,88377218687,292064930242,0.7677,0,107318620333,0.2981
2017-03-31,0.2329,0.5456,375542682233,0,93069089349,282473592884,0.7522,0,103457729242,0.2843
2016-12-31,0.2258,0.4805,309417628458,0,96766030248,212651598210,0.6873,0,64990360618,0.2839
2016-09-30,0.2142,0.4893,299723834000,0,98687110638,201036723362,0.6707,0,67623923352,0.2711
2016-06-30,0.2132,0.4899,298287207162,0,96841674516,201445532646,0.6753,0,67704015486,0.2666
