日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PS-TTM,PS-TTM 分位点,PS-TTM 80%分位点值,PS-TTM 50%分位点值,PS-TTM 20%分位点值
2026-07-03,=54.4500,=54.4500,=54.4500,=54.4500,=361395533139.3001,=347336673819.0,=211705181884.35,,=11.0979,,,,
2026-07-02,=53.4900,=53.4900,=53.4900,=53.4900,=355023821260.26,=341212831636.0,=207972638732.67,,=10.9022,,,,
2026-07-01,=53.7800,=53.7800,=53.7800,=53.7800,=356948609223.7201,=343062742296.0,=209100177809.74,,=10.9613,,,,
2026-06-30,=52.0400,=52.0400,=52.0400,=52.0400,=345399881442.96,=331963278339.0,=202334943347.32,,=10.6067,,,,
2026-06-29,=52.9300,=52.9300,=52.9300,=52.9300,=351306989330.82,=337640590363.0,=205795321894.19,,=10.7881,,,,
2026-06-26,=48.6700,=48.6700,=48.6700,=48.6700,=323032517867.58,=310466040676.0,=189232161658.61,,=9.9198,,,,
2026-06-25,=50.0400,=50.0400,=50.0400,=50.0400,=332125481694.96,=319205273791.0,=194558811781.32,,=10.1990,,,,
2026-06-24,=50.2500,=50.2500,=50.2500,=50.2500,=333519293668.5,=320544864269.0,=195375305595.75,,=10.2418,,,,
2026-06-23,=48.9800,=48.9800,=48.9800,=48.9800,=325090049828.52,=312443531381.0,=190437462051.34,,=9.9830,,,,
2026-06-22,=49.3600,=49.3600,=49.3600,=49.3600,=327612185780.64,=314867552245.0,=191914927048.88,,=10.0604,,,,
2026-06-18,=48.4200,=48.4200,=48.4200,=48.4200,=321373217899.08,=308871290107.0,=188260145212.86,,=9.8689,,,,
2026-06-17,=46.9900,=46.9900,=46.9900,=46.9900,=311882022079.26,=299749316855.0,=182700211143.17,,=9.5774,,,,
2026-06-16,=47.3500,=47.3500,=47.3500,=47.3500,=314271414033.9,=302045757674.0,=184099914825.05,,=9.6508,,,,
2026-06-15,=47.8800,=47.8800,=47.8800,=47.8800,=317789129967.12,=305426628879.0,=186160589690.04,,=9.7588,,,,
2026-06-12,=48.4900,=48.4900,=48.4900,=48.4900,=321837821890.26,=309317820266.0,=188532309817.67,,=9.8831,,,,
2026-06-11,=46.9800,=46.9800,=46.9800,=46.9800,=311815650080.52,=299685526833.0,=182661330485.34,,=9.5754,,,,
2026-06-10,=47.0100,=47.0100,=47.0100,=47.0100,=312014766076.74,=299876896901.0,=182777972458.83,,=9.5815,,,,
2026-06-09,=46.3800,=46.3800,=46.3800,=46.3800,=307833330156.12,=295858125468.0,=180328491015.54,,=9.4531,,,,
2026-06-08,=45.9400,=45.9400,=45.9400,=45.9400,=304912962211.56,=293051364468.0,=178617742071.02,,=9.3634,,,,
2026-06-05,=47.0800,=47.0800,=47.0800,=47.0800,=312479370067.92,=300323427060.0,=183050137063.64,,=9.5957,,,,
