date,净利润率,总资产收益率(ROA),毛利率(GM),资本回报率(ROIC),净资产收益率(ROE)
2026-03-31,0.0204,0.0101,0.0986,0.0297,0.0474
2025-12-31,0.0211,0.011,0.0972,0.0324,0.0511
2025-09-30,0.0235,0.0126,0.1003,0.0337,0.0573
2025-06-30,0.0237,0.0132,0.1017,0.0354,0.0584
2025-03-31,0.0249,0.0144,0.1024,0.039,0.0617
2024-12-31,0.0254,0.0154,0.1027,0.0419,0.0645
2024-09-30,0.0265,0.0165,0.1045,0.0436,0.0696
2024-06-30,0.0277,0.0182,0.1053,0.0472,0.0756
2024-03-31,0.0285,0.0197,0.104,0.0512,0.0805
2023-12-31,0.0284,0.0203,0.104,0.0549,0.0805
2023-09-30,0.0298,0.0205,0.104,0.0519,0.0844
2023-06-30,0.0295,0.0206,0.102,0.0532,0.0846
2023-03-31,0.0291,0.0212,0.1018,0.0547,0.0866
2022-12-31,0.029,0.0221,0.1009,0.0601,0.0867
2022-09-30,0.0284,0.0212,0.0966,0.0552,0.0875
2022-06-30,0.029,0.022,0.0967,0.0578,0.0902
2022-03-31,0.0287,0.0221,0.095,0.0581,0.0897
2021-12-31,0.0287,0.0226,0.096,0.0616,0.0888
2021-09-30,0.0285,0.0227,0.0905,0.0593,0.0953
2021-06-30,0.0281,0.0233,0.0892,0.0606,0.0974
2021-03-31,0.0278,0.0234,0.0891,0.0613,0.0957
2020-12-31,0.0282,0.0221,0.0926,0.061,0.0893
2020-09-30,0.0265,0.0212,0.0897,0.0582,0.0949
2020-06-30,0.0273,0.0216,0.0935,0.0605,0.096
2020-03-31,0.0266,0.0214,0.0943,0.0588,0.0919
2019-12-31,0.0272,0.0226,0.0964,0.065,0.0964
2019-09-30,0.0275,0.0229,0.0964,0.0736,0.1045
2019-06-30,0.0275,0.0228,0.0982,0.0715,0.1043
2019-03-31,0.0272,0.0233,0.098,,0.1041
2018-12-31,0.0272,0.0228,0.0978,0.0682,0.1028
2018-09-30,0.0281,0.0231,0.1004,,0.111
2018-06-30,0.027,0.0226,0.096,,0.1093
2018-03-31,0.0254,0.0219,0.0937,,0.1041
2017-12-31,0.0248,0.0214,0.0924,,0.1034
2017-09-30,0.0244,0.0206,0.0856,,0.1069
2017-06-30,0.0239,0.0203,0.0862,,0.1056
2017-03-31,0.0239,0.0206,0.0895,,0.107
2016-12-31,0.0236,0.0204,0.0921,,0.107
2016-09-30,0.0237,0.0203,0.106,,0.1078
2016-06-30,0.0231,0.0203,0.1114,,0.1108
