date,营业收入,累积同比,归属于母公司普通股股东的净利润,基本每股收益
2026-03-31,231582129000,-0.0981,4392391000,0.28
2025-12-31,1029784460000,-0.035,18362618000,1.18
2025-09-30,728403247000,-0.0392,14811266000,0.96
2025-06-30,489199045000,-0.0522,10701474000,0.7
2025-03-31,256762012000,-0.0661,5150787000,0.34
2024-12-31,1067171337000,-0.0622,22215074000,1.46
2024-09-30,758125120000,-0.0599,15695439000,1.02
2024-06-30,516136718000,-0.0461,11902158000,0.79
2024-03-31,274948792000,0.0052,6025004000,0.399
2023-12-31,1137993486000,0.038,26096971000,1.73
2023-09-30,806463195000,0.0101,19419540000,1.29
2023-06-30,541059991000,0.001,13648610000,0.91
2023-03-31,273538545000,0.0343,5907923000,0.389
2022-12-31,1096312867000,0.0748,26642094000,1.76
2022-09-30,798421540000,0.0856,18747442000,1.23
2022-06-30,540496534000,0.1064,13473989000,0.89
2022-03-31,264477801000,0.1305,5621071000,0.364
2021-12-31,1020010179000,0.1205,24690556000,1.6
2021-09-30,735474689000,0.1786,17872402000,1.15
2021-06-30,488514865000,0.3175,12307363000,0.79
2021-03-31,233954738000,0.6123,5005139000,0.31
2020-12-31,910324763000,0.0962,22392983000,1.5
2020-09-30,624007869000,0.1116,14879203000,0.99
2020-06-30,370789433000,0.0506,9316253000,0.62
2020-03-31,145102647000,-0.0763,2970391000,0.183
2019-12-31,830452157000,0.1374,20197378000,1.4
2019-09-30,561356874000,0.1459,14688564000,1.04
2019-06-30,352934879000,0.1423,9284178000,0.65
2019-03-31,157089287000,0.1932,3885577000,0.281
2018-12-31,730123045000,0.0722,17935281000,1.26
2018-09-30,489870617000,0.064,12646122000,0.9
2018-06-30,308980930000,0.0693,8008700000,0.56
2018-03-31,131648728000,0.0697,3421661000,0.252
2017-12-31,680981127000,0.0821,16057235000,1.16
2017-09-30,460384535000,0.0861,10528783000,0.78
2017-06-30,288960909000,0.0834,6523039000,0.48
2017-03-31,123065019000,0.037,2878644000,0.212
2016-12-31,629327090000,0.0479,13999610000,1.03
2016-09-30,423885124000,0.0262,9123331000,0.67
2016-06-30,266727199000,0.0146,5822183000,0.43
