date,经营活动产生的现金流量净额对净利润的比率,自由现金流量,经营活动产生的现金流量净额,累积同比
2026-03-31,1.2066,-2779457538,-584755267,-1.3806
2025-12-31,1.7869,326064528,6848877206,0.1046
2025-09-30,1.7629,540185189,1474712031,-0.4456
2025-06-30,2.0083,1858179422,1870809910,-0.2438
2025-03-31,2.3333,3135183415,1536480481,0.0013
2024-12-31,2.3974,3888089415,6200452182,-0.2394
2024-09-30,3.0449,4145559050,2659949623,-0.2179
2024-06-30,4.7357,4174342429,2473952288,0.1769
2024-03-31,7.4822,4150291604,1534517202,10.4272
2023-12-31,7.9967,1588886627,8151888243,-0.0199
2023-09-30,-6.7564,1451030795,3401098097,-0.0447
2023-06-30,57.2074,-1339504995,2102029214,-0.5419
2023-03-31,7.0265,-963249531,134286338,-0.9084
2022-12-31,4.6438,276539809,8317113365,-0.0327
2022-09-30,1.3309,-1808048742,3560142607,-0.3818
2022-06-30,1.9759,612911740,4588676071,0.1523
2022-03-31,2.1694,2212962236,1466497951,0.6793
2021-12-31,1.9964,1758728033,8598475528,0.1193
2021-09-30,2.5517,3935724113,5758828923,1.1268
2021-06-30,2.82,4851309195,3982178641,3.434
2021-03-31,2.309,1795935964,873274389,1.1921
2020-12-31,2.6937,2133145293,7682256114,0.4092
2020-09-30,2.1857,-104035910,2707793800,-0.1289
2020-06-30,2.8078,319987603,898091872,-0.5587
2020-03-31,3.8882,2117783442,398369722,-0.239
2019-12-31,4.2618,2464647809,5451430415,1.3948
2019-09-30,4.8804,1672862287,3108449595,4.4242
2019-06-30,3.6085,-313113177,2035159582,1.1697
2019-03-31,2.3739,-2255234657,523495029,-0.2948
2018-12-31,2.6957,-1913382096,2276407972,-0.3553
2018-09-30,1.7412,-1136326498,573071430,-0.5765
2018-06-30,1.6131,-565131089,937971126,-0.3797
2018-03-31,1.9583,400011078,742372492,1.0794
2017-12-31,1.676,22914568,3530997035,0.556
2017-09-30,1.6374,311260534,1353317864,2.3471
2017-06-30,1.8021,-29341763,1512063618,2.4173
2017-03-31,1.5131,-488081380,357015080,6.1476
2016-12-31,1.4104,-1044237929,2269218473,-0.0581
2016-09-30,1.4347,-1483200839,404322169,-0.498
