date,资本回报率(ROIC),净资产收益率(ROE),净利润率,毛利率(GM),总资产收益率(ROA)
2026-03-31,0.0778,0.1077,0.0396,0.1207,0.0458
2025-12-31,0.0845,0.1075,0.0397,0.118,0.0442
2025-09-30,0.0634,0.0817,0.0286,0.1228,0.0323
2025-06-30,0.0647,0.0836,0.0284,0.1183,0.0348
2025-03-31,0.0633,0.0806,0.0271,0.1168,0.0356
2024-12-31,0.0665,0.0789,0.0256,0.1109,0.0331
2024-09-30,0.0617,0.0755,0.0258,0.1122,0.0305
2024-06-30,0.0524,0.0573,0.0192,0.1085,0.0246
2024-03-31,0.0423,0.041,0.0136,0.0951,0.0181
2023-12-31,0.04,0.033,0.0103,0.0895,0.0135
2023-09-30,-0.0203,-0.0378,-0.0115,0.0777,-0.0152
2023-06-30,0.0007,0.0033,0.001,0.0874,0.0015
2023-03-31,0.043,0.0332,0.0091,0.0972,0.0154
2022-12-31,0.0564,0.0616,0.0171,0.1112,0.0259
2022-09-30,0.1263,0.1621,0.0483,0.1305,0.0698
2022-06-30,0.1347,0.169,0.0509,0.1348,0.0809
2022-03-31,0.1299,0.1595,0.0503,0.1396,0.0786
2021-12-31,0.1409,0.1807,0.0551,0.1413,0.0782
2021-09-30,0.1378,0.1881,0.0555,0.144,0.0785
2021-06-30,0.132,0.1844,0.0527,0.1493,0.0838
2021-03-31,0.1361,0.1764,0.0541,0.155,0.0849
2020-12-31,0.1191,0.159,0.0494,0.1603,0.0681
2020-09-30,0.0976,0.1368,0.0505,0.1676,0.0554
2020-06-30,0.0678,0.0961,0.0414,0.1647,0.0427
2020-03-31,0.0683,0.0874,0.0381,0.1571,0.0435
2019-12-31,0.0654,0.0817,0.0364,0.1543,0.0397
2019-09-30,0.0591,0.063,0.0304,0.161,0.031
2019-06-30,,0.0615,0.0323,0.1652,0.0327
2019-03-31,,0.0569,0.0341,0.1787,0.0323
2018-12-31,0.0479,0.0561,0.0356,0.1881,0.03
2018-09-30,,0.1066,0.0666,0.2161,0.0562
2018-06-30,,0.1278,0.0764,0.2176,0.0717
2018-03-31,,0.1522,0.0798,0.2193,0.0826
2017-12-31,,0.1635,0.0825,0.2201,0.0852
2017-09-30,,0.1599,0.0821,0.215,0.0794
2017-06-30,,0.1578,0.0816,0.2213,0.0821
2017-03-31,,0.1627,0.0806,0.2214,0.0817
2016-12-31,,0.1582,0.0834,0.2239,0.0763
2016-09-30,,0.1429,0.0815,0.2259,0.0658
