date,基本每股收益,累积同比,营业收入,归属于母公司普通股股东的净利润
2026-03-31,0.755,0.9713,98497579591,20079391507
2025-12-31,1.95,0.6116,349079082852,51777327785
2025-09-30,1.425,0.5439,254199543240,37863620974
2025-06-30,0.877,0.5279,167710853231,23291752471
2025-03-31,0.383,0.6092,78928282916,10166777095
2024-12-31,1.21,0.5125,303639957153,32050602437
2024-09-30,0.923,0.5008,230396480019,24357458921
2024-06-30,0.574,0.468,150416514457,15084385658
2024-03-31,0.238,0.1498,74776621392,6260843273
2023-12-31,0.8,0.0526,293403242878,21119419571
2023-09-30,0.615,-0.0315,225007761249,16164921291
2023-06-30,0.391,-0.1854,150333695834,10302151544
2023-03-31,0.207,-0.1116,74944985235,5441834217
2022-12-31,0.76,0.2667,270328998459,20042045977
2022-09-30,0.635,0.4432,204191144709,16667124548
2022-06-30,0.48,0.8321,132457528131,12630033097
2022-03-31,0.233,1.3535,64770745546,6123805269
2021-12-31,0.6,1.4,225102488592,15672870591
2021-09-30,0.44,1.4444,168975537944,11302418374
2021-06-30,0.262,1.7579,109863361694,6649028398
2021-03-31,0.099,1.4146,47502179195,2510984311
2020-12-31,0.25,0.3889,171501338490,6508553913
2020-09-30,0.18,0.374,130433510854,4572349849
2020-06-30,0.095,0.1875,83142262114,2421386475
2020-03-31,0.041,0.0789,36161856238,1040010519
2019-12-31,0.18,0,136097978018,4283957365
2019-09-30,0.131,-0.1027,101627327529,3005845833
2019-06-30,0.08,-0.2727,67198395835,1853453618
2019-03-31,0.038,-0.1915,29041940841,874482066
2018-12-31,0.18,0.125,105994246123,4093773630
2018-09-30,0.146,0.46,76172779128,3352369065
2018-06-30,0.11,0.5942,49813890835,2526423099
2018-03-31,0.047,0,22863594836,1085362589
2017-12-31,0.16,0.7778,94548619098,3507717627
2017-09-30,0.1,0.5152,61977261779,2214183323
2017-06-30,0.069,1.76,37523631910,1505399413
2017-03-31,0.047,14.6667,18457471590,1005633520
2016-12-31,0.09,0.125,78851137811,1839798820
2016-09-30,0.066,-0.1538,57291340015,1424499725
2016-06-30,0.025,-0.5968,38889899709,538349713
