date,自由现金流量,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比
2026-03-31,59391694612,1.1857,27831931440,1.2215
2025-12-31,44778799818,1.1819,75429516296,0.5438
2025-09-30,43127623478,1.1704,52107388420,0.4431
2025-06-30,34829611273,1.155,28829856948,0.41
2025-03-31,29967419736,1.2038,12528238721,0.5331
2024-12-31,24434510616,1.2403,48860346839,0.3256
2024-09-30,18374623482,1.3071,36109037266,0.4038
2024-06-30,11450171911,1.2827,20446829834,0.2757
2024-03-31,5170592206,1.3622,8172074230,0.0438
2023-12-31,6531219636,1.3889,36860066015,0.2853
2023-09-30,2756940179,1.3437,25723188523,0.172
2023-06-30,847911874,1.314,16027707277,0.029
2023-03-31,4958420472,1.2002,7829053840,0.054
2022-12-31,4021270618,1.1579,28678502360,0.1
2022-09-30,10494457239,1.1728,21948447561,0.2321
2022-06-30,11028491938,1.1341,15575769525,0.2953
2022-03-31,6900940039,1.1972,7427862528,0.4153
2021-12-31,5941022160,1.3302,26072237601,0.8273
2021-09-30,1940406264,1.2899,17814544258,0.7986
2021-06-30,-771496983,1.3881,12025055353,0.8571
2021-03-31,1188860904,1.6297,5248175316,1.2563
2020-12-31,482464927,1.687,14268403423,0.3378
2020-09-30,535905846,1.9929,9904944976,0.6352
2020-06-30,1097454748,2.1537,6475077168,0.4695
2020-03-31,-205967601,2.1933,2326033155,0.8102
2019-12-31,-1021340377,2.1074,10665557013,0.0423
2019-09-30,-342110067,2.2231,6057290486,-0.0849
2019-06-30,382950472,2.5067,4406208104,-0.1153
2019-03-31,2236422722,2.3441,1284925091,-0.0317
2018-12-31,2787546490,2.1853,10233009701,0.048
2018-09-30,4815476200,2.3683,6619580913,0.1483
2018-06-30,6163218344,2.5121,4980685290,0.5066
2018-03-31,4777626707,2.8551,1326940832,0.3067
2017-12-31,4822736226,3.0067,9764355514,0.1352
2017-09-30,4348617159,3.1158,5764881327,0.0858
2017-06-30,3633704617,2.8802,3305808789,-0.0897
2017-03-31,4105363382,3.3867,1015456609,1.2971
2016-12-31,3363349018,5.098,8601671878,-0.1624
2016-09-30,5302659906,9.123,5309439603,-0.0165
2016-06-30,4938928134,19.7307,3631642367,-0.057
