date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-07-03,113140608049.44,8.2795,,,,,0.0401,9.1755,,,,,0.7807,,,,,2.8021,,,,,0.7788,,,,
2026-07-02,112442209234.32,8.2284,,,,,0.0404,9.1189,,,,,0.7759,,,,,2.7848,,,,,0.7740,,,,
2026-07-01,111976610024.24,8.1944,,,,,0.0405,9.0811,,,,,0.7727,,,,,2.7733,,,,,0.7708,,,,
2026-06-30,109881413578.88,8.0410,,,,,0.0413,8.9112,,,,,0.7583,,,,,2.7214,,,,,0.7564,,,,
2026-06-29,112442209234.32,8.2284,,,,,0.0404,9.1189,,,,,0.7759,,,,,2.7848,,,,,0.7740,,,,
2026-06-26,110812611999.04,8.1092,,,,,0.0410,8.9867,,,,,0.7647,,,,,2.7445,,,,,0.7628,,,,
2026-06-25,112442209234.32,8.2284,,,,,0.0404,9.1189,,,,,0.7759,,,,,2.7848,,,,,0.7740,,,,
2026-06-24,112907808444.4,8.2625,,,,,0.0402,9.1566,,,,,0.7791,,,,,2.7963,,,,,0.7772,,,,
2026-06-23,115003004889.76,8.4158,,,,,0.0395,9.3266,,,,,0.7936,,,,,2.8482,,,,,0.7916,,,,
2026-06-22,114071806469.6,8.3477,,,,,0.0398,9.2510,,,,,0.7872,,,,,2.8252,,,,,0.7852,,,,
2026-06-18,113839006864.56,8.3307,,,,,0.0399,9.2322,,,,,0.7856,,,,,2.8194,,,,,0.7836,,,,
2026-06-17,115701403704.88,8.4669,,,,,0.0392,9.3832,,,,,0.7984,,,,,2.8655,,,,,0.7964,,,,
2026-06-16,115235804494.8,8.4329,,,,,0.0394,9.3454,,,,,0.7952,,,,,2.8540,,,,,0.7932,,,,
2026-06-15,117563800545.2,8.6032,,,,,0.0386,9.5342,,,,,0.8113,,,,,2.9117,,,,,0.8092,,,,
2026-06-12,117331000940.16,8.5862,,,,,0.0387,9.5154,,,,,0.8097,,,,,2.9059,,,,,0.8076,,,,
2026-06-11,115701403704.88,8.4669,,,,,0.0392,9.3832,,,,,0.7984,,,,,2.8655,,,,,0.7964,,,,
2026-06-10,116399802520.0,8.5181,,,,,0.0390,9.4398,,,,,0.8032,,,,,2.8828,,,,,0.8012,,,,
2026-06-09,115235804494.8,8.4329,,,,,0.0394,9.3454,,,,,0.7952,,,,,2.8540,,,,,0.7932,,,,
2026-06-08,114770205284.72,8.3988,,,,,0.0396,9.3077,,,,,0.7920,,,,,2.8425,,,,,0.7900,,,,
2026-06-05,117331000940.16,8.5862,,,,,0.0387,9.5154,,,,,0.8097,,,,,2.9059,,,,,0.8076,,,,
2026-06-04,116399802520.0,8.5181,,,,,0.0390,9.4398,,,,,0.8032,,,,,2.8828,,,,,0.8012,,,,
2026-06-03,118029399755.28,8.6373,,,,,0.0385,9.5720,,,,,0.8145,,,,,2.9232,,,,,0.8125,,,,
2026-06-02,119658996990.56,8.7566,,,,,0.0379,9.7042,,,,,0.8257,,,,,2.9635,,,,,0.8237,,,,
2026-06-01,119658996990.56,8.7566,,,,,0.0379,9.7042,,,,,0.8257,,,,,2.9635,,,,,0.8237,,,,
2026-05-29,119426197385.52,8.7395,,,,,0.0380,9.6853,,,,,0.8241,,,,,2.9578,,,,,0.8221,,,,
2026-05-28,116865401730.08,8.5521,,,,,0.0388,9.4776,,,,,0.8065,,,,,2.8944,,,,,0.8044,,,,
