date,所有者权益合计,流动资产合计,负债合计,长期负债合计,有息负债率,流动比率,应收账款,速动比率,资产负债率,货币资金,流动负债合计,资产合计
2026-03-31,162070440721,64561864,66472312872,29384415236,0.2173,2.2551,4669044266,1.9564,0.2909,118494998965.36,313718009,228542753593
2025-12-31,155931607711,41411402,65804035282,24192239494,0.2169,1.704,3729626366,1.4569,0.2968,126177385931.68,339717455,221735642993
2025-09-30,155005715723,42179199,65939991066,27759039248,0.2257,2.1419,4500334907,1.8416,0.2984,126883440677.9,270778263,220945706789
2025-06-30,150942591005,38691171,71583108550,27783085267,0.2343,1.8298,4414286274,1.5969,0.3217,132936595646.02,295071872,222525699554
2025-03-31,151823023827,55426525,64387819163,22838568025,0.2289,1.8468,4195987116,1.5603,0.2978,135031918519.6,457753198,216210842989
2024-12-31,147408805090,25403975,64646735983,27753444998,0.2323,2.113,3543986055,1.7779,0.3049,142481955403.44,491543382,212055541073
2024-09-30,144876686348,58159990,65296320847,28071564986,0.236,2.5161,4213901449,2.0464,0.3107,151346940875,846966264,210173007195
2024-06-30,141800921221,56035996,65596063562,25902720426,0.2426,2.2421,4218113881,1.8417,0.3163,134582356655,534096794,207396984783
2024-03-31,140822412785,58297644,65442074996,25653802397,0.2372,2.2238,3682195748,1.8026,0.3173,125035857307.5,1810800542,206264487782
2023-12-31,136186412307,38667194,67389102866,29013704760,0.2401,2.3231,2768836526,1.8658,0.331,114092309275,2829707483,203575515173
2023-09-30,132332195939,49204625,61687388462,26259150502,0.2361,2.5233,4248478917,1.8864,0.3179,119913345462.5,1811912329,194019584401
2023-06-30,125974637795,41616545,67014174147,25831438788,0.2367,2.2549,3589178416,1.7905,0.3472,122241759937.5,5079056920,192988811942
2023-03-31,124800689043,35096614,59271671398,19523452915,0.226,2.3977,3116867310,1.7916,0.322,128994161915,4942309192,184072360440
2022-12-31,121167048432,38701800,60634657167,14488174158,0.2331,1.7988,3505469077,1.3451,0.3335,124337332965,4536833714,181801705599
2022-09-30,118713181473,0,59225613076,17433137766,0.2396,2.4084,4170869953,1.7512,0.3328,129459844810,3340706085,177938794549
2022-06-30,113976931571,89725135,61980303060,22237358312,0.2469,2.5463,4449953005,1.9105,0.3522,135714702942.5,571304688,175957234631
2022-03-31,113455149029,59184400,53047052525,18133165292,0.2245,2.7325,4207305539,1.9154,0.3186,127334378232.5,635423672,166502201554
2021-12-31,107805629246,25571444,62981849267,15181963209,0.2293,1.7263,2966601398,1.2286,0.3688,127567165030,4444233364,170787478513
2021-09-30,104390440628,0,63071599260,14998529551,0.2321,1.8158,3594626821,1.3073,0.3766,141767159677.5,3938525077,167462039888
2021-06-30,101672988843,0,64254994706,16925647893,0.2337,1.7474,3311960593,1.2479,0.3872,110538428080.5,3644103137,165927983549
2021-03-31,98919970923,42214449,59377790017,20266581264,0.239,2.1828,3307905721,1.3979,0.3751,110770164827,4468327791,158297760941
2020-12-31,95979599651,0,59945150326,19068116275,0.2367,1.9483,2412860237,1.2331,0.3844,105903693150.5,3744713526,155924749977
2020-09-30,93644370162,0,62159021502,18857939701,0.2399,1.9039,2951804912,1.2771,0.399,96865960037,2082488232,155803391664
2020-06-30,91183089440,0,68319348596,16809622720,0.2136,1.366,2826262053,0.9829,0.4283,97329433530,962540186,159502438036
2020-03-31,92868321545,2846737,51048640117,14592510039,0.2472,2.1408,2742867986,1.3717,0.3547,103818062432,236677253,143916961661
2019-12-31,90788857656,0,51388438262,14210275930,0.2466,2.089,2426571366,1.3465,0.3614,133712102730.5,0,142177295918
2019-09-30,89362389313,0,50955928746,16969368801,0.254,2.6116,3117228679,1.7977,0.3631,131858208758.5,0,140318318058
2019-06-30,86485275322,0,57586234351,19840372189,0.3089,2.2165,3232659290,1.6071,0.3997,158044461113,0,144071509673
2019-03-31,88432002569,0,49843201794,14868228095,0.2791,1.9865,3006398821,1.3878,0.3605,168472614705.5,0,138275204363
2018-12-31,82350314450,0,62016719566,14107168509,0.3206,1.5104,2787148215,1.123,0.4296,120039634687,0,144367034016
2018-09-30,77279765571,0,74831972153,20860065848,0.3579,1.5569,3200781057,0.7568,0.492,125369579856.5,0,152111737724
2018-06-30,76075041296,0,67961337761,15100069907,0.3268,1.5087,3087861879,0.7153,0.4718,138115100914,0,144036379058
2018-03-31,78744021739,0,63743286361,13212604100,0.3397,1.5779,2745982739,0.7766,0.4474,163374406282.5,0,142487308100
2017-12-31,77056466920,0,64178438074,8539752256,0.3213,1.3199,2394706008,0.666,0.4544,154104936422.5,0,141234904994
2017-09-30,69820147060,0,49507053861,2846737544,0.3113,0.9281,2907262580,0.6528,0.4149,155031883408.5,0,119327200921
2017-06-30,68556542295,0,48983839425,1596959815,0.3099,0.7045,3051651636,0.5022,0.4167,146921097281,0,117540381720
2017-03-31,71133783263,0,47660141637,4516721910,0.2978,0.7589,2966027475,0.5497,0.4012,136724680435,0,118793924900
2016-12-31,68238373318,0,48546403552,4791627047,0.3092,0.7,2738633600,0.5081,0.4157,118649214208,0,116784776870
2016-09-30,67179459746,0,50257070516,5913567329,0.3226,0.7138,2978418978,0.5873,0.428,118649214208,0,117436530263
