date,市值(元),股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-07-03,113140608049.44,0.0401,2.8021,,,,,0.7807,,,,,9.1755,,,,,0.7788,,,,,8.2795,,,,
2026-07-02,112442209234.32,0.0404,2.7848,,,,,0.7759,,,,,9.1189,,,,,0.7740,,,,,8.2284,,,,
2026-07-01,111976610024.24,0.0405,2.7733,,,,,0.7727,,,,,9.0811,,,,,0.7708,,,,,8.1944,,,,
2026-06-30,109881413578.88,0.0413,2.7214,,,,,0.7583,,,,,8.9112,,,,,0.7564,,,,,8.0410,,,,
2026-06-29,112442209234.32,0.0404,2.7848,,,,,0.7759,,,,,9.1189,,,,,0.7740,,,,,8.2284,,,,
2026-06-26,110812611999.04,0.0410,2.7445,,,,,0.7647,,,,,8.9867,,,,,0.7628,,,,,8.1092,,,,
2026-06-25,112442209234.32,0.0404,2.7848,,,,,0.7759,,,,,9.1189,,,,,0.7740,,,,,8.2284,,,,
2026-06-24,112907808444.4,0.0402,2.7963,,,,,0.7791,,,,,9.1566,,,,,0.7772,,,,,8.2625,,,,
2026-06-23,115003004889.76,0.0395,2.8482,,,,,0.7936,,,,,9.3266,,,,,0.7916,,,,,8.4158,,,,
2026-06-22,114071806469.6,0.0398,2.8252,,,,,0.7872,,,,,9.2510,,,,,0.7852,,,,,8.3477,,,,
2026-06-18,113839006864.56,0.0399,2.8194,,,,,0.7856,,,,,9.2322,,,,,0.7836,,,,,8.3307,,,,
2026-06-17,115701403704.88,0.0392,2.8655,,,,,0.7984,,,,,9.3832,,,,,0.7964,,,,,8.4669,,,,
2026-06-16,115235804494.8,0.0394,2.8540,,,,,0.7952,,,,,9.3454,,,,,0.7932,,,,,8.4329,,,,
2026-06-15,117563800545.2,0.0386,2.9117,,,,,0.8113,,,,,9.5342,,,,,0.8092,,,,,8.6032,,,,
2026-06-12,117331000940.16,0.0387,2.9059,,,,,0.8097,,,,,9.5154,,,,,0.8076,,,,,8.5862,,,,
2026-06-11,115701403704.88,0.0392,2.8655,,,,,0.7984,,,,,9.3832,,,,,0.7964,,,,,8.4669,,,,
2026-06-10,116399802520.0,0.0390,2.8828,,,,,0.8032,,,,,9.4398,,,,,0.8012,,,,,8.5181,,,,
2026-06-09,115235804494.8,0.0394,2.8540,,,,,0.7952,,,,,9.3454,,,,,0.7932,,,,,8.4329,,,,
2026-06-08,114770205284.72,0.0396,2.8425,,,,,0.7920,,,,,9.3077,,,,,0.7900,,,,,8.3988,,,,
