date,营业收入,累积同比,基本每股收益,归属于母公司普通股股东的净利润
2026-03-31,10073223477,0.0693,0.33,870825582
2025-12-31,41661612748,0.0145,1.27,3370561563
2025-09-30,29393385361,-0.0491,0.95,2523293508
2025-06-30,19514431850,-0.0463,0.64,1701967774
2025-03-31,9420322797,-0.0726,0.29,764757750
2024-12-31,41067195863,-0.008,1.04,2769886631
2024-09-30,30911889003,0.0069,0.75,2010642361
2024-06-30,20462812731,-0.0436,0.46,1224798594
2024-03-31,10157255262,-0.0656,0.23,609733627
2023-12-31,41399539588,-0.0581,0.89,2386265814
2023-09-30,30700119056,-0.0292,0.86,2283065931
2023-06-30,21395192580,0.0022,0.67,1777471870
2023-03-31,10870720839,0.0468,0.37,986971662
2022-12-31,43951546895,0.1266,1.43,3730804583
2022-09-30,31610071303,0.1687,0.95,2454367005
2022-06-30,21340053678,0.2588,0.6,1547333557
2022-03-31,10381939406,0.2887,0.18,462512221
2021-12-31,39005086602,0.287,1.85,4735269691
2021-09-30,27048280045,0.2238,1.39,3564733324
2021-06-30,16952397689,0.2085,0.97,2482372726
2021-03-31,8056120184,0.37,0.33,847185598
2020-12-31,30306981264,0.0602,1.43,3662812938
2020-09-30,22102744284,0.0412,0.97,2478980552
2020-06-30,14028164572,-0.0102,0.67,1714710154
2020-03-31,5880507166,-0.1262,0.23,577198049
2019-12-31,28585152033,0.1472,1.3,3321617566
2019-09-30,21227618679,0.1701,0.81,2063704148
2019-06-30,14172768621,0.1951,0.59,1516119847
2019-03-31,6730014186,0.1767,0.28,712291661
2018-12-31,24918273561,0.3445,1.07,2707923418
2018-09-30,18142384872,0.3999,0.83,2094152354
2018-06-30,11858999567,0.4197,0.63,1560470766
2018-03-31,5719203064,0.4738,0.28,705783680
2017-12-31,18533555418,0.2669,1.27,3124499549
2017-09-30,12959812919,0.2183,0.99,2419266945
2017-06-30,8353022552,0.2041,0.7,1689059655
2017-03-31,3880454792,0.2029,0.32,737746683
2016-12-31,14628820443,0.1602,1.21,2805837071
2016-09-30,10637985462,0.1724,0.94,2176888748
2016-06-30,6937091238,0.1715,0.65,1500266408
