date,资产合计,有息负债率,长期负债合计,流动资产合计,速动比率,流动负债合计,流动比率,负债合计,所有者权益合计,资产负债率
2026-03-31,122966388266,0.3215,10076871311,116577779,0.727,1127463590,0.9285,59297039211,63669349055,0.4822
2025-12-31,120053968926,0.3173,10361990717,116367018,0.7296,1299979018,0.9285,58213619075,61840349851,0.4849
2025-09-30,118120738513,0.3109,9430519740,108553960,0.6811,1173694132,0.9162,57309138621,60811599892,0.4852
2025-06-30,118827937055,0.3113,11094923098,122425494,0.7317,1132812171,0.9533,58512828677,60315108378,0.4924
2025-03-31,117990488890,0.3084,11560443014,131501388,0.7427,1426224945,0.9701,57140586962,60849901928,0.4843
2024-12-31,117460567349,0.3078,10203500107,127553496,0.7006,1232314689,0.9209,57526838437,59933728912,0.4898
2024-09-30,115264761757,0.3017,8630183539,81715178,0.6941,1007116288,0.9203,56070157588,59194604170,0.4864
2024-06-30,115537814166,0.3011,9559300502,129765752,0.7027,1082436921,0.9304,56675872541,58861941625,0.4905
2024-03-31,113745789426,0.3135,12944955087,146972345,0.7595,1112904586,1.0071,56210115353,57535674072,0.4942
2023-12-31,113469604813,0.3094,13504923111,145887292,0.7472,1200496066,1.001,56853344377,56616260436,0.501
2023-09-30,110767244297,0.3013,12225867713,0,0.7527,1264365084,1.0118,54784884542,55982359755,0.4946
2023-06-30,112142689146,0.3007,11677280063,0,0.764,1210488086,1.0009,56693775212,55448913934,0.5056
2023-03-31,107379375392,0.2866,11851681250,0,0.8069,1073749398,1.0835,52331660769,55047714623,0.4874
2022-12-31,107163907232,0.2823,11600437132,0,0.8045,1544762576,1.0595,53054997619,54108909613,0.4951
2022-09-30,104329254170,0.2888,11706969842,0,0.8333,1268442362,1.105,51102915980,53226338190,0.4898
2022-06-30,98804453933,0.3035,10787707149,0,0.7587,1207096096,1.0053,51070366988,47734086945,0.5169
2022-03-31,95774597184,0.2789,7954651573,0,0.7672,1483182785,1.024,48014051421,47760545764,0.5013
2021-12-31,93293790958,0.2599,6694183386,0,0.792,1150274107,1.038,44918226506,48375564452,0.4815
2021-09-30,90302729330,0.2685,5963578833,0,0.8019,2197995215,1.0717,41898262777,48404466553,0.464
2021-06-30,88479370880,0.2707,6674021196,0,0.7798,1447288315,1.0372,41382897587,47096473293,0.4677
2021-03-31,86613732771,0.2759,7451053486,0,0.7801,1703843699,1.0548,39623721239,46990011532,0.4575
2020-12-31,83686009702,0.287,7145885213,0,0.7409,1020308709,1.0085,37701727889,45984281813,0.4505
2020-09-30,80547989215,0.3094,9025129212,0,0.7661,588650705,1.0084,41064999479,39482989736,0.5098
2020-06-30,80169760908,0.2887,7567405667,0,0.7716,527652174,1.0009,40314053796,39855707112,0.5029
2020-03-31,77591632618,0.2956,7397945657,0,0.9348,503641479,1.2074,37996657760,39594974858,0.4897
2019-12-31,76119645663,0.2878,7293043831,0,0.9205,503683075,1.1703,36915432339,39204213324,0.485
2019-09-30,78569297726,0.3125,8816140333,0,0.9807,388047457,1.2112,40617090330,37952207395,0.517
2019-06-30,73689609781,0.3156,8851298968,0,0.7952,405772419,1.03,39172237169,34517372613,0.5316
2019-03-31,72751765477,0.3268,8758054914,0,0.9037,388480038,1.1604,38321078189,34430687289,0.5267
2018-12-31,70551361387,0.3289,8630661547,0,0.7946,530896725,1.0044,36958648012,33592713376,0.5239
2018-09-30,68512820543,0.3394,9298906864,0,0.7416,642409535,0.9385,35489149659,33023670884,0.518
2018-06-30,66199372906,0.3569,5002361321,0,0.5986,0,0.7439,35726879273,30472493633,0.5397
2018-03-31,63716970446,0.3373,5085105881,0,0.7406,0,0.9264,32834636257,30882334189,0.5153
2017-12-31,61971008797,0.3275,5579513665,0,0.7248,0,0.907,32229554866,29741453931,0.5201
2017-09-30,56492185702,0.354,5783067191,0,1.2219,0,1.3799,27261210343,29230975359,0.4826
2017-06-30,50633964524,0.3038,5509868068,0,1.264,0,1.4826,23154394123,27479570401,0.4573
2017-03-31,47338126209,0.2945,2626791099,0,0.9515,0,1.1362,21367025786,25971100423,0.4514
2016-12-31,43767787266,0.2564,2182905032,0,0.8728,0,1.0649,18517461330,25250325936,0.4231
2016-09-30,42244099361,0.2875,2223184339,0,0.7638,0,0.9263,19632476193,22611623168,0.4647
2016-06-30,40944095677,0.2922,1897913613,0,0.6878,0,0.8658,19118052937,21826042740,0.4669
