date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-07-03,167987265278.0,1.1678,,,,,9.5325,,,,,1.0243,,,,,1.0242,,,,,0.0302,9.4640,,,,
2026-07-02,166926572206.0,1.1604,,,,,9.4723,,,,,1.0178,,,,,1.0178,,,,,0.0304,9.4043,,,,
2026-07-01,167324332108.0,1.1632,,,,,9.4949,,,,,1.0202,,,,,1.0202,,,,,0.0303,9.4267,,,,
2026-06-30,161490520212.0,1.1226,,,,,9.1638,,,,,0.9847,,,,,0.9846,,,,,0.0314,9.0980,,,,
2026-06-29,169578304886.0,1.1788,,,,,9.6228,,,,,1.0340,,,,,1.0339,,,,,0.0299,9.5537,,,,
2026-06-26,165865879134.0,1.1530,,,,,9.4121,,,,,1.0113,,,,,1.0113,,,,,0.0306,9.3445,,,,
2026-06-25,170373824690.0,1.1844,,,,,9.6679,,,,,1.0388,,,,,1.0388,,,,,0.0298,9.5985,,,,
2026-06-24,176340223220.0,1.2258,,,,,10.0065,,,,,1.0752,,,,,1.0752,,,,,0.0288,9.9346,,,,
2026-06-23,178461609364.0,1.2406,,,,,10.1268,,,,,1.0881,,,,,1.0881,,,,,0.0285,10.0541,,,,
2026-06-22,182041448482.0,1.2655,,,,,10.3300,,,,,1.1100,,,,,1.1099,,,,,0.0279,10.2558,,,,
2026-06-18,178991955900.0,1.2443,,,,,10.1569,,,,,1.0914,,,,,1.0913,,,,,0.0284,10.0840,,,,
2026-06-17,185621287600.0,1.2903,,,,,10.5331,,,,,1.1318,,,,,1.1317,,,,,0.0274,10.4575,,,,
2026-06-16,190261819790.0,1.3226,,,,,10.7964,,,,,1.1601,,,,,1.1600,,,,,0.0267,10.7189,,,,
2026-06-15,195830458418.0,1.3613,,,,,11.1124,,,,,1.1940,,,,,1.1940,,,,,0.0259,11.0327,,,,
2026-06-12,214525173812.0,1.4913,,,,,12.1733,,,,,1.3080,,,,,1.3080,,,,,0.0237,12.0859,,,,
2026-06-11,216248800054.0,1.5033,,,,,12.2711,,,,,1.3185,,,,,1.3185,,,,,0.0235,12.1830,,,,
2026-06-10,210017228256.0,1.4599,,,,,11.9175,,,,,1.2805,,,,,1.2805,,,,,0.0242,11.8319,,,,
2026-06-09,215851040152.0,1.5005,,,,,12.2485,,,,,1.3161,,,,,1.3161,,,,,0.0235,12.1606,,,,
2026-06-08,226590557506.0,1.5751,,,,,12.8579,,,,,1.3816,,,,,1.3815,,,,,0.0224,12.7656,,,,
