date,市值(元),PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,股息率,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,111456462848.9,0.4937,,,,,8.0065,,,,,1.7476,,,,,0.0563,2.1388,,,,,8.6374,,,,
2026-07-02,119462490461.99,0.5292,,,,,8.5816,,,,,1.7052,,,,,0.0526,2.0459,,,,,9.2578,,,,
2026-07-01,119148528594.81,0.5278,,,,,8.5591,,,,,1.7007,,,,,0.0527,2.0405,,,,,9.2335,,,,
2026-06-30,119148528594.81,0.5278,,,,,8.5591,,,,,1.7007,,,,,0.0527,2.0405,,,,,9.2335,,,,
2026-06-29,117421738325.32,0.5202,,,,,8.4350,,,,,1.6761,,,,,0.0535,2.0110,,,,,9.0997,,,,
2026-06-26,114753062454.29,0.5084,,,,,8.2433,,,,,1.6380,,,,,0.0547,1.9653,,,,,8.8929,,,,
2026-06-25,116165890856.6,0.5146,,,,,8.3448,,,,,1.6581,,,,,0.0541,1.9895,,,,,9.0024,,,,
2026-06-24,116793814590.96,0.5174,,,,,8.3899,,,,,1.6671,,,,,0.0538,2.0002,,,,,9.0510,,,,
2026-06-23,122131166333.02,0.5410,,,,,8.7733,,,,,1.7433,,,,,0.0514,2.0916,,,,,9.4646,,,,
2026-06-22,121189280731.48,0.5369,,,,,8.7057,,,,,1.7299,,,,,0.0518,2.0755,,,,,9.3917,,,,
2026-06-18,119933433262.76,0.5313,,,,,8.6155,,,,,1.7119,,,,,0.0524,2.0540,,,,,9.2943,,,,
2026-06-17,124328899403.28,0.5508,,,,,8.9312,,,,,1.7747,,,,,0.0505,2.1293,,,,,9.6350,,,,
2026-06-16,123700975668.92,0.5480,,,,,8.8861,,,,,1.7657,,,,,0.0508,2.1185,,,,,9.5863,,,,
2026-06-15,126526632473.54,0.5605,,,,,9.0891,,,,,1.8060,,,,,0.0496,2.1669,,,,,9.8053,,,,
2026-06-12,126369651539.95,0.5598,,,,,9.0778,,,,,1.8038,,,,,0.0497,2.1642,,,,,9.7931,,,,
2026-06-11,128253422743.03,0.5682,,,,,9.2131,,,,,1.8307,,,,,0.0490,2.1965,,,,,9.9391,,,,
2026-06-10,128096441809.44,0.5675,,,,,9.2018,,,,,1.8284,,,,,0.0490,2.1938,,,,,9.9269,,,,
2026-06-09,132805869817.14,0.5883,,,,,9.5401,,,,,1.8957,,,,,0.0473,2.2744,,,,,10.2919,,,,
2026-06-08,132020965149.19,0.5848,,,,,9.4838,,,,,1.8845,,,,,0.0476,2.2610,,,,,10.2311,,,,
