date,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率,自由现金流量
2026-03-31,12436770516,-0.2851,3.2674,4508435548
2025-12-31,67212899994,0.3302,3.4459,9663203264
2025-09-30,52772770228,0.2275,2.9872,-3568784484
2025-06-30,30748226630,0.3027,3.3415,-5307223568
2025-03-31,17395885484,0.4326,3.6624,-7295677720
2024-12-31,50530261245,0.1106,3.5813,-12712223624
2024-09-30,42992784625,0.2773,6.1026,-3595285851
2024-06-30,23602935544,0.7154,4.7622,-4653101411
2024-03-31,12142578592,0.9781,4.1347,-7545816334
2023-12-31,45497117051,0.3991,5.0093,-13720629015
2023-09-30,33660023419,0.3157,4.5848,-13072547967
2023-06-30,13759731750,-0.315,60.0237,-21313128089
2023-03-31,6138424692,-0.2696,-4.6481,-11384997445
2022-12-31,32519550114,4.2023,-3.2246,-7758224213
2022-09-30,25583009135,0.1123,-0.4645,-29785529928
2022-06-30,20087646052,0.0425,-0.3212,-32731546625
2022-03-31,8403935233,-0.2619,-0.1744,-38406026169
2021-12-31,6032840715,-0.8565,-0.476,-36936595075
2021-09-30,22794446279,-0.164,-8.0301,-5726349659
2021-06-30,19134343084,0.2034,12.0489,1563018766
2021-03-31,11330462982,0.3906,6.5435,-402008314
2020-12-31,42049806396,0.1267,7.3723,-163097363
2020-09-30,27240079779,-0.0422,5.2903,-4167249270
2020-06-30,15879856511,-0.0504,7.8681,268588478
2020-03-31,8129437333,-0.2455,21.3844,1794092119
2019-12-31,37324194263,0.2919,15.6962,6292955109
2019-09-30,28445825922,0.2718,5.4922,9170783332
2019-06-30,16738595066,0.0947,6.8112,5880426632
2019-03-31,10774920831,0.1288,7.1246,9236502853
2018-12-31,28891889295,-0.0394,12.0012,8312046100
2018-09-30,22366262167,0.0344,18.6233,8602364903
2018-06-30,15115530397,0.0569,7.7054,7909205103
2018-03-31,9361537371,0.2239,10.6417,6452652334
2017-12-31,29197362553,-0.2279,13.6019,3438536703
2017-09-30,21562275934,-0.3219,9.7915,1878278816
2017-06-30,14302015063,-0.3551,6.4762,2949188389
2017-03-31,7648994310,-0.4696,3.8074,5638012460
2016-12-31,31510824330,-0.2562,2.9214,11370183521
2016-09-30,27399318462,-0.2293,2.6821,15573137657
