date,市值(元),PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率
2026-07-03,111456462848.9,8.6374,,,,,2.1388,,,,,1.7476,,,,,0.4937,,,,,8.0065,,,,,0.0563
2026-07-02,119462490461.99,9.2578,,,,,2.0459,,,,,1.7052,,,,,0.5292,,,,,8.5816,,,,,0.0526
2026-07-01,119148528594.81,9.2335,,,,,2.0405,,,,,1.7007,,,,,0.5278,,,,,8.5591,,,,,0.0527
2026-06-30,119148528594.81,9.2335,,,,,2.0405,,,,,1.7007,,,,,0.5278,,,,,8.5591,,,,,0.0527
2026-06-29,117421738325.32,9.0997,,,,,2.0110,,,,,1.6761,,,,,0.5202,,,,,8.4350,,,,,0.0535
2026-06-26,114753062454.29,8.8929,,,,,1.9653,,,,,1.6380,,,,,0.5084,,,,,8.2433,,,,,0.0547
2026-06-25,116165890856.6,9.0024,,,,,1.9895,,,,,1.6581,,,,,0.5146,,,,,8.3448,,,,,0.0541
2026-06-24,116793814590.96,9.0510,,,,,2.0002,,,,,1.6671,,,,,0.5174,,,,,8.3899,,,,,0.0538
2026-06-23,122131166333.02,9.4646,,,,,2.0916,,,,,1.7433,,,,,0.5410,,,,,8.7733,,,,,0.0514
2026-06-22,121189280731.48,9.3917,,,,,2.0755,,,,,1.7299,,,,,0.5369,,,,,8.7057,,,,,0.0518
2026-06-18,119933433262.76,9.2943,,,,,2.0540,,,,,1.7119,,,,,0.5313,,,,,8.6155,,,,,0.0524
2026-06-17,124328899403.28,9.6350,,,,,2.1293,,,,,1.7747,,,,,0.5508,,,,,8.9312,,,,,0.0505
2026-06-16,123700975668.92,9.5863,,,,,2.1185,,,,,1.7657,,,,,0.5480,,,,,8.8861,,,,,0.0508
2026-06-15,126526632473.54,9.8053,,,,,2.1669,,,,,1.8060,,,,,0.5605,,,,,9.0891,,,,,0.0496
2026-06-12,126369651539.95,9.7931,,,,,2.1642,,,,,1.8038,,,,,0.5598,,,,,9.0778,,,,,0.0497
2026-06-11,128253422743.03,9.9391,,,,,2.1965,,,,,1.8307,,,,,0.5682,,,,,9.2131,,,,,0.0490
2026-06-10,128096441809.44,9.9269,,,,,2.1938,,,,,1.8284,,,,,0.5675,,,,,9.2018,,,,,0.0490
2026-06-09,132805869817.14,10.2919,,,,,2.2744,,,,,1.8957,,,,,0.5883,,,,,9.5401,,,,,0.0473
2026-06-08,132020965149.19,10.2311,,,,,2.2610,,,,,1.8845,,,,,0.5848,,,,,9.4838,,,,,0.0476
2026-06-05,131707003282.01,10.2067,,,,,2.2556,,,,,1.8800,,,,,0.5835,,,,,9.4612,,,,,0.0477
2026-06-04,137358316891.25,10.6447,,,,,2.3524,,,,,1.9606,,,,,0.6085,,,,,9.8672,,,,,0.0457
2026-06-03,143323592367.67,11.1070,,,,,2.4546,,,,,2.0458,,,,,0.6349,,,,,10.2957,,,,,0.0438
2026-06-02,142695668633.31,11.0583,,,,,2.4438,,,,,2.0368,,,,,0.6321,,,,,10.2506,,,,,0.0440
2026-06-01,153213391183.84,11.8734,,,,,2.6239,,,,,2.1870,,,,,0.6787,,,,,11.0061,,,,,0.0410
2026-05-29,139242088094.33,10.7907,,,,,2.3847,,,,,1.9875,,,,,0.6168,,,,,10.0025,,,,,0.0451
2026-05-28,126526632473.54,9.8053,,,,,2.1669,,,,,1.8060,,,,,0.5605,,,,,9.0891,,,,,0.0496
2026-05-27,121032299797.89,9.3795,,,,,2.0728,,,,,1.7276,,,,,0.5362,,,,,8.6944,,,,,0.0519
2026-05-26,117892681126.09,9.1362,,,,,2.0190,,,,,1.6828,,,,,0.5223,,,,,8.4689,,,,,0.0533
2026-05-25,117107776458.14,9.0754,,,,,2.0056,,,,,1.6716,,,,,0.5188,,,,,8.4125,,,,,0.0536
2026-05-22,114910043387.88,8.9050,,,,,1.9680,,,,,1.6402,,,,,0.5090,,,,,8.2546,,,,,0.0546
2026-05-21,114910043387.88,8.9050,,,,,1.9680,,,,,1.6402,,,,,0.5090,,,,,8.2546,,,,,0.0546
2026-05-20,117264757391.73,9.0875,,,,,2.0083,,,,,1.6738,,,,,0.5195,,,,,8.4237,,,,,0.0535
2026-05-19,122759090067.38,9.5133,,,,,2.1024,,,,,1.7523,,,,,0.5438,,,,,8.8184,,,,,0.0512
2026-05-18,117735700192.5,9.1240,,,,,2.0163,,,,,1.6806,,,,,0.5216,,,,,8.4576,,,,,0.0533
2026-05-15,118206642993.27,9.1605,,,,,2.0244,,,,,1.6873,,,,,0.5237,,,,,8.4914,,,,,0.0531
2026-05-14,118206642993.27,9.1605,,,,,2.0244,,,,,1.6873,,,,,0.5237,,,,,8.4914,,,,,0.0531
2026-05-13,120875318864.3,9.3673,,,,,2.0701,,,,,1.7254,,,,,0.5355,,,,,8.6831,,,,,0.0519
2026-05-12,119933433262.76,9.2943,,,,,2.0540,,,,,1.7119,,,,,0.5313,,,,,8.6155,,,,,0.0524
