date,资本回报率(ROIC),净资产收益率(ROE),毛利率(GM),总资产收益率(ROA),净利润率
2026-03-31,0.0481,0.0914,0.1856,0.0317,0.0844
2025-12-31,0.0499,0.0939,0.1845,0.0325,0.0851
2025-09-30,0.0523,0.0967,0.18,0.0348,0.0862
2025-06-30,0.0471,0.0891,0.1702,0.0301,0.0723
2025-03-31,0.0433,0.0788,0.1587,0.0269,0.0633
2024-12-31,0.0423,0.0754,0.1514,0.025,0.0575
2024-09-30,0.0311,0.0502,0.1445,0.0165,0.0363
2024-06-30,0.0391,0.0711,0.1382,0.0217,0.047
2024-03-31,0.0417,0.0772,0.1365,0.0236,0.0489
2023-12-31,0.0348,0.061,0.1212,0.0174,0.0357
2023-09-30,0.036,0.0641,0.108,0.0176,0.0348
2023-06-30,0.0044,0.0032,0.0798,0.0009,0.0017
2023-03-31,0.011,-0.0484,0.0474,-0.0131,-0.0264
2022-12-31,0.0006,-0.0805,0.0304,-0.0203,-0.0409
2022-09-30,-0.0255,-0.1474,-0.0298,-0.0404,-0.078
2022-06-30,-0.0331,-0.1655,-0.0488,-0.0469,-0.0961
2022-03-31,-0.024,-0.1325,-0.03,-0.0382,-0.081
2021-12-31,-0.0123,-0.0955,-0.0033,-0.0273,-0.0619
2021-09-30,0.0156,-0.0328,0.0879,-0.0106,-0.0243
2021-06-30,0.0242,0.0268,0.1436,0.0086,0.0203
2021-03-31,0.0352,0.0517,0.169,0.0161,0.0386
2020-12-31,0.032,0.0441,0.1744,0.0134,0.0337
2020-09-30,0.0366,0.053,0.1731,0.0164,0.0406
2020-06-30,0.0301,0.0382,0.1607,0.0112,0.0274
2020-03-31,0.017,0.0143,0.1461,0.004,0.0096
2019-12-31,0.022,0.0217,0.1459,0.0058,0.0137
2019-09-30,0.0614,0.0612,0.1376,0.0162,0.0372
2019-06-30,0.049,0.045,0.129,0.0114,0.0262
2019-03-31,,0.0426,0.1261,0.0109,0.0247
2018-12-31,0.0296,0.0248,0.113,0.0062,0.0142
2018-09-30,,0.0168,0.1172,0.0042,0.0096
2018-06-30,,0.0428,0.1216,0.0102,0.0238
2018-03-31,,0.031,0.1167,0.0077,0.0184
2017-12-31,,0.0227,0.1131,0.0062,0.0141
2017-09-30,,0.0273,0.109,0.0077,0.0185
2017-06-30,,0.0439,0.1326,0.012,0.0307
2017-03-31,,0.0695,0.1624,0.0201,0.0552
2016-12-31,,0.1119,0.2146,0.0354,0.0948
2016-09-30,,0.1347,0.2634,0.0427,0.111
