date,metric,value
2026-03-31,所有者权益合计,51733278718
2026-03-31,毛利率(GM),0.864
2026-03-31,负债合计,14433404194
2026-03-31,自由现金流量,6708790195
2026-03-31,流动资产合计,0
2026-03-31,资本回报率(ROIC),0.1727
2026-03-31,净利润率,0.4089
2026-03-31,经营活动产生的现金流量净额对净利润的比率,0.8377
2026-03-31,营业收入,8025174114
2026-03-31,货币资金,154082884686.84
2026-03-31,速动比率,2.597
2026-03-31,有息负债率,0.1011
2026-03-31,长期负债合计,1652419634
2026-03-31,经营活动产生的现金流量净额,4543022746
2026-03-31,基本每股收益,2.52
2026-03-31,资产合计,66166682912
2026-03-31,净资产收益率(ROE),0.1956
2026-03-31,应收账款,18974641
2026-03-31,流动负债合计,2793658686
2026-03-31,流动比率,3.8225
2026-03-31,归属于母公司普通股股东的净利润,3708450418
2026-03-31,总资产收益率(ROA),0.1501
2026-03-31,资产负债率,0.2181
