date,净利润率,毛利率(GM),总资产收益率(ROA),资本回报率(ROIC),净资产收益率(ROE)
2026-03-31,0.4089,0.864,0.1501,0.1727,0.1956
2025-12-31,0.4221,0.8662,0.1631,0.1931,0.223
2025-09-30,0.4226,0.8648,0.1922,0.2219,0.2659
2025-06-30,0.4272,0.8673,0.1871,0.2423,0.2964
2025-03-31,0.4315,0.8699,0.1999,0.2315,0.2799
2024-12-31,0.4327,0.8754,0.2051,0.2491,0.3032
2024-09-30,0.4386,0.883,0.2235,0.2662,0.3388
2024-06-30,0.4367,0.8842,0.2157,0.2848,0.3683
2024-03-31,0.4447,0.8837,0.2228,0.264,0.3351
2023-12-31,0.4395,0.883,0.2318,0.2914,0.3503
2023-09-30,0.4313,0.8786,0.243,0.2972,0.36
2023-06-30,0.4263,0.8778,0.2241,0.3018,0.3715
2023-03-31,0.4255,0.8706,0.2217,0.2688,0.3253
2022-12-31,0.4144,0.8659,0.2201,0.2906,0.3333
2022-09-30,0.4122,0.8613,0.2454,0.3032,0.3393
2022-06-30,0.4022,0.8582,0.2236,0.305,0.3451
2022-03-31,0.394,0.8583,0.2158,0.2732,0.3065
2021-12-31,0.3845,0.857,0.2029,0.2717,0.3093
2021-09-30,0.3892,0.8512,0.217,0.2686,0.3076
2021-06-30,0.3818,0.8488,0.2021,0.2697,0.3118
2021-03-31,0.3542,0.8313,0.1918,0.2398,0.2752
2020-12-31,0.3578,0.8305,0.1864,0.2476,0.2788
2020-09-30,0.3523,0.8244,0.1935,0.2434,0.2757
2020-06-30,0.3295,0.817,0.1792,0.2466,0.2667
2020-03-31,0.3167,0.8248,0.1794,0.2235,0.2407
2019-12-31,0.2935,0.8062,0.1802,0.2425,0.2531
2019-09-30,0.2953,0.8055,0.1942,0.2463,0.2567
2019-06-30,0.2904,0.7986,0.1871,,0.2553
2019-03-31,0.2854,0.7871,0.1794,,0.2239
2018-12-31,0.2689,0.7753,0.1657,0.2195,0.2164
2018-09-30,0.2721,0.7543,0.1786,,0.2159
2018-06-30,0.2674,0.7504,0.1826,,0.2325
2018-03-31,0.2606,0.7316,0.1679,,0.2029
2017-12-31,0.2503,0.7193,0.1557,,0.1968
2017-09-30,0.2524,0.7007,0.1568,,0.1919
2017-06-30,0.2521,0.6735,0.1702,,0.2134
2017-03-31,0.2461,0.6609,0.1589,,0.1885
2016-12-31,0.2348,0.6243,0.1452,,0.1815
2016-09-30,0.2211,0.5621,0.1334,,0.1643
