date,自由现金流量,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比
2026-03-31,15249016227,3.0154,4417351113,0.0143
2025-12-31,15157580899,2.944,33597182968,0.2113
2025-09-30,23381952261,4.056,30843010585,0.9723
2025-06-30,19196396101,4.3834,16646963905,1.9014
2025-03-31,16664121689,3.88,4355039917,2.4466
2024-12-31,8683454779,3.2373,27735926936,0.0962
2024-09-30,8287342722,2.5259,15638349281,0.1798
2024-06-30,5513092711,1.8034,5737552395,-0.0802
2024-03-31,6801382049,1.9944,-3010465278,0.4345
2023-12-31,5026767742,1.8414,25302147694,-0.4342
2023-09-30,13433019827,2.6839,13255435081,-0.4445
2023-06-30,13795692950,3.5596,6237979171,-0.5713
2023-03-31,9686948969,2.574,-5323251858,-1.5982
2022-12-31,23280992138,3.1876,44718962772,-0.2531
2022-09-30,32413004645,4.0632,23860719355,-0.1913
2022-06-30,25697755338,2.4703,14549744527,-0.4842
2022-03-31,33196371048,2.2098,8898761719,-0.365
2021-12-31,38381326037,2.263,59868871185,1.1266
2021-09-30,18634626586,1.3807,29505453610,0.727
2021-06-30,23706244023,1.7265,28171289400,1.5793
2021-03-31,18869238455,2.1061,14029871061,1.7975
2020-12-31,9672810786,2.0081,28084191907,-0.1509
2020-09-30,9258445916,2.1439,17068511231,-0.3138
2020-06-30,13900122951,2.751,10922117695,-0.2126
2020-03-31,14280313370,2.5872,3643433557,1.6887
2019-12-31,12606296991,2.1905,29504141764,-0.3525
2019-09-30,13534061334,1.8103,19594525452,-0.4668
2019-06-30,21457610161,1.865,9437326363,-0.5153
2019-03-31,30179468338,2.0961,1355079433,-0.6226
2018-12-31,32926885162,1.9592,45606049124,0.3788
2018-09-30,43899305136,2.2621,36751977541,1.7994
2018-06-30,33382424634,1.8728,19469401845,1.9763
2018-03-31,21868284286,1.5947,3590950191,0.8415
2017-12-31,20168706872,1.6212,33077273594,0.4764
2017-09-30,6313275356,1.2629,13128382768,0.0193
2017-06-30,3132780448,1.1878,6541390569,-0.4253
2017-03-31,-533296323,0.9229,1950000823,-0.7462
2016-12-31,4881905824,1.7786,16372540327,-0.2269
2016-09-30,3107418169,3.6024,9421544141,-0.3882
2016-06-30,2567721992,19.2445,8276835844,-0.1201
