date,长期负债合计,流动资产合计,负债合计,所有者权益合计,资产负债率,流动比率,速动比率,资产合计,流动负债合计,有息负债率
2026-03-31,4324401334,2377306854,138519424298,227643234622,0.3783,0.9666,0.5873,366162658920,27628182455,0.1122
2025-12-31,4841077596,2183512160,137829752535,225190285810,0.3797,0.9896,0.6242,363020038345,28023338084,0.1166
2025-09-30,7715575786,2374095089,152948369541,223314407513,0.4065,1.0293,0.6775,376262777054,33267321163,0.118
2025-06-30,7268032963,2442464234,147550106509,222562620705,0.3987,1.1161,0.7387,370112727213,27156497098,0.1308
2025-03-31,13988409577,2917552022,144797933398,223191772639,0.3935,1.2345,0.8159,367989706037,24797985154,0.1478
2024-12-31,19237564735,2712095376,144709686603,220163841711,0.3966,1.2045,0.8166,364873528314,24318395436,0.1349
2024-09-30,19371181437,2492703868,148744491572,218434985268,0.4051,1.1711,0.7437,367179476840,23018049143,0.1354
2024-06-30,19841427213,2410598897,148616325814,219357297576,0.4039,1.1025,0.6819,367973623391,20126660196,0.1372
2024-03-31,32642122656,2375671557,153251733711,222073397116,0.4083,1.2515,0.766,375325130827,20415380605,0.1373
2023-12-31,31149492395,2178415944,155913671277,220137812311,0.4146,1.199,0.7575,376051483588,23335550576,0.1354
2023-09-30,32903508249,2284724348,160408782054,217905158338,0.424,1.3478,0.8633,378313940392,24254566640,0.1431
2023-06-30,32762164295,2089433176,160984332415,215913297582,0.4271,1.3789,0.8942,376897629997,23255292800,0.143
2023-03-31,26162822138,2327260936,175428033456,218146663087,0.4457,1.2787,0.8014,393574696543,22782242460,0.1836
2022-12-31,21572996767,2471593026,182372500741,215876354379,0.4579,1.2146,0.8199,398248855120,25123792059,0.1997
2022-09-30,29148048793,1846114434,183208237282,216224262168,0.4587,1.2468,0.8043,399432499449,27717554489,0.187
2022-06-30,30699148028,1991554458,192796482415,214633685600,0.4732,1.2893,0.8138,407430168015,25462916374,0.1966
2022-03-31,15962246362,1913098429,180538144419,215327700571,0.4561,1.1476,0.7229,395865844991,26497272736,0.1703
2021-12-31,14772576055,1750324998,169676987929,210720573459,0.4461,1.087,0.6717,380397561388,23578300201,0.1898
2021-09-30,14061780189,1152557911,192469845034,209306794575,0.479,1.1304,0.7227,401776639608,24023676941,0.1732
2021-06-30,10468519070,992931645,172385136683,207710274049,0.4535,1.0903,0.7122,380095410732,23555722717,0.1584
2021-03-31,10443587882,962435551,165793031150,206250944167,0.4456,1.1668,0.7495,372043975318,25308181130,0.1578
2020-12-31,10363497367,861132954,156482389609,199742662278,0.4393,1.1342,0.7834,356225051887,26318245471,0.1408
2020-09-30,2904932723,513346289,161560365618,194756427899,0.4534,1.0766,0.7147,356316793517,24700133030,0.122
2020-06-30,1756726798,464416576,162449714762,190548875324,0.4602,1.0382,0.6968,352998590086,22906762520,0.1344
2020-03-31,2009040292,537792980,153581480918,192422717717,0.4439,1.0293,0.6241,346004198635,21413119022,0.1193
2019-12-31,2007531181,0,148417086265,191215918089,0.437,0.9847,0.6431,339633004354,0,0.1093
2019-09-30,2227303743,0,156978207203,187592761936,0.4556,0.9361,0.5781,344570969139,0,0.1406
2019-06-30,2239090180,0,155602198854,184077633366,0.4581,0.9209,0.5575,339679832221,0,0.1525
2019-03-31,2299639507,0,149101536854,191702931588,0.4375,0.9578,0.5661,340804468442,0,0.1682
2018-12-31,5610231171,0,145895516312,189245089500,0.4353,0.9009,0.542,335140605812,0,0.1821
2018-09-30,5334803737,0,166528943248,183339293531,0.476,0.8729,0.5493,349868236779,0,0.2149
2018-06-30,2868252529,0,175510353368,176291655605,0.4989,0.8297,0.5357,351802008972,0,0.2532
2018-03-31,817648016,0,173891485745,179820642744,0.4916,0.859,0.5249,353712128489,0,0.2698
2017-12-31,413368004,0,175762228076,174472404539,0.5018,0.8167,0.5256,350234632615,0,0.2828
2017-09-30,557748650,0,179908975144,166703811323,0.519,0.8994,0.5202,346612786467,0,0.2775
2017-06-30,569740941,0,194157610637,162322585582,0.5447,0.875,0.5138,356480196219,0,0.281
2017-03-31,963951561,0,204618695968,164536988278,0.5543,0.8683,0.5044,369155684245,0,0.2494
2016-12-31,296464081,0,136561529621,131421184900,0.5096,0.8525,0.489,267982714521,0,0.1932
2016-09-30,8130691143,0,138856761637,128016188098,0.5203,0.8857,0.5714,266872949735,0,0.2148
2016-06-30,11680750586,0,140578732618,125686589418,0.528,0.9139,0.6354,266265322036,0,0.2496
