date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-06-08,122415316289.38,0.5876,0.0069,0.9844,0.7742,0.6862,0.3805,0.1394,0.6099,0.4621,0.3921,0.0524,12.0772,0.5009,15.6759,12.0667,7.4277
2026-06-05,125029166459.26,0.6002,0.0189,0.9839,0.7739,0.6863,0.3887,0.1799,0.6097,0.4622,0.3921,0.0513,12.3351,0.5390,15.6764,12.0738,7.4288
2026-06-04,124593524764.28,0.5981,0.0167,0.9839,0.7740,0.6863,0.3873,0.1749,0.6097,0.4622,0.3921,0.0515,12.2921,0.5345,15.6764,12.0703,7.4288
2026-06-03,126989554086.67,0.6096,0.0292,0.9844,0.7742,0.6863,0.3948,0.2153,0.6099,0.4622,0.3921,0.0505,12.5285,0.5738,15.6951,12.0667,7.4277
2026-06-02,129385583409.06,0.6211,0.0485,0.9844,0.7742,0.6865,0.4022,0.2543,0.6099,0.4624,0.3921,0.0496,12.7649,0.6016,15.6990,12.0667,7.4277
2026-06-01,131563791883.96,0.6315,0.0750,0.9844,0.7742,0.6868,0.4090,0.2860,0.6099,0.4624,0.3921,0.0487,12.9798,0.6346,15.7075,12.0667,7.4277
2026-05-29,131345971036.47,0.6305,0.0707,0.9839,0.7739,0.6874,0.4083,0.2828,0.6097,0.4626,0.3922,0.0488,12.9583,0.6294,15.7245,12.0738,7.4288
2026-05-28,129821225104.04,0.6232,0.0527,0.9839,0.7740,0.6874,0.4036,0.2610,0.6097,0.4628,0.3922,0.0494,12.8078,0.6091,15.7245,12.0703,7.4288
2026-05-27,131345971036.47,0.6305,0.0703,0.9844,0.7742,0.6874,0.4083,0.2826,0.6099,0.4630,0.3921,0.0488,12.9583,0.6295,15.7277,12.0667,7.4277
2026-05-26,131563791883.96,0.6315,0.0738,0.9844,0.7742,0.6874,0.4090,0.2847,0.6099,0.4630,0.3921,0.0487,12.9798,0.6334,15.7307,12.0667,7.4277
2026-05-25,129603404256.55,0.6221,0.0515,0.9844,0.7742,0.6875,0.4029,0.2573,0.6099,0.4630,0.3921,0.0495,12.7863,0.6072,15.7307,12.0667,7.4277
2026-05-22,128514300019.1,0.6169,0.0411,0.9839,0.7739,0.6875,0.3995,0.2421,0.6097,0.4630,0.3922,0.0499,12.6789,0.5874,15.7452,12.0738,7.4288
2026-05-21,129385583409.06,0.6211,0.0480,0.9839,0.7740,0.6875,0.4022,0.2538,0.6097,0.4630,0.3922,0.0496,12.7649,0.6009,15.7452,12.0703,7.4288
2026-05-20,130039045951.53,0.6242,0.0532,0.9844,0.7742,0.6875,0.4042,0.2633,0.6099,0.4631,0.3921,0.0493,12.8293,0.6102,15.7530,12.0667,7.4277
2026-05-19,131563791883.96,0.6315,0.0720,0.9844,0.7742,0.6876,0.4090,0.2830,0.6099,0.4631,0.3921,0.0487,12.9798,0.6316,15.7539,12.0667,7.4277
2026-05-18,132652896121.41,0.6368,0.0853,0.9844,0.7742,0.6885,0.4124,0.2895,0.6099,0.4637,0.3921,0.0483,13.0872,0.6424,15.7539,12.0667,7.4277
2026-05-15,135484567138.78,0.6503,0.1033,0.9839,0.7739,0.6885,0.4212,0.3123,0.6097,0.4640,0.3922,0.0473,13.3666,0.6671,15.7721,12.0738,7.4288
2026-05-14,138316238156.15,0.6639,0.1333,0.9839,0.7740,0.6885,0.4300,0.3429,0.6097,0.4640,0.3922,0.0464,13.6459,0.6845,15.7721,12.0703,7.4288
2026-05-13,138316238156.15,0.6639,0.1334,0.9844,0.7742,0.6885,0.4300,0.3431,0.6099,0.4640,0.3921,0.0464,13.6459,0.6848,15.7731,12.0667,7.4277
2026-05-12,140058804936.07,0.6723,0.1501,0.9844,0.7742,0.6887,0.4354,0.3718,0.6099,0.4644,0.3921,0.0458,13.8178,0.6938,15.7771,12.0667,7.4277
2026-05-11,141583550868.5,0.6796,0.1711,0.9844,0.7742,0.6887,0.4401,0.3928,0.6099,0.4644,0.3921,0.0453,13.9683,0.7015,15.7841,12.0667,7.4277
2026-05-08,139623163241.09,0.6702,0.1470,0.9839,0.7739,0.6888,0.4340,0.3638,0.6097,0.4648,0.3922,0.0459,13.7749,0.6902,15.8235,12.0738,7.4288
2026-05-07,137662775613.68,0.6608,0.1273,0.9839,0.7740,0.6889,0.4279,0.3348,0.6097,0.4649,0.3922,0.0466,13.5815,0.6790,15.8235,12.0703,7.4288
2026-05-06,137880596461.17,0.6618,0.1295,0.9844,0.7742,0.6889,0.4286,0.3362,0.6099,0.4649,0.3921,0.0465,13.6030,0.6827,15.8235,12.0667,7.4277
2026-04-30,137444954766.19,0.6598,0.1238,0.9839,0.7742,0.6897,0.4273,0.3319,0.6097,0.4651,0.3922,0.0467,13.5600,0.6767,15.8377,12.0780,7.4288
2026-04-29,141147909173.52,0.6911,0.2035,0.9839,0.7742,0.6900,0.4528,0.4593,0.6097,0.4652,0.3922,0.0334,14.9533,0.7425,15.8377,12.0738,7.4288
2026-04-28,138751879851.13,0.6793,0.1680,0.9839,0.7742,0.6900,0.4452,0.4177,0.6097,0.4657,0.3922,0.0340,14.6995,0.7296,15.8377,12.0738,7.4288
2026-04-27,137009313071.21,0.6708,0.1465,0.9839,0.7748,0.6906,0.4396,0.3890,0.6097,0.4657,0.3922,0.0344,14.5149,0.7211,15.8467,12.0738,7.4288
2026-04-24,138316238156.15,0.6772,0.1622,0.9839,0.7751,0.6907,0.4438,0.4075,0.6097,0.4658,0.3922,0.0341,14.6533,0.7256,15.8764,12.0822,7.4288
2026-04-23,138969700698.62,0.6804,0.1687,0.9839,0.7751,0.6907,0.4458,0.4236,0.6097,0.4659,0.3922,0.0339,14.7226,0.7302,15.8764,12.0780,7.4288
2026-04-22,138316238156.15,0.6772,0.1624,0.9839,0.7752,0.6907,0.4438,0.4079,0.6097,0.4659,0.3922,0.0341,14.6533,0.7262,15.8764,12.0738,7.4288
