date,净利润率,总资产收益率(ROA),净资产收益率(ROE)
2026-03-31,0.2917,0.0044,0.0548
2025-12-31,0.2959,0.0044,0.0546
2025-09-30,0.3775,0.0059,0.0709
2025-06-30,0.3735,0.0061,0.0729
2025-03-31,0.3705,0.0061,0.0733
2024-12-31,0.3703,0.0065,0.0754
2024-09-30,0.3794,0.0068,0.0768
2024-06-30,0.3782,0.0069,0.0791
2024-03-31,0.3835,0.0071,0.0796
2023-12-31,0.3857,0.0072,0.0806
2023-09-30,0.3987,0.0075,0.0813
2023-06-30,0.3891,0.0075,0.0823
2023-03-31,0.3855,0.0076,0.0807
2022-12-31,0.3762,0.0077,0.082
2022-09-30,0.347,0.0075,0.0868
2022-06-30,0.3494,0.0075,0.0881
2022-03-31,0.3429,0.0074,0.0859
2021-12-31,0.3379,0.0075,0.0864
2021-09-30,0.3533,0.0079,0.1037
2021-06-30,0.3525,0.0077,0.1033
2021-03-31,0.343,0.0075,0.0982
2020-12-31,0.3366,0.0077,0.1007
2020-09-30,0.3176,0.0072,0.0954
2020-06-30,0.3185,0.0073,0.0981
2020-03-31,0.3429,0.0081,0.1054
2019-12-31,0.342,0.0081,0.1071
2019-09-30,0.3466,0.0083,0.1097
2019-06-30,0.3481,0.0082,0.1105
2019-03-31,0.3523,0.0082,0.1082
2018-12-31,0.3629,0.0082,0.1086
2018-09-30,0.3788,0.0083,0.1161
2018-06-30,0.383,0.0083,0.1176
2018-03-31,0.3807,0.0084,0.1157
2017-12-31,0.375,0.0085,0.1178
2017-09-30,0.3705,0.0086,0.1247
2017-06-30,0.3733,0.0087,0.1339
2017-03-31,0.3745,0.0089,0.1338
2016-12-31,0.3777,0.009,0.1376
2016-09-30,0.3743,0.0093,0.1414
